"","UDR.Open","UDR.High","UDR.Low","UDR.Close","UDR.Volume"
"2011-09-15",26.42,26.54,26.17,26.45,2460854
"2011-09-22",23.17,23.76,22.61,22.81,5020003
"2011-09-29",22.89,22.97,22.35,22.74,2576500
"2011-10-06",21.38,22.34,21.2,22.33,2059015
"2011-10-13",22.25,22.55,21.8,22.29,2029791
"2011-10-20",22.76,22.94,22.19,22.8,1748659
"2011-10-27",24.82,25.67,24.42,25.53,3956871
"2011-11-03",24.93,25.05,24.07,24.88,2874308
"2011-11-10",24.51,24.53,24.04,24.22,1883933
"2011-11-17",24.19,24.2,23.29,23.39,1793881
"2011-12-01",23.42,23.54,23.1,23.32,1605329
"2011-12-08",23.72,23.72,23.16,23.24,1765415
"2011-12-15",23.84,24.28,23.59,24.16,1670701
"2011-12-22",25.01,25.39,24.94,25.09,2175512
"2011-12-29",25,25.36,25,25.23,853868
"2012-01-05",24.87,25.24,24.73,24.99,2087014
"2012-01-12",24.47,24.51,23.8,23.89,2643645
"2012-01-19",24.94,24.97,24.65,24.68,2030168
"2012-01-26",25.76,26,25.62,25.91,2314066
"2012-02-02",26.17,26.18,25.84,26.09,1565525
"2012-02-09",25.92,26.04,25.62,25.76,1986704
"2012-02-16",25.54,25.82,25.48,25.54,2035387
"2012-02-23",24.9,25.2,24.84,25.2,1406938
"2012-03-01",25.04,25.26,25.03,25.22,1007693
"2012-03-08",25.55,25.63,25.15,25.17,2260211
"2012-03-15",25.92,25.99,25.62,25.75,2099807
"2012-03-22",25.5,25.5,25,25.21,1923003
"2012-03-29",25.63,26.25,25.54,26.23,2907528
"2012-04-05",26.45,26.63,26.3,26.42,945282
"2012-04-12",25.79,26.05,25.71,25.97,2364993
"2012-04-19",26.23,26.34,26.05,26.21,1690376
"2012-04-26",26.48,26.51,26.17,26.29,3077156
"2012-05-03",26.54,26.64,26.39,26.39,1623642
"2012-05-10",27.07,27.2,26.86,27,1878593
"2012-05-17",26.41,26.48,25.65,25.67,4273280
"2012-05-24",26.38,26.62,26.07,26.34,2226277
"2012-05-31",25.96,25.99,25.7,25.9,16628518
"2012-06-07",26.34,26.34,25.67,25.72,2745063
"2012-06-14",25.5,26.06,25.48,25.96,2837493
"2012-06-21",25.85,25.95,25.35,25.42,3102980
"2012-06-28",24.75,25.11,24.62,25.11,3137762
"2012-07-05",26.3,26.4,26.05,26.18,1649740
"2012-07-12",25.53,26.24,25.42,26.09,2375400
"2012-07-19",26.92,26.94,26.37,26.76,2147403
"2012-07-26",27.16,27.23,26.56,26.72,2376267
"2012-08-02",26.19,26.44,26.03,26.44,1884886
"2012-08-09",25.26,25.47,25.1,25.24,1392349
"2012-08-16",25.08,25.14,24.77,25.09,2195262
"2012-08-23",25.12,25.58,25.03,25.43,2246988
"2012-08-30",25.26,25.36,25.18,25.25,1050946
"2012-09-06",25.55,25.66,25.46,25.63,1417874
"2012-09-13",25.78,26.08,25.72,26.08,3087967
"2012-09-20",25.85,25.87,25.17,25.33,4097911
"2012-09-27",24.98,25.3,24.85,25.08,3396432
"2012-10-04",24.6,24.63,24.06,24.15,3037630
"2012-10-11",24.55,24.6,24.17,24.17,1852962
"2012-10-18",24.41,24.79,24.36,24.79,1056658
"2012-10-25",24.34,24.48,24.05,24.37,1707518
"2012-11-01",24.24,24.74,24.07,24.47,3238674
"2012-11-08",24.21,24.22,23.83,23.85,1529924
"2012-11-15",22.7,22.76,22.35,22.51,2117090
"2012-11-29",23.08,23.22,22.7,23.02,4550491
"2012-12-06",23.17,23.38,23.09,23.17,1533119
"2012-12-13",22.81,22.83,22.58,22.61,1928369
"2012-12-20",23.16,23.62,23.1,23.6,1648990
"2012-12-27",23.6,23.82,23.51,23.76,1254955
"2013-01-03",23.93,24.11,23.86,23.97,1318619
"2013-01-10",24.35,24.44,24.25,24.4,2017784
"2013-01-17",24.71,24.84,24.66,24.67,2034724
"2013-01-24",24.83,25,24.54,24.72,1928475
"2013-01-31",24.52,24.52,23.86,23.89,5270537
"2013-02-07",23.64,23.68,23.22,23.31,1890804
"2013-02-14",24.21,24.43,24.21,24.32,1277371
"2013-02-21",24.88,25.07,24.66,24.76,2962982
"2013-02-28",24.33,24.42,23.86,23.86,4431247
"2013-03-07",24.43,24.56,24.33,24.42,2281384
"2013-03-14",24.31,24.45,24.25,24.41,1810042
"2013-03-21",23.92,24.14,23.77,23.77,1395624
"2013-03-28",24.19,24.26,23.99,24.19,1460898
"2013-04-04",24.28,24.77,24.27,24.72,1400423
"2013-04-11",24.77,25.04,24.72,24.85,1660861
"2013-04-18",24.48,24.55,24.3,24.41,1266263
"2013-04-25",24.63,24.67,24.25,24.25,1396107
"2013-05-02",24.43,24.56,24.27,24.39,2128276
"2013-05-09",25.15,25.43,25.14,25.36,2375918
"2013-05-16",26.3,26.54,26.25,26.51,1098980
"2013-05-23",25.9,25.9,25.12,25.33,3820880
"2013-05-30",24.6,24.69,24.35,24.4,3121630
"2013-06-06",24.35,24.6,24.12,24.59,1547199
"2013-06-13",23.69,24.46,23.69,24.28,2117282
"2013-06-20",23.74,23.74,23.02,23.15,2646716
"2013-06-27",25.14,25.55,25.09,25.41,2819782
