"","ULTA.Open","ULTA.High","ULTA.Low","ULTA.Close","ULTA.Volume"
"2011-09-15",70.5,70.5,69,70.2,851657
"2011-09-22",66.29,67.61,64.58,66.88,777403
"2011-09-29",68.67,68.99,63.31,66.12,932367
"2011-10-06",66.37,68,65.81,66.61,985785
"2011-10-13",67.73,69.54,67.07,67.96,628690
"2011-10-20",69.18,70.02,66.7,67.88,661310
"2011-10-27",69.96,70.07,65.64,68.42,1034678
"2011-11-03",72.11,72.12,70.01,71.26,928419
"2011-11-10",72.16,73.46,71.41,72.15,890080
"2011-11-17",71.55,71.71,67.78,69.02,1053798
"2011-12-01",69.75,70.49,68,68.49,1992562
"2011-12-08",72.68,73.26,71.5,72.13,633599
"2011-12-15",67.81,68.43,66.17,66.72,811379
"2011-12-22",65.88,66.39,64.01,64.16,918655
"2011-12-29",64.11,65.06,64.05,64.67,353361
"2012-01-05",69.99,71.43,69.02,69.56,2246948
"2012-01-12",71.96,72,70.46,71.93,846468
"2012-01-19",76,77.83,75.8,77.39,890978
"2012-01-26",79.49,79.64,75.97,76.69,593356
"2012-02-02",77.97,78.31,76.19,76.61,423858
"2012-02-09",80.76,81.5,79.81,81.42,1191231
"2012-02-16",83.84,84.46,82.91,84.17,702735
"2012-02-23",82.35,84.02,82.35,83.4,502893
"2012-03-01",83.19,85.91,83.01,85.31,972633
"2012-03-08",88.98,90.36,87.56,89.27,1557973
"2012-03-15",89.93,90.9,88.61,90.37,767897
"2012-03-22",91.55,93.88,90.81,93.59,843844
"2012-03-29",92.61,93.17,91.61,92.83,572667
"2012-04-05",94.33,95.44,94.23,95.04,339381
"2012-04-12",93.45,94.8,93.11,94.73,321997
"2012-04-19",95.73,96.65,93.54,94.49,351029
"2012-04-26",89,90.53,88.12,89.53,591229
"2012-05-03",91.35,92.14,90.11,90.85,431986
"2012-05-10",85.66,86.87,84.8,86.06,4365192
"2012-05-17",90.53,90.72,85.32,85.87,1276504
"2012-05-24",91.93,92.09,90.03,90.93,887562
"2012-05-31",90.13,90.13,86.89,89.37,3247683
"2012-06-07",96.07,97,92.88,93.33,1246830
"2012-06-14",92.14,93.74,91.64,92.98,1027452
"2012-06-21",97.4,97.42,94.51,95.05,1060640
"2012-06-28",92.4,92.84,89.1,90.29,1141107
"2012-07-05",93.56,95.45,93.13,94.41,747702
"2012-07-12",90.87,91.95,88.28,91.45,751560
"2012-07-19",92.42,93.54,91.91,92.51,399096
"2012-07-26",85,87.26,85,86.37,889355
"2012-08-02",83.3,86.31,82.64,85.25,763205
"2012-08-09",88.52,88.61,86.7,87.09,625896
"2012-08-16",85.93,90.47,85.71,90.27,1452822
"2012-08-23",91.38,92.39,91.17,92.21,468587
"2012-08-30",94.09,94.92,93.07,93.63,332553
"2012-09-06",93.8,95.8,92.84,95.26,1804350
"2012-09-13",97.43,100.4,97.3,100.16,950174
"2012-09-20",98.85,99.01,97.4,98.5,384512
"2012-09-27",97.2,97.33,95.6,96.66,429860
"2012-10-04",97.74,98.98,97.18,98.96,417727
"2012-10-11",97.02,97.54,95.42,95.65,419303
"2012-10-18",94.55,96.71,93.46,95.55,1994441
"2012-10-25",93.57,93.84,91.88,92.27,489416
"2012-11-01",92.25,93.78,90.5,93.71,556816
"2012-11-08",92.86,93.57,90.44,90.99,758798
"2012-11-15",86.99,89.14,86.76,86.93,803943
"2012-11-29",94.29,94.38,91.99,93.15,1665138
"2012-12-06",100.3,101.61,99.95,101.53,738566
"2012-12-13",95.57,96.23,94.15,94.25,1002647
"2012-12-20",96.48,97.13,95.53,96.41,430736
"2012-12-27",95.57,96.58,94.48,96.44,386807
"2013-01-03",101.69,102.56,100.6,101.99,787813
"2013-01-10",94.6,94.6,92.11,94.32,1095615
"2013-01-17",94.69,95.98,94.18,95.66,453051
"2013-01-24",96.39,99.94,96.39,98.01,727438
"2013-01-31",97.25,98.71,96.47,97.82,542273
"2013-02-07",99.31,99.93,98.16,98.96,296703
"2013-02-14",88.3,89.51,86.9,87.8,6945796
"2013-02-21",86.75,87.9,85.45,87.67,1504169
"2013-02-28",88,89.04,87.71,88.56,1117076
"2013-03-07",90.72,91.19,89.31,89.91,948823
"2013-03-14",87.85,89.03,87.18,88.37,2943054
"2013-03-21",77.28,79.2,76.1,76.39,2481634
"2013-03-28",80.46,81.59,80.17,81.29,1995465
"2013-04-04",84.3,84.86,82.43,84.74,2138069
"2013-04-11",85.7,88.65,85.52,88.14,2312841
"2013-04-18",85.04,85.04,82.24,82.97,1297904
"2013-04-25",86.72,87,85.48,85.64,969843
"2013-05-02",86.36,89.75,86.36,89.36,1372564
"2013-05-09",90.98,91.58,89.39,89.39,827567
"2013-05-16",93.04,94.29,92.61,93.09,1006461
"2013-05-23",93.04,93.74,92.53,93.22,875212
"2013-05-30",91.74,92.09,91.1,91.44,517621
"2013-06-06",86.27,86.91,85.83,86.89,554346
"2013-06-13",96.36,97.45,95.24,97.01,1521214
"2013-06-20",94.45,94.73,92.97,93.4,645456
"2013-06-27",98.91,99.45,98.34,99.25,919033
"2013-07-11",100.11,100.94,99.83,100.73,404991
"2013-07-18",97.36,98.37,96.77,97.8,411961
"2013-07-25",94.19,95.4,93.34,95.31,599126
"2013-08-01",100.9,101.84,100.09,101.65,851321
"2013-08-08",102.47,106.1,102.12,106.03,718672
"2013-08-15",102.3,102.78,98.05,99.21,1525879
"2013-08-22",102.05,102.53,100.96,102.04,225365
"2013-08-29",99.91,101.51,99.54,100.99,240680
"2013-09-05",98.09,98.32,97.3,98,859430
"2013-09-12",101.53,103.1,99.96,100.16,1780142
"2013-09-19",120.72,121.5,118.3,118.75,922889
"2013-09-26",117.75,118.88,116.83,117.32,356624
"2013-10-03",121.86,126.02,121.81,124.04,1144791
"2013-10-10",120.27,120.93,118.8,119.81,541651
"2013-10-17",121.08,124.11,120.07,123.69,652379
"2013-10-24",125.61,128.28,125.04,128.28,378159
"2013-10-31",128.3,129.97,127.5,128.85,439917
"2013-11-07",131.46,131.96,126.3,126.84,593554
"2013-11-14",130.31,130.67,129.05,130.44,305722
"2013-11-21",125.8,129.16,125.8,127.11,462874
"2013-12-05",124.85,125.9,117.8,118,2509085
"2013-12-12",93.37,93.37,91.1,91.24,914556
"2013-12-19",93.02,94.63,92.73,93.44,743225
"2013-12-26",95.05,95.55,94.35,94.81,544067
"2014-01-02",96.21,98.26,95.7,95.91,1619126
"2014-01-09",94.19,94.42,91.61,92.29,1125958
"2014-01-16",85.5,85.75,82.33,82.75,2984347
"2014-01-23",82.8,84.79,82.49,84.62,1604676
"2014-01-30",83.04,86.17,82.79,85.97,923504
"2014-02-06",85.96,88.82,85.96,88.34,1213827
"2014-02-13",86.07,87.05,85.6,86.04,748766
"2014-02-20",87.6,88.32,85.72,86.15,791657
"2014-02-27",90.17,92.04,89.42,91.62,722561
"2014-03-06",88.74,88.94,86.9,87.3,719675
"2014-03-13",91.38,91.6,89.05,89.51,2317618
"2014-03-20",103.03,106.83,102.78,104.3,3055844
"2014-03-27",101.01,101.27,98.13,98.75,1505625
"2014-04-03",100.26,100.78,99.32,99.77,694344
"2014-04-10",96.84,97.27,93.96,94.85,1342172
"2014-04-17",90.26,90.77,86.57,87.79,1795391
"2014-04-24",88.85,90.09,86.82,89.63,606756
"2014-05-01",87.6,88.13,85.93,85.97,1093553
"2014-05-08",84.64,87.35,84.64,85.86,1021230
"2014-05-15",87.11,87.18,84.76,86.76,1189644
"2014-05-22",84.68,86.22,84.68,84.98,675843
"2014-05-29",85.7,85.76,83.54,85.03,1084138
"2014-06-05",87.09,88,85.54,85.93,705658
"2014-06-12",96.54,96.94,94.86,95,1770666
"2014-06-19",94.97,95.6,94.27,95.03,776956
"2014-06-26",92.83,93.29,91.04,91.33,911084
"2014-07-03",94.84,96.95,94.79,96.43,695344
"2014-07-10",93.46,94.02,92.11,92.69,627697
"2014-07-17",88.88,89.98,88.14,89.75,1103289
"2014-07-24",92.04,93.31,91.27,93.14,581183
"2014-07-31",93.85,94.34,92.3,92.33,746183
"2014-08-07",94.86,95.77,93.7,93.92,508946
"2014-08-14",92.5,94.39,92.5,93.73,402932
"2014-08-21",97.07,97.98,95.26,96,508918
"2014-08-28",97.82,98.3,97.01,97.91,354789
"2014-09-04",99.42,101.77,99.11,99.59,825570
"2014-09-11",96.45,97.69,95.86,97.48,3720288
"2014-09-18",118.72,119.32,117.49,118.4,695214
"2014-09-25",120.2,121.43,118.82,118.86,806338
"2014-10-02",116,116.44,114.29,115.31,846905
"2014-10-09",114.92,115.74,113.57,114.77,750290
"2014-10-16",109.37,114.3,108.74,113.85,1730448
"2014-10-23",118.6,119.92,117.54,117.84,568391
"2014-10-30",121.21,122.12,119.9,120.56,481333
"2014-11-06",119.21,123.19,118.25,122.08,1074254
"2014-11-13",125.64,125.96,123.3,123.92,636169
"2014-11-20",127.19,128.32,126.82,127.04,477898
"2014-12-04",125.16,126.05,123.6,125.74,1610191
"2014-12-11",127.54,130.98,127.53,129.44,1127428
"2014-12-18",132.25,132.79,128.75,129.7,1157790
"2015-01-08",131.53,132.88,131.14,132.24,622476
"2015-01-15",131.81,131.81,126.86,127.14,681901
"2015-01-22",128.9,132.63,127.5,132.56,638681
"2015-01-29",134.38,134.58,132.33,134.4,563886
"2015-02-05",132.31,133.6,131.72,133.03,587990
"2015-02-12",136.5,136.64,134.72,136.07,408638
"2015-02-19",136.85,139.73,136.6,136.92,562727
"2015-02-26",138.52,141,138.47,140.59,539579
"2015-03-05",139.95,141.8,139.49,140.86,479278
"2015-03-12",143.93,145.9,142.28,144.82,2368331
"2015-03-19",151.01,152.67,150.39,152.28,719469
"2015-03-26",150.35,151.28,148.36,150,621032
"2015-04-02",150.65,152.24,149.52,151.33,691621
"2015-04-09",152.17,153.08,150.5,151.8,368743
"2015-04-16",153.51,154.62,153.51,154.16,435602
"2015-04-23",153.88,157.91,153.12,156.99,817720
"2015-04-30",151.22,153.61,150.3,151.09,641968
"2015-05-07",151.37,154.87,151.01,153.84,502983
"2015-05-14",152.69,152.69,149.53,149.83,1027602
"2015-05-21",151.2,153.19,151.05,152.25,451333
"2015-05-28",155.18,156.49,152.8,156.27,2504544
"2015-06-04",154.72,157.5,154.26,155.9,816641
"2015-06-11",155.01,156.46,155.01,155.37,412569
"2015-06-18",156,158.75,155.62,156.48,877950
"2015-06-25",155.6,155.8,153.89,154.84,933559
"2015-07-02",155.23,156.26,154.28,156.23,801534
"2015-07-09",160,162.59,159.78,159.91,1430552
