"","UNM.Open","UNM.High","UNM.Low","UNM.Close","UNM.Volume"
"2011-09-15",22.74,23.12,22.46,23.12,4309414
"2011-09-22",20.35,20.94,20.24,20.79,5337974
"2011-09-29",21.34,21.58,20.89,21.57,3616534
"2011-10-06",21.6,22.47,21.38,22.39,3241695
"2011-10-13",23.57,23.63,22.87,23.24,3257762
"2011-10-20",23.33,23.92,23.1,23.84,2992590
"2011-10-27",24.94,25,24.42,24.74,6272283
"2011-11-03",22.33,22.36,21.56,21.94,5316496
"2011-11-10",21.93,22.06,21.62,21.8,2712717
"2011-11-17",21.87,22.08,21.34,21.49,3658486
"2011-12-01",22.01,22.39,21.93,22.19,2119363
"2011-12-08",22.1,22.11,21.31,21.37,2904041
"2011-12-15",20.64,20.72,20.47,20.48,3685008
"2011-12-22",20.89,21.15,20.78,21.1,2699423
"2011-12-29",20.96,21.34,20.96,21.2,1104753
"2012-01-05",21.37,21.77,21.07,21.75,2072532
"2012-01-12",22.01,22.38,21.89,22.33,3364678
"2012-01-19",22.63,22.96,22.63,22.74,2413136
"2012-01-26",23.11,23.24,22.68,22.82,5206827
"2012-02-02",23.19,23.21,22.96,23.08,1349530
"2012-02-09",23.03,23.08,22.29,22.5,4830216
"2012-02-16",22.64,22.95,22.56,22.84,1577106
"2012-02-23",23.22,23.4,23.16,23.24,1734247
"2012-03-01",23.09,23.42,23.04,23.17,2245197
"2012-03-08",23.33,23.55,23.14,23.49,4023017
"2012-03-15",24.3,24.68,24.1,24.64,2808913
"2012-03-22",24.04,24.04,23.79,23.84,1468634
"2012-03-29",24.44,24.51,24.1,24.44,2299717
"2012-04-05",24.07,24.23,23.94,24.1,1680368
"2012-04-12",23.26,23.72,23.11,23.69,1262137
"2012-04-19",23.59,23.74,23.41,23.55,1701523
"2012-04-26",23.75,23.87,23.5,23.75,1898564
"2012-05-03",22.81,22.84,22.29,22.47,5869350
"2012-05-10",21.64,21.99,21.63,21.76,3727421
"2012-05-17",20.51,20.58,20,20,4104044
"2012-05-24",20.22,20.29,19.92,20.19,2413225
"2012-05-31",19.82,20.11,19.71,19.95,2820680
"2012-06-07",20.11,20.28,19.75,19.78,5074515
"2012-06-14",19.25,19.39,19.08,19.09,3769516
"2012-06-21",19.81,19.94,19.15,19.17,2735551
"2012-06-28",18.64,18.92,18.47,18.9,3207806
"2012-07-05",19.57,19.64,19.34,19.43,2529524
"2012-07-12",18.97,19.05,18.77,18.9,2138734
"2012-07-19",19.5,19.6,19.35,19.38,2510114
"2012-07-26",18.71,18.73,18.44,18.58,2323545
"2012-08-02",18.6,19.42,18.39,18.7,5517003
"2012-08-09",19.11,19.36,19.04,19.36,3571862
"2012-08-16",19.5,19.64,19.31,19.64,1966464
"2012-08-23",19.28,19.42,19.2,19.32,3145009
"2012-08-30",19.25,19.32,19.17,19.27,3116184
"2012-09-06",19.54,19.99,19.5,19.93,4302687
"2012-09-13",20.02,20.38,19.86,20.37,2685109
"2012-09-20",20.15,20.16,19.92,20.05,2413293
"2012-09-27",19.38,19.51,19.18,19.43,2213640
"2012-10-04",19.55,19.87,19.52,19.87,1725686
"2012-10-11",19.73,19.98,19.61,19.93,2308322
"2012-10-18",20.64,20.83,20.6,20.81,2184734
"2012-10-25",20.31,20.62,20.28,20.52,1536802
"2012-11-01",20.37,20.85,20.29,20.52,3464658
"2012-11-08",20.08,20.26,19.58,19.58,2208330
"2012-11-15",19.2,19.4,19.15,19.34,1788599
"2012-11-29",20.4,20.49,20.29,20.39,1765969
"2012-12-06",20.69,20.72,20.51,20.66,1125013
"2012-12-13",21.04,21.25,20.85,20.86,1835331
"2012-12-20",20.95,21.15,20.87,21.15,2095714
"2012-12-27",20.8,20.85,20.42,20.71,1845975
"2013-01-03",21.48,21.66,21.39,21.65,1629547
"2013-01-10",21.86,22.19,21.82,22.12,1943515
"2013-01-17",22.22,22.82,22.15,22.51,2372534
"2013-01-24",23.05,23.26,23.01,23.13,1866216
"2013-01-31",23.03,23.35,22.96,23.31,2137573
"2013-02-07",23.85,23.92,23.48,23.63,2140953
"2013-02-14",24.36,24.53,24.24,24.4,1769767
"2013-02-21",24.13,24.16,23.82,23.97,2159163
"2013-02-28",24.33,24.61,24.16,24.47,3724312
"2013-03-07",26.13,26.22,25.93,26.13,2558223
"2013-03-14",27.48,27.86,27.47,27.81,2857817
"2013-03-21",27.45,27.56,27.15,27.29,2705740
"2013-03-28",28.03,28.34,28.02,28.25,4059615
"2013-04-04",27.21,27.38,26.9,26.98,2646555
"2013-04-11",27.45,27.61,27.27,27.46,1836247
"2013-04-18",26.2,26.24,25.73,25.87,2264440
"2013-04-25",27.37,27.63,27.16,27.58,1913196
"2013-05-02",27.33,27.55,26.71,27.52,1515219
"2013-05-09",28.17,28.23,27.91,28.04,1571926
"2013-05-16",28.68,28.68,27.98,28.19,4041028
"2013-05-23",27.3,27.72,27.15,27.56,2126575
"2013-05-30",28.31,29.04,28.23,28.87,1916602
"2013-06-06",27.53,28.07,27.31,28.07,2287089
"2013-06-13",27.95,28.46,27.77,28.39,1382490
"2013-06-20",28.03,29.13,27.91,28.9,3745014
"2013-06-27",29.46,29.92,29.4,29.8,1674066
"2013-07-11",31.87,31.97,31.24,31.39,1488752
"2013-07-18",31.27,31.77,31.24,31.72,1178236
"2013-07-25",31.45,31.73,31.24,31.56,1129296
"2013-08-01",32.04,32.94,32.04,32.9,1796538
"2013-08-08",30.67,30.84,30.28,30.56,1550207
"2013-08-15",29.59,29.59,29.21,29.39,1379770
"2013-08-22",29.63,30.42,29.55,30.3,1279570
"2013-08-29",29.45,29.97,29.36,29.75,1073764
"2013-09-05",30.4,30.7,30.33,30.49,1719216
"2013-09-12",31.44,31.44,30.92,31.02,1153635
"2013-09-19",31.38,31.38,30.35,30.42,2772084
"2013-09-26",30.92,31.19,30.72,30.95,1147464
"2013-10-03",30.3,30.33,29.78,30.15,1354374
"2013-10-10",30,30.3,29.99,30.3,2600458
"2013-10-17",31.65,32.04,31.56,31.91,1222869
"2013-10-24",31.23,31.37,30.89,31.3,841975
"2013-10-31",31.68,31.91,31.47,31.74,1409913
"2013-11-07",32.51,32.73,31.92,31.95,1659193
"2013-11-14",32.93,33.23,32.74,33.22,1294785
"2013-11-21",33.34,33.74,33.09,33.64,1020816
"2013-12-05",33.76,34.02,33.14,33.36,2463987
"2013-12-12",34,34.23,33.74,33.78,1789434
"2013-12-19",34.62,34.75,34.21,34.29,2552763
"2013-12-26",35.06,35.23,34.83,35.16,972713
"2014-01-02",34.93,34.99,34.26,34.33,1205788
"2014-01-09",34.79,35.08,34.62,35.07,1274238
"2014-01-16",34.74,34.75,34.43,34.56,713293
"2014-01-23",34,34.1,33.22,33.28,1950483
"2014-01-30",32.18,32.74,32.05,32.67,1148416
"2014-02-06",31.92,32.7,31.74,32.66,2483252
"2014-02-13",33.25,33.52,33.08,33.5,2082614
"2014-02-20",33.56,33.75,33.32,33.57,1361380
"2014-02-27",33.94,34.38,33.84,34.37,2012071
"2014-03-06",35.54,35.97,35.47,35.66,2035675
"2014-03-13",35.82,35.9,35.04,35.13,1339154
"2014-03-20",35.23,35.9,35.18,35.59,1343855
"2014-03-27",34.91,35.16,34.28,34.34,1231801
"2014-04-03",35.51,35.56,34.99,35.4,2003854
"2014-04-10",34.47,34.51,33.56,33.57,1221108
"2014-04-17",33.91,34.09,33.73,33.92,1281870
"2014-04-24",34.08,34.08,33.37,33.53,1639994
"2014-05-01",33.2,33.6,33.02,33.46,2151263
"2014-05-08",33.41,34.29,33.41,34.03,1873065
"2014-05-15",33.24,33.24,32.29,32.66,1885029
"2014-05-22",33.22,33.34,33.08,33.27,794503
"2014-05-29",33.81,34.02,33.44,33.77,1990040
"2014-06-05",35.17,35.39,34.76,35.06,1265617
"2014-06-12",35.18,35.32,34.76,34.89,1232301
"2014-06-19",35.45,35.45,34.99,35.24,1669891
"2014-06-26",34.9,35.08,34.48,35.03,1045697
"2014-07-03",35.12,35.61,35.12,35.47,712604
"2014-07-10",34.5,34.86,34.27,34.7,1090330
"2014-07-17",34.65,35.01,34.4,34.44,1115558
"2014-07-24",34.97,35.16,34.8,35.11,991436
"2014-07-31",34.42,35.66,34.18,34.33,3012958
"2014-08-07",34.63,34.81,33.94,34.02,1448953
"2014-08-14",34.73,35.15,34.73,35.13,814079
"2014-08-21",35.17,35.24,34.98,35.19,2119703
"2014-08-28",36.11,36.29,35.97,36.16,1153486
"2014-09-04",36.6,36.72,35.9,35.96,2221115
"2014-09-11",35.57,35.83,35.52,35.78,1006815
"2014-09-18",36.16,36.45,36.16,36.41,1106188
"2014-09-25",35,35.09,34.59,34.59,1264395
"2014-10-02",33.82,33.98,33.26,33.74,2152750
"2014-10-09",33.69,33.75,33.22,33.34,2822485
"2014-10-16",31.49,32.37,31.41,32.16,1920852
"2014-10-23",33.78,33.82,33.53,33.65,1213956
"2014-10-30",33.67,33.99,33.22,33.46,3067436
"2014-11-06",34.08,34.08,32.64,33.39,4943655
"2014-11-13",34.52,34.99,34.45,34.93,2084039
"2014-11-20",33.56,33.88,33.52,33.69,1508917
"2014-12-04",33.08,33.45,32.78,32.91,2106355
"2014-12-11",33.16,33.61,33.02,33.49,2431299
"2014-12-18",33.77,34.25,33.57,34.24,2955182
"2015-01-08",33.54,33.95,33.4,33.77,2104251
"2015-01-15",31.93,32.16,31.33,31.35,1649185
"2015-01-22",31.79,32.58,31.46,32.54,1680261
"2015-01-29",31.08,31.57,30.96,31.43,1774712
"2015-02-05",32.35,32.98,32.26,32.89,2631167
"2015-02-12",34.08,34.3,33.92,34.25,1822407
"2015-02-19",33.76,34.13,33.58,34.02,1100527
"2015-02-26",33.77,33.94,33.37,33.61,1725912
"2015-03-05",33.59,33.77,33.4,33.55,1163963
"2015-03-12",33.09,33.5,33.04,33.48,1333575
"2015-03-19",33.73,33.77,33.07,33.43,933804
"2015-03-26",33.21,33.44,33.07,33.35,1272927
"2015-04-02",33.39,33.76,33.25,33.67,1010792
"2015-04-09",33.29,33.82,33.17,33.78,1211077
"2015-04-16",34.06,34.16,33.76,34.03,1059473
"2015-04-23",33.51,33.76,33.32,33.7,946532
"2015-04-30",34.31,34.9,34.03,34.16,2477799
"2015-05-07",34.57,34.83,34.41,34.63,2096436
"2015-05-14",34.9,34.97,34.67,34.87,1030702
"2015-05-21",34.87,36,34.82,34.95,2194195
"2015-05-28",35.17,35.27,34.99,35.24,1153904
"2015-06-04",35.78,36.03,35.66,35.72,1468676
"2015-06-11",36.78,37.08,36.68,36.91,1309528
"2015-06-18",36.77,36.88,36.51,36.75,1885627
"2015-06-25",36.84,36.89,36.33,36.39,1385323
"2015-07-02",36.05,36.19,35.87,36.02,1295366
"2015-07-09",35.49,35.58,35.21,35.38,1438132
"2015-07-16",36.64,36.71,36.46,36.62,730421
"2015-07-23",36.31,36.44,36.09,36.2,1459869
"2015-07-30",37.03,37.46,35.78,36.1,2514525
"2015-08-06",35.46,35.58,35.07,35.3,894017
"2015-08-13",35.71,36.2,35.71,36.01,1326425
"2015-08-20",35.19,35.24,34.67,34.67,1848587
"2015-08-27",33.24,33.84,32.98,33.81,2916935
"2015-09-03",32.8,33.34,32.78,32.91,1376740
"2015-09-10",32.55,33.08,32.45,32.78,1390777
"2015-09-17",32.98,33.14,32.1,32.19,1926069
"2015-09-24",31.06,31.5,30.91,31.42,1055676
"2015-10-01",32.07,32.46,31.95,32.41,1702658
"2015-10-08",32.87,33.19,32.76,33.13,1030027
"2015-10-15",32.62,32.99,32.44,32.97,818683
"2015-10-22",33.05,33.47,33.04,33.24,1348680
"2015-10-29",34.39,35,34.28,34.61,2185323
"2015-11-05",34.55,34.63,34.34,34.49,911293
"2015-11-12",36.16,36.38,35.91,35.95,1574608
"2015-11-19",36.65,36.89,36.32,36.67,1123539
"2015-12-03",36.29,36.57,35.97,36.15,2127269
"2015-12-10",35.11,35.48,35.03,35.12,958490
"2015-12-17",33.94,34.08,33.05,33.07,2386805
"2015-12-24",33.33,33.65,33.22,33.43,449988
"2015-12-31",33.26,33.7,32.61,33.29,850322
"2016-01-07",30.92,31.35,30.68,30.81,1412530
"2016-01-14",29.44,29.66,28.74,29.48,2182516
"2016-01-21",27.42,28.22,27.3,27.73,2633074
"2016-01-28",28.01,28.41,27.74,28.31,2081134
"2016-02-04",26.69,27.67,26.69,27.63,3678771
"2016-02-11",24.96,24.97,23.99,24.07,5099534
"2016-02-18",27.64,27.64,27.18,27.38,2511062
"2016-02-25",27.8,28.35,27.76,28.33,1326179
"2016-03-03",30.33,30.93,30.28,30.92,1669223
"2016-03-10",30.78,31.05,30.11,30.58,1737091
"2016-03-17",31.83,32.35,31.49,32.14,1965755
