"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume"
"2014-09-15",107.09,107.3,106.41,107.04,2928670
"2014-09-22",109.52,109.69,108.47,108.5,2364175
"2014-09-29",107.95,108.71,107.17,108.53,1928635
"2014-10-06",110.41,110.84,108.72,109.29,2650338
"2014-10-13",102.99,104.24,97.84,98.08,8013770
"2014-10-20",105.6,106.49,105.27,106.16,3816850
"2014-10-27",114.39,114.94,113.37,114.79,3667711
"2014-11-03",116.57,116.57,114.91,115.26,3934899
"2014-11-10",119.3,121.29,119.15,120.9,4086161
"2014-11-17",120.23,120.95,119.81,120.32,2584958
"2014-11-24",122.49,123.37,122.4,122.91,2675687
"2014-12-01",116.44,116.63,113.19,114.63,7102879
"2014-12-08",117.87,118.08,114.27,114.94,5616934
"2014-12-15",113.15,114.52,111.67,112.34,5395629
"2014-12-22",119.06,120.74,118.94,120.41,3186340
"2014-12-29",119.54,120.95,119.09,120.7,2006564
"2015-01-05",118.31,118.31,114.47,114.6,4608447
"2015-01-12",114.33,114.45,112.79,113.97,3273000
"2015-01-26",120.51,121.87,119.65,121.33,3550765
"2015-02-02",118.13,119.06,116.7,119.01,3259594
"2015-02-09",121.53,122.01,118.95,119.45,4231179
"2015-02-23",123.79,123.9,122.6,123.75,2743419
"2015-03-02",120.26,121,120.05,120.75,3066342
"2015-03-09",116.38,117.86,116.2,117.17,2605119
"2015-03-16",115.5,116.83,115.36,116.72,5110916
"2015-03-23",114.85,116,112.62,112.78,6682612
"2015-03-30",109,110.39,108.77,110.09,5191047
"2015-04-06",106.34,107.54,106.25,106.38,5246380
"2015-04-13",111.05,111.58,108.41,108.47,5280713
"2015-04-20",108.71,110.73,108.65,110.44,4584891
"2015-04-27",107.33,108.22,107.24,107.51,4663939
"2015-05-04",108.4,109.42,107.87,107.99,5384230
"2015-05-11",107.22,108,106.68,106.75,3609439
"2015-05-18",103.3,104.37,103.07,103.95,4351435
"2015-06-01",101.16,102.21,100.43,101.93,4577979
"2015-06-08",102.13,102.2,100.46,100.71,4932798
"2015-06-15",99.84,101.05,99.84,100.52,3077255
"2015-06-22",101.67,102.01,101.2,101.44,3751842
"2015-06-29",95.99,96.97,95.49,95.53,5681995
"2015-07-06",96.39,97.59,96.03,96.24,4840202
"2015-07-13",98.7,98.7,96.91,97.08,4311032
"2015-07-20",97.58,99.06,97.57,98.31,4526044
"2015-07-27",91.68,92.6,91.52,92.39,5857330
"2015-08-03",97.56,97.69,95.96,96.47,4137461
"2015-08-10",93.05,93.87,93.05,93.48,4878831
"2015-08-17",92.46,92.96,92.01,92.74,2777522
"2015-08-24",81.18,85.19,79.31,82.66,10248662
"2015-08-31",86.9,87.08,85.73,85.74,5349448
"2015-09-14",86.52,86.52,85.53,85.73,4478105
"2015-09-21",87.97,89.34,87.66,88.25,4682113
"2015-09-28",85.68,86.66,84.85,84.97,5434349
"2015-10-05",91.73,94.09,91.62,93.71,5263037
"2015-10-12",96.76,97,94.2,95.26,5479163
"2015-10-19",92.56,92.79,91.55,92.71,3991755
"2015-10-26",96.62,97.18,95.01,95.17,4537019
"2015-11-02",89.36,89.76,88.58,89.1,5365596
"2015-11-09",85.73,89.1,83.99,86.17,9105092
"2015-11-16",83.59,84.57,83.1,84.35,3602331
"2015-11-23",86.86,87.48,84.91,85.11,4723216
"2015-11-30",84.84,84.95,83.94,83.95,6130443
"2015-12-07",78.15,78.62,76.7,77.29,9414287
"2015-12-14",77.5,77.97,76.42,76.88,7487035
"2015-12-21",75.99,76.43,75.02,75.49,5247884
"2015-12-28",78.49,78.73,77.94,78.34,3958393
"2016-01-04",76.87,79.04,76.13,78.97,6892864
"2016-01-11",74.36,75.05,73.63,74.81,7763513
"2016-01-25",69.66,69.77,68.66,68.79,7155082
"2016-02-01",70.9,73.56,70.35,73.09,8397136
"2016-02-08",74.48,76.56,73.46,76.03,7596775
"2016-02-22",81.78,82.26,80.7,81.61,5445801
"2016-02-29",79.81,79.98,78.75,78.86,5351337
"2016-03-07",80.03,81.57,79.75,81.45,6546120
"2016-03-14",80.7,81.47,80.15,80.35,4364926
"2016-03-21",84.39,84.98,83.47,83.98,3870223
"2016-03-28",80.75,80.92,78.47,78.81,6306207
"2016-04-04",78.72,80.02,78.17,78.34,3463786
"2016-04-11",79.14,80.51,78.58,78.69,4104067
"2016-04-18",79.98,82.04,78.62,80.88,7348135
"2016-04-25",89.09,89.3,86.89,87.61,4631144
"2016-05-02",87.99,88.5,86.64,88.12,3492711
"2016-05-09",85.66,85.66,84.14,84.63,4154706
"2016-05-16",82.09,82.95,81.88,82.02,4194197
"2016-05-23",82.25,82.61,81.45,81.49,3635834
"2016-06-06",86.42,87.14,85.93,86.85,4361504
"2016-06-13",88.49,89.61,88.22,88.71,4377118
"2016-06-20",88.36,89.25,87.98,88.09,4312068
"2016-06-27",84.42,84.46,81.96,82.49,5948004
"2016-07-11",90.71,91.63,90.69,91.39,5423185
"2016-07-18",93.98,94.36,93.08,94.12,2721159
"2016-07-25",92.71,92.76,91.86,92.28,2744520
"2016-08-01",92.92,93.65,92.41,93.06,2797409
"2016-08-08",93.88,94.95,93.67,93.86,2491911
"2016-08-15",92.46,93.27,92.28,92.5,2734009
"2016-08-22",95.3,95.8,95.06,95.33,1947891
"2016-08-29",94.86,96.18,94.4,96.06,2746204
"2016-09-12",91.91,94.7,91.47,93.81,4670682
