"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume"
"2011-09-15",74.44,75.71,74.31,75.61,5391775
"2011-09-22",70.05,70.49,67.32,68.31,13122608
"2011-09-29",73.11,73.3,70.92,72.42,4717709
"2011-10-06",69.76,71.03,69.17,70.98,5793668
"2011-10-13",74.83,74.92,72.39,73.54,4754521
"2011-10-20",73.58,74.65,72.57,74.25,5022403
"2011-10-27",77.87,79.97,77.81,79.3,6135146
"2011-11-03",77.81,78.65,77.15,78.44,4407519
"2011-11-10",77.29,78.12,76.86,77.47,3664226
"2011-11-17",77.26,77.42,74.93,75.69,4923701
"2011-12-01",76.2,77.15,76.2,76.58,2736205
"2011-12-08",75.67,76.13,74.09,74.37,4294075
"2011-12-15",73.6,74.03,72.92,73.53,3805115
"2011-12-22",73.72,73.84,72.94,73.51,5789150
"2011-12-29",72.37,73.87,72.28,73.82,2500073
"2012-01-05",74.46,74.72,73.66,74.33,4607080
"2012-01-12",77.16,77.51,76.25,77.24,3713889
"2012-01-19",77.65,77.85,77.06,77.19,4494921
"2012-01-26",78.86,78.86,77.02,77.41,4923423
"2012-02-02",80.48,80.63,79.8,80.02,5029013
"2012-02-09",82.74,84.31,82.5,83.78,8907588
"2012-02-16",82.55,83.33,82.48,83.22,4170681
"2012-02-23",84.2,84.64,83.01,83.49,4703420
"2012-03-01",83.86,84.44,83.67,84.16,4036230
"2012-03-08",83.52,83.99,83.01,83.53,2739598
"2012-03-15",86.89,87.5,85.9,86.89,7203170
"2012-03-22",82.2,82.41,81.54,82.07,5156710
"2012-03-29",81.13,82.38,81,82.32,3752898
"2012-04-05",81.55,82.16,81.38,81.6,2483011
"2012-04-12",79.6,81.46,79.59,81.17,2742908
"2012-04-19",81.09,81.58,80,80.4,2660508
"2012-04-26",79.87,81.36,79.53,81.25,3088972
"2012-05-03",81.45,81.66,80.54,80.91,2307982
"2012-05-10",77.46,77.92,77.08,77.29,2856302
"2012-05-17",74.66,74.68,73.28,73.33,4219489
"2012-05-24",74.17,74.21,72.6,73.5,3436576
"2012-05-31",74.25,74.77,73.75,74.11,4020595
"2012-06-07",74.93,76.09,74.69,75.4,5744610
"2012-06-14",73.59,74.73,73.53,74.14,7832576
"2012-06-21",76.56,77.05,74.74,74.82,4143546
"2012-06-28",73.48,73.59,71.86,72.6,4821785
"2012-07-05",75.59,75.92,75.15,75.39,2323350
"2012-07-12",71.66,72.39,70.95,71.84,3786590
"2012-07-19",74.92,76,74.52,75.82,3589772
"2012-07-26",72.98,75.31,72.34,72.93,6466763
"2012-08-02",74.26,74.79,73.1,74.44,4493221
