"","V.Open","V.High","V.Low","V.Close","V.Volume"
"2011-09-15",22.5,22.65,22.09,22.62,21478808
"2011-09-22",22.18,22.5,21.55,22.08,35693288
"2011-09-29",22.24,22.24,21.5,21.92,15552936
"2011-10-06",21.22,21.82,21.1,21.78,19486148
"2011-10-13",22.62,23.23,22.62,23.15,13193332
"2011-10-20",22.7,22.99,22.57,22.84,17646036
"2011-10-27",22.75,23.62,22.65,23.6,41573520
"2011-11-03",23.02,23.45,22.57,23.3,18412556
"2011-11-10",23.59,23.59,23.15,23.26,11248528
"2011-11-17",23.42,23.5,22.72,22.85,17229068
"2011-12-01",23.98,24.56,23.94,24.44,19043304
"2011-12-08",24.24,24.47,23.9,23.95,14239508
"2011-12-15",24.33,24.33,23.89,23.96,21020056
"2011-12-22",25.15,25.49,25.02,25.14,13439552
"2011-12-29",25.25,25.81,25.2,25.79,8638848
"2012-01-05",25.18,25.55,24.92,25.48,12096464
"2012-01-12",24.84,25.42,24.84,25.34,16709072
"2012-01-19",26.04,26.05,25.56,25.59,14570484
"2012-01-26",25.18,25.54,25,25.22,13939508
"2012-02-02",25.94,26.78,25.9,26.52,33745148
"2012-02-09",28.26,28.72,28.01,28.1,39608028
"2012-02-16",28.86,28.93,28.4,28.45,15973312
"2012-02-23",29.09,29.2,28.92,29.12,10890688
"2012-03-01",29.36,29.5,29.14,29.3,11174512
"2012-03-08",29.17,29.54,29.01,29.49,9524468
"2012-03-15",29.16,29.37,29.08,29.25,13293700
"2012-03-22",29.04,29.38,29,29.32,9367692
"2012-03-29",29.64,29.8,29.39,29.75,8690816
"2012-04-05",29.58,30.29,29.52,30.25,13401264
"2012-04-12",29.37,30.29,29.3,30.26,17166072
"2012-04-19",30.32,30.56,30.13,30.3,8525612
"2012-04-26",30.47,30.88,30.38,30.8,11110708
"2012-05-03",30.5,30.63,28.84,29.1,47838396
"2012-05-10",29.58,29.87,29.41,29.54,13471088
"2012-05-17",29.25,29.56,28.75,28.75,17822288
"2012-05-24",29.93,30.25,29.69,29.94,12749408
"2012-05-31",29.44,29.59,28.68,28.8,21008832
"2012-06-07",29.46,29.5,29.14,29.2,9158668
"2012-06-14",28.82,29.25,28.56,29.12,13152580
"2012-06-21",30.64,30.72,29.83,29.87,13061528
"2012-06-28",30.75,30.85,29.89,30.38,11515568
"2012-07-05",31.44,31.87,31.42,31.75,11297792
"2012-07-12",29.78,30.86,29.78,30.66,15067460
"2012-07-19",32.08,32.16,31.33,31.35,13832760
"2012-07-26",31.24,32.05,31.05,31.69,21038072
"2012-08-02",31.7,32.32,31.55,32.32,11112168
"2012-08-09",32.72,32.74,31.94,32.13,14204124
"2012-08-16",32.18,32.49,32.18,32.42,9121016
"2012-08-23",31.98,32.12,31.69,31.79,6999896
"2012-08-30",31.78,31.78,31.54,31.68,8573264
"2012-09-06",32.04,32.38,31.95,32.38,15700600
"2012-09-13",33.24,34.16,33.14,33.74,15749020
"2012-09-20",33.57,33.71,33.37,33.65,12779332
"2012-09-27",33.18,33.56,33.13,33.48,8432464
"2012-10-04",34.7,34.96,34.55,34.92,8477560
"2012-10-11",34.55,34.96,34.55,34.76,14060712
"2012-10-18",35.59,35.78,35.28,35.47,11241392
"2012-10-25",34.46,34.68,34.13,34.39,15875432
"2012-11-01",35.2,36.09,35.08,35.97,21309800
"2012-11-08",35.54,35.81,35.47,35.52,10134436
"2012-11-15",35,35.12,34.63,35,13718476
"2012-11-29",36.98,37.08,36.81,37.04,12572744
"2012-12-06",37.11,37.22,36.76,37.12,9124432
"2012-12-13",37.03,37.28,36.72,36.8,13044464
"2012-12-20",37.47,38.13,37.33,38.12,10866944
"2012-12-27",37.42,37.66,36.98,37.35,11977816
"2013-01-03",39.28,39.52,38.7,38.88,14939264
"2013-01-10",40.51,40.69,39.82,40.13,16314264
"2013-01-17",40.25,40.27,39.9,39.97,7837064
"2013-01-24",39.82,40.04,39.72,39.89,6793812
"2013-01-31",39.75,39.88,39.09,39.48,16691520
"2013-02-07",39.74,39.95,39.24,39.26,20189308
"2013-02-14",38.65,39.16,38.58,39,12760768
"2013-02-21",38.78,39.57,38.7,39.36,14220580
"2013-02-28",40.08,40.08,39.58,39.66,11238504
"2013-03-07",40.22,40.44,39.91,40.13,8692988
"2013-03-14",39.85,40.27,39.82,40.16,14860760
"2013-03-21",39.61,39.93,39.45,39.45,14887956
"2013-03-28",42.19,42.74,42.03,42.46,12460828
"2013-04-04",41.36,41.63,41.25,41.62,8903828
"2013-04-11",41.75,41.98,41.56,41.9,6589836
"2013-04-18",40.65,40.85,40.32,40.35,21011424
"2013-04-25",41.98,42.62,41.86,42.19,9337780
"2013-05-02",42.5,44.92,42.5,43.85,30681440
"2013-05-09",44.81,44.97,44.56,44.64,11500984
"2013-05-16",45.44,45.44,44.94,44.95,9914028
"2013-05-23",44.6,44.88,44.28,44.52,16905792
"2013-05-30",44.58,45.5,44.58,45.26,9628528
"2013-06-06",44.22,44.86,44.1,44.84,14665924
"2013-06-13",44.79,45.69,44.68,45.56,9763216
"2013-06-20",45.38,45.62,44.62,44.62,15537800
"2013-06-27",45.86,46.25,45.62,46.06,11102128
"2013-07-11",47.34,47.52,46.88,47.49,14237072
"2013-07-18",47.55,47.85,47.49,47.75,5938964
"2013-07-25",47.75,49,47.75,48.65,21922972
"2013-08-01",45.44,45.44,43.32,44.79,74287928
"2013-08-08",45.6,45.64,44.98,45.2,9628304
"2013-08-15",44.36,44.37,43.36,43.48,17289260
"2013-08-22",44.91,45.36,44.26,44.73,10588888
"2013-08-29",43.78,44.32,43.7,43.84,9404832
"2013-09-05",44.03,44.18,43.81,44.05,7408420
"2013-09-12",46.61,46.95,46.26,46.26,14211652
"2013-09-19",48.63,49.5,48.5,48.68,14977648
"2013-09-26",48.11,48.62,47.92,48.39,9333556
"2013-10-03",48,48.03,46.94,47.16,19671908
"2013-10-10",46.48,47.28,46.39,47.26,10880432
"2013-10-17",48.92,49.69,48.87,49.57,12616212
"2013-10-24",49.97,50.84,49.9,50.73,8895348
"2013-10-31",49.26,49.72,48.56,49.17,24035368
"2013-11-07",49.99,50.09,49.02,49.02,10834384
"2013-11-14",49.98,50.06,49.69,50.04,10909500
"2013-11-21",49.82,50.5,49.36,50.4,12792332
"2013-12-05",50.55,50.74,50.38,50.43,13260616
"2013-12-12",51.24,51.41,50.62,50.86,11469228
"2013-12-19",53.64,54.47,53.64,54.02,13401868
"2013-12-26",54.75,55.06,54.75,55.05,4898860
"2014-01-02",55.38,55.51,54.88,55.25,10668220
"2014-01-09",55.89,56.13,55.42,55.48,8451228
"2014-01-16",55.8,55.94,55.32,55.44,13516640
"2014-01-23",57.92,58.08,56.92,57.06,13664840
"2014-01-30",56.44,56.5,54.08,55.22,20050324
"2014-02-06",54.02,54.75,53.94,54.75,12728848
"2014-02-13",55.71,56.19,55.62,56.01,13158980
"2014-02-20",56.04,56.24,55.65,55.86,8810584
"2014-02-27",56.55,56.95,56.4,56.57,8106904
"2014-03-06",55.94,56.52,55.83,55.96,9125960
"2014-03-13",56.66,56.87,55.11,55.2,11996536
"2014-03-20",56.03,56.03,55.23,55.46,11890688
"2014-03-27",53.72,54.04,53.26,53.94,10523928
"2014-04-03",53.95,54.07,53.34,53.75,14227788
"2014-04-10",52.06,52.27,50.04,50.39,20432336
"2014-04-17",52.58,52.88,51.99,51.99,13379428
"2014-04-24",52.45,52.62,51.9,52.35,13547036
"2014-05-01",51.02,51.83,50.84,51.52,14273132
"2014-05-08",52.23,53.02,52.15,52.72,14613708
"2014-05-15",52.25,52.42,51.6,51.86,12698028
"2014-05-22",52.53,52.57,52.17,52.34,16870016
"2014-05-29",53.5,53.67,53.38,53.67,5260332
"2014-06-05",53.03,53.12,52.66,53.06,6597612
"2014-06-12",53.1,53.29,52.81,52.94,6218044
"2014-06-19",52.87,53.04,52,52.58,15331316
"2014-06-26",52.46,52.46,51.89,52.24,8580608
"2014-07-03",53.83,54.25,53.78,54.13,5571640
"2014-07-10",53.45,54.22,53.17,53.88,8536704
"2014-07-17",55.48,55.5,54.46,54.47,9832240
"2014-07-24",55.85,55.96,55.46,55.68,11947576
"2014-07-31",53.32,53.34,52.75,52.75,13875508
"2014-08-07",52.8,52.86,52.15,52.26,9586516
"2014-08-14",53.02,53.15,52.83,53.13,7136780
"2014-08-21",54.12,54.24,53.93,53.94,5552508
"2014-08-28",53.75,53.94,53.44,53.65,11083456
"2014-09-04",53.86,54.03,53.5,53.56,9492552
"2014-09-11",54.18,54.19,53.61,53.74,8873840
"2014-09-18",53.98,54.17,53.79,54.11,9228532
"2014-09-25",53.51,53.57,52.61,52.68,11732268
"2014-10-02",52.25,52.5,51.95,52.43,11412336
"2014-10-09",53.05,53.05,51.9,51.93,10997968
"2014-10-16",49.27,50.8,48.8,50.75,15625440
"2014-10-23",53.47,53.98,53.17,53.57,9729692
"2014-10-30",57.13,59.82,57,59.16,50857784
"2014-11-06",62.38,62.72,61.88,62.52,13212028
"2014-11-13",63.1,63.1,62.4,62.73,12473228
"2014-11-20",61.88,62.97,61.88,62.92,6703860
"2014-12-04",65.52,65.56,65.01,65.28,7403544
"2014-12-11",65.74,66.4,65.63,65.78,13383756
"2014-12-18",65.46,66.11,65.28,66.04,10318072
"2015-01-08",65.8,66.28,65.66,66.11,10443656
"2015-01-15",64.18,64.37,63.09,63.28,10584704
"2015-01-22",63.86,64.75,63.34,64.4,11565944
"2015-01-29",61.88,62.2,61.29,62,15668440
"2015-02-05",66.81,67.95,66.48,67.95,16565612
"2015-02-12",66.9,67.73,66.76,67.73,11641792
"2015-02-19",67.52,67.52,67,67.28,5654804
"2015-02-26",68.3,68.62,68,68.44,13459712
"2015-03-05",68.75,68.78,68.44,68.53,6756076
"2015-03-12",66.6,67.5,66.58,67.4,9530808
"2015-03-19",66.83,67.19,65.75,66.81,15407485
"2015-03-26",65.25,66.3,65.02,65.59,9487207
"2015-04-02",64.99,65.62,64.81,65.29,5083011
"2015-04-09",66.57,66.82,65.76,66.44,5408457
"2015-04-16",65.53,66.01,65.35,65.65,4121327
