"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume"
"2011-09-15",30.78,31.31,30.47,31.04,5464324
"2011-09-22",29.41,30.14,29.22,29.69,3912508
"2011-09-29",32.32,32.48,30.16,31.39,4898844
"2011-10-06",31.59,32.25,31.23,32.18,3271140
"2011-10-13",32.36,32.95,32.34,32.91,3818908
"2011-10-20",32.4,33.01,31.88,32.92,4365608
"2011-10-27",34.48,34.95,34.11,34.74,5006192
"2011-11-03",35,35.34,33.84,35.26,5761404
"2011-11-10",33.06,33.33,32.66,33.22,3393848
"2011-11-17",33.51,33.74,32.72,33.25,2830012
"2011-12-01",34.49,34.89,34.27,34.51,3930160
"2011-12-08",34.34,34.89,33.68,33.77,5140892
"2011-12-15",32.83,32.88,32.3,32.56,4272584
"2011-12-22",32.06,32.19,31.39,31.66,5099640
"2011-12-29",32.11,32.34,31.75,32.17,2857528
"2012-01-05",33.75,33.86,33.06,33.8,4047468
"2012-01-12",32.89,33.3,32.76,33.25,3753876
"2012-01-19",33.33,33.63,32.82,33.27,3244216
"2012-01-26",33.6,33.6,32.63,32.88,4256988
"2012-02-02",32.5,32.87,32.32,32.49,3929868
"2012-02-09",35.12,35.62,34.88,35.58,4656568
"2012-02-16",35.94,37.21,35.91,36.98,9480452
"2012-02-23",36.2,36.36,35.88,35.96,4366024
"2012-03-01",36.8,36.99,36.56,36.81,4588112
"2012-03-08",36.32,36.83,36.28,36.59,2950808
"2012-03-15",36.74,36.97,36.36,36.91,3634532
"2012-03-22",37.12,37.36,36.89,37.25,3857764
"2012-03-29",37.09,37.16,36.7,37.12,3487264
"2012-04-05",35.76,37.89,35.76,37.58,4086296
"2012-04-12",36.34,36.71,36.2,36.68,2195892
"2012-04-19",37.28,37.57,37.04,37.28,2033400
"2012-04-26",37.48,38.59,37.48,38.5,5016640
"2012-05-03",38.88,38.94,38.31,38.39,1988368
"2012-05-10",35.45,35.66,34.79,34.84,3604624
"2012-05-17",34.46,34.59,33.36,33.49,4722912
"2012-05-24",35.09,35.96,35,35.4,2946220
"2012-05-31",35.17,35.39,34.64,35.26,1903088
"2012-06-07",35.2,35.25,34.48,34.83,2198456
"2012-06-14",36.2,36.2,34.51,34.94,3147344
"2012-06-21",35.61,35.82,34.89,34.97,2609324
"2012-06-28",34.46,34.53,33.14,33.5,4939696
"2012-07-05",33.06,33.84,32.87,33.71,8004736
"2012-07-12",33.67,34.27,33.43,34.03,2910452
"2012-07-19",36.4,38.23,36.31,38.1,9735260
"2012-07-26",37.27,37.68,36.78,37.23,2577304
"2012-08-02",36.34,37.02,36.19,36.61,2562360
"2012-08-09",37.34,37.5,36.94,37.3,2268524
"2012-08-16",37.3,37.94,37.16,37.76,1959996
"2012-08-23",37.26,37.28,36.86,37.13,2303184
"2012-08-30",38.08,38.18,37.58,38.08,1967848
"2012-09-06",37.74,38.24,37.66,38.19,1899356
"2012-09-13",39.01,40.53,38.86,40.25,4086212
"2012-09-20",40.15,40.33,39.5,40.05,2022240
"2012-09-27",39.75,40.32,39.64,40.11,1623280
"2012-10-04",40.33,40.96,40.22,40.74,2484504
"2012-10-11",40.24,40.33,39.99,40.01,1064064
"2012-10-18",42.23,42.3,41.76,42.21,1784028
"2012-10-25",39.41,39.6,38.68,38.8,1893208
"2012-11-01",39.42,40.18,39,39.93,2479696
"2012-11-08",39.4,39.4,38.32,38.36,2576660
"2012-11-15",38.54,39.06,38.25,38.47,1669900
"2012-11-29",40.63,40.63,40.01,40.45,2732696
"2012-12-06",38.48,38.9,38.16,38.25,4262708
"2012-12-13",37.42,37.6,36.75,36.86,2461060
"2012-12-20",37.85,37.92,37.08,37.66,2557572
"2012-12-27",37.06,37.65,36.85,37.54,2358812
"2013-01-03",37.7,38.06,37.56,37.95,3161048
"2013-01-10",37.04,37.73,36.85,37.73,3490936
"2013-01-17",38.3,38.38,37.16,37.78,4424340
"2013-01-24",37.65,37.76,35.7,36.44,8146912
"2013-01-31",36.5,37.21,36.5,36.9,3973884
"2013-02-07",37.82,38.62,37.62,38.47,4786184
"2013-02-14",37.97,38.38,37.58,38.2,4637348
"2013-02-21",39.88,40.18,39.5,39.74,3321812
"2013-02-28",40.17,40.52,39.94,40.32,2649936
"2013-03-07",40.86,41.06,40.32,40.62,2486144
"2013-03-14",41.15,41.46,40.94,41.26,2476452
"2013-03-21",41.59,41.62,40.94,41.57,2215428
"2013-03-28",41.62,42.16,41.48,41.94,2355304
"2013-04-04",42.12,42.46,41.96,42.44,1676820
"2013-04-11",43.04,43.58,42.63,42.84,3088384
"2013-04-18",42.42,42.5,41.68,41.92,1294948
"2013-04-25",43.7,44.73,43.52,44.69,2628088
"2013-05-02",44.21,44.29,43.5,43.84,2510604
"2013-05-09",45.24,45.5,44.91,45.16,1755128
"2013-05-16",46.42,46.6,45.2,45.38,2386884
"2013-05-23",45.7,46.56,45.44,46.28,1295720
"2013-05-30",46.27,46.48,45.99,46.24,1734524
"2013-06-06",45.84,46.22,45.54,46.19,1819788
"2013-06-13",47.55,47.66,46.85,47.12,3056124
"2013-06-20",47.88,47.94,46.56,46.71,2282836
"2013-06-27",48,48.25,47.74,48.02,1516328
"2013-07-11",49.88,50.02,49.67,49.93,1685852
"2013-07-18",48.9,49.96,48.9,49.88,2387128
"2013-07-25",49.15,49.51,48.98,49.45,1553396
"2013-08-01",49.53,50.37,49.3,50.27,1409672
"2013-08-08",49.94,50.02,49.67,49.73,1314420
"2013-08-15",48.84,48.86,48.07,48.26,2762188
"2013-08-22",47.72,48.05,47.12,47.69,1540376
"2013-08-29",46.64,47.01,46.4,46.72,2219808
"2013-09-05",48.02,48.51,47.91,48.32,1992840
"2013-09-12",48.2,48.7,48.13,48.68,2194464
"2013-09-19",49.83,51.16,49.83,51.12,3366500
"2013-09-26",49.93,50.18,49.68,49.9,2215736
"2013-10-03",48.9,49.54,48.34,48.64,2212000
"2013-10-10",48.82,48.92,48.52,48.68,1312840
"2013-10-17",50.15,50.85,50.06,50.47,2613336
"2013-10-24",53.36,53.36,52.68,52.69,1958684
"2013-10-31",53.78,54.06,53.29,53.75,2460740
"2013-11-07",55.62,55.76,54.18,54.26,2486884
"2013-11-14",55.75,56.17,55.34,56.13,1723972
"2013-11-21",56.36,56.36,55.82,56.13,1441628
"2013-12-05",58.37,58.86,58.09,58.25,2256504
"2013-12-12",57.38,58.27,57.24,58.06,2933424
"2013-12-19",59.67,60.11,59.5,59.62,1735772
"2013-12-26",61.5,62.19,61.32,62.08,1385916
"2014-01-02",63.02,63.45,62,62.38,1769940
"2014-01-09",61.93,62.37,61.46,62.29,1610138
"2014-01-16",59.97,60.2,58.8,59.21,3274923
"2014-01-23",58.54,58.77,57.91,58.15,2232363
"2014-01-30",58.69,59.96,58.69,59.41,2294053
"2014-02-06",56.23,57.61,55.43,57.43,2161080
"2014-02-13",59.06,60,58.95,59.89,3301427
"2014-02-20",56.77,58.11,56.77,58.03,2664275
"2014-02-27",58.83,59.42,58.51,58.99,3010449
"2014-03-06",59.76,60.16,59.48,60.01,1572011
"2014-03-13",61.46,61.97,60.89,61.11,3130315
"2014-03-20",61.49,62.48,61.21,62.28,2016347
"2014-03-27",60.7,61.18,60.4,60.86,1408245
"2014-04-03",62.66,62.88,61.39,61.6,2257101
"2014-04-10",59.11,59.91,58.3,58.43,2498593
"2014-04-17",60.11,60.47,59.76,59.85,1105283
"2014-04-24",60.57,60.6,59.57,60.11,1948266
"2014-05-01",61.1,61.53,60.57,61.18,1441983
"2014-05-08",60.98,62.14,60.7,61.76,2056705
"2014-05-15",62.87,62.87,61.8,62.36,1180315
"2014-05-22",62.19,62.56,61.9,62.42,1028105
"2014-05-29",62.94,62.94,62.48,62.68,761497
"2014-06-05",63.42,64.05,62.8,63.98,1862314
"2014-06-12",62.59,62.75,61.79,61.92,1258678
"2014-06-19",62.47,62.5,61.78,62.1,1386861
"2014-06-26",62.83,62.89,62.14,62.43,1229036
"2014-07-03",63.07,63.55,63.05,63.37,795691
"2014-07-10",62.64,63.21,62.25,62.83,1705048
"2014-07-17",62.37,62.71,61.6,61.6,2644144
"2014-07-24",61.4,62.87,61.4,62.49,2774342
"2014-07-31",62.05,62.26,61.22,61.27,1751333
"2014-08-07",62,62.19,61.49,61.74,1404939
"2014-08-14",61.93,62.01,61.56,61.94,958509
"2014-08-21",63.54,63.74,63.26,63.52,1495850
"2014-08-28",63.9,64.07,63.48,63.82,814881
"2014-09-04",64.89,65.6,64.86,65.36,1214801
"2014-09-11",64.77,65.18,64.5,64.66,1369417
"2014-09-18",66.98,67.21,66.41,67.04,1272961
"2014-09-25",66.62,66.66,65.5,65.61,1939424
"2014-10-02",65.99,66.72,65.38,66.62,1345031
"2014-10-09",66.69,66.75,64.85,65.04,1875343
"2014-10-16",61.9,64.16,61.86,63.98,2483172
"2014-10-23",67.04,67.65,66.13,66.24,2161993
"2014-10-30",66.77,67.72,66.58,67.27,1352893
"2014-11-06",68.5,68.99,68.34,68.91,1592978
"2014-11-13",71.56,71.66,70.86,71.34,942200
"2014-11-20",72.21,73.5,72.21,73.38,1986382
"2014-12-04",74.37,74.72,73.94,74.21,1192050
"2014-12-11",72.94,73.96,72.78,73.33,1298627
"2014-12-18",73.96,74.62,73.46,74.58,1825408
"2015-01-08",74.4,75.33,74.27,75.3,2143795
"2015-01-15",74.09,74.61,71.85,71.93,3102593
"2015-01-22",71.97,72.59,71.57,72.14,4013016
"2015-01-29",71.3,71.85,70.66,71.39,3120737
"2015-02-05",69.36,70.34,69.17,70.24,2755124
"2015-02-12",70.27,71.26,70.18,71,4011795
"2015-02-19",75.36,75.44,74.43,74.45,3656673
"2015-02-26",77.39,77.55,76.7,76.88,1926694
"2015-03-05",76.82,76.9,75.95,76.07,1748280
"2015-03-12",73.19,73.42,72.73,73.22,2684139
"2015-03-19",73.91,74.2,73.53,74.06,1095549
"2015-03-26",73.66,74.29,73.02,73.88,1144086
"2015-04-02",75.01,75.64,74.92,75.48,1075118
"2015-04-09",75.66,76.01,74.95,75.27,1034729
"2015-04-16",74.49,74.93,74.37,74.52,772912
"2015-04-23",73.82,74.37,73.61,73.91,1576526
"2015-04-30",73,73.46,72.2,72.43,2631144
"2015-05-07",70.59,71.19,70.59,70.97,1978619
"2015-05-14",70.68,70.93,69.95,70.58,2259163
"2015-05-21",71.01,71.41,70.74,71.28,1392373
"2015-05-28",69.44,71.78,69.36,71.08,3228849
"2015-06-04",70.63,71.2,70.44,70.53,1395003
"2015-06-11",70.05,70.36,69.53,69.59,1423862
"2015-06-18",69.57,70.57,69.55,70.28,1519285
"2015-06-25",69.64,70.66,69.64,70.51,2100262
"2015-07-02",71.79,72.28,71.49,72.06,2384024
"2015-07-09",70.66,71.01,69.87,69.9,1204154
"2015-07-16",73.17,73.17,72.28,73.04,1399143
"2015-07-23",74.9,75.58,74.45,74.67,2954793
"2015-07-30",75.91,76.73,75.66,76.66,1715169
"2015-08-06",76.67,76.91,75.47,76.05,1293429
