"","VIAB.Open","VIAB.High","VIAB.Low","VIAB.Close","VIAB.Volume"
"2011-09-15",45.82,46.37,45.01,46.37,3943548
"2011-09-22",43.76,44.67,40.72,41.25,11771728
"2011-09-29",41.59,41.81,40.19,41.03,6109227
"2011-10-06",39.09,40.49,38.61,40.42,3653257
"2011-10-13",42.35,42.81,42.04,42.53,3139421
"2011-10-20",42.79,42.92,41.89,42.29,3388805
"2011-10-27",44.75,46.08,44.75,45.59,4602296
"2011-11-03",43.07,43.55,40.95,41.37,7389654
"2011-11-10",40.68,44.03,39.86,43.61,11959742
"2011-11-17",44.8,46.12,44.48,44.69,4729987
"2011-12-01",45.01,45.63,42.35,43.12,5594203
"2011-12-08",43.68,43.82,42.96,43.05,3341000
"2011-12-15",42.72,43.35,42.36,42.98,3451586
"2011-12-22",43.88,44.99,43.64,44.81,3054027
"2011-12-29",45.29,46.02,45.28,45.96,1632699
"2012-01-05",45.75,47.05,45.65,46.97,3885387
"2012-01-12",47.35,47.99,47.25,47.89,3268830
"2012-01-19",48.37,48.84,47.76,48.58,4335714
"2012-01-26",48.35,48.62,47.86,48.01,2975720
"2012-02-02",45.34,48.07,44.89,46.69,12547978
"2012-02-09",49.39,49.77,48.89,49.38,3505763
"2012-02-16",48.39,49,48.12,48.9,4199658
"2012-02-23",47.59,47.81,47.22,47.49,3612708
"2012-03-01",48.13,49,47.22,48.83,6869056
"2012-03-08",47.77,48.62,47.56,48.3,3417141
"2012-03-15",47.47,47.6,46.93,47.1,4176872
"2012-03-22",46.79,47.15,46.53,46.68,3114155
"2012-03-29",47.3,47.37,46.66,47.34,3813070
"2012-04-05",46.11,47.4,46.08,47.26,5199891
"2012-04-12",46.29,47.14,46.2,47.08,4223368
"2012-04-19",47.31,47.69,47.06,47.26,3015085
"2012-04-26",47.07,47.6,46.64,47.44,2903119
"2012-05-03",46.27,49.85,46.16,49.02,9772470
"2012-05-10",47.55,48.03,47.45,47.89,3478659
"2012-05-17",47.39,47.54,46.67,46.7,3150583
"2012-05-24",47.69,48.9,47.64,48.4,7697783
"2012-05-31",47.91,48.2,47.09,47.73,5602020
"2012-06-07",47.26,47.95,47.2,47.38,4177384
"2012-06-14",46.34,47.18,46.17,46.77,3764959
"2012-06-21",48.59,48.77,47.39,47.45,4596709
"2012-06-28",46.82,46.83,45.88,46.61,2927465
"2012-07-05",48.29,48.48,47.67,47.75,4827681
"2012-07-12",46.33,46.49,45.88,46.28,2855126
"2012-07-19",47.58,47.65,46.52,46.65,4608555
"2012-07-26",46,46.41,45.82,46.04,3447776
"2012-08-02",46.1,46.48,45.55,45.83,5261887
"2012-08-09",49.2,50.05,49.1,49.79,5147028
"2012-08-16",49.69,50.2,49.65,49.94,3217712
"2012-08-23",50.39,50.63,50.11,50.17,2212818
"2012-08-30",50.21,50.3,49.82,49.91,3849000
"2012-09-06",49.56,50.12,49.18,49.83,5582487
"2012-09-13",51.68,52.39,50.8,52.26,5418390
"2012-09-20",53.31,54.58,53.26,54.38,7392901
"2012-09-27",53.12,54.3,53.02,54.15,4009987
"2012-10-04",54.58,55.97,54.38,55.66,5429870
"2012-10-11",55.19,55.62,54.16,54.3,4028979
"2012-10-18",55.25,56,55.1,55.57,2314478
"2012-10-25",54.35,54.35,53.21,53.46,2780661
"2012-11-01",51.6,52.03,50.94,51.77,4431185
"2012-11-08",50.15,50.6,49.41,49.43,3036728
"2012-11-15",48.53,50.31,48.53,49.23,13766859
"2012-11-29",51.3,51.61,51,51.39,3511809
"2012-12-06",51.37,52.61,51.14,52.51,5135677
"2012-12-13",54.35,54.45,53.16,53.35,7032835
"2012-12-20",53.66,53.86,53.33,53.49,4366769
"2012-12-27",52.86,53.01,51.88,52.61,2719472
"2013-01-03",56.1,56.85,55.93,56.45,4478563
"2013-01-10",58.05,58.52,57.45,58.5,4465929
"2013-01-17",57.14,57.96,56.97,57.59,3653270
"2013-01-24",59.12,59.39,58.36,58.56,2941753
"2013-01-31",59.51,60.84,59.03,60.35,5392303
"2013-02-07",58.4,59.14,57.98,58.89,3402641
"2013-02-14",59.2,59.95,58.51,59.95,2300112
"2013-02-21",58.53,58.62,58.02,58.06,2834080
"2013-02-28",57.97,59.06,57.7,58.5,4849880
"2013-03-07",60.6,61,60.27,60.85,2248207
"2013-03-14",62.66,63.99,62.4,63.87,4276969
"2013-03-21",61.23,61.83,61.02,61.24,1823221
"2013-03-28",61.35,62.2,61.3,61.48,2537667
"2013-04-04",62.18,63.09,62.09,62.96,2872602
"2013-04-11",65.69,66.76,65.69,66.15,2784995
"2013-04-18",65.76,65.86,64.84,65.05,1878602
"2013-04-25",65.05,65.27,63.71,64.49,3755093
"2013-05-02",66.3,67.62,66.23,67.52,4107301
"2013-05-09",68.6,69.03,68.08,68.62,2598689
"2013-05-16",69.31,69.69,68.64,68.77,2436620
"2013-05-23",68.99,69.55,68.47,69.09,2362092
"2013-05-30",68.63,68.79,67.94,67.95,2352633
"2013-06-06",66.12,66.49,65.29,66.32,2456076
"2013-06-13",65.52,66.99,65.1,66.95,2829907
"2013-06-20",66.35,66.45,65.06,65.25,2443792
"2013-06-27",67.46,68.22,67.32,67.66,1807716
"2013-07-11",71.13,71.91,70.48,70.83,2882414
"2013-07-18",72.96,74.45,72.25,74.08,3076030
"2013-07-25",72.92,73.14,71.9,72.87,2541091
"2013-08-01",73.52,74.49,73.28,74.36,2894944
"2013-08-08",80.01,80.64,79.39,80.1,3432060
"2013-08-15",78.93,79.04,78.12,78.17,2980221
"2013-08-22",77.86,79.97,77.86,79.59,2239960
"2013-08-29",78.95,80.23,78.66,79.41,2416381
"2013-09-05",78.74,80.55,78.74,79.91,3020569
"2013-09-12",81.84,83.48,81.82,82.55,4094222
"2013-09-19",83.26,84.5,83.02,83.2,3164200
"2013-09-26",82.88,84.05,82.88,83.81,2649736
"2013-10-03",82.4,83,81.7,82.15,2349495
"2013-10-10",81.1,81.66,80.72,81.05,3923009
"2013-10-17",82.14,83.25,81.96,83.12,2266918
"2013-10-24",84.28,85.35,84.22,84.39,1581337
"2013-10-31",83.54,84.18,82.66,83.29,2404891
"2013-11-07",84.16,84.2,80.84,80.91,3245810
"2013-11-14",82,83.49,80.5,80.8,7294865
"2013-11-21",80.09,80.66,79.75,80.16,2910220
"2013-12-05",81.39,82.25,81.32,81.62,2208056
"2013-12-12",80.81,81.22,80.49,80.72,1777021
"2013-12-19",83.57,84.74,83.57,84.12,3757313
"2013-12-26",85.79,85.99,85.57,85.84,1685739
"2014-01-02",87.45,87.57,86.69,86.95,1613286
"2014-01-09",87.07,87.07,85.7,86,1422315
"2014-01-16",84.43,85.32,84.43,84.94,1512695
"2014-01-23",83.54,84,82.84,83.52,2464779
"2014-01-30",83,85.33,82.51,84.01,5672562
"2014-02-06",79.87,81.31,79.61,80.73,1882913
"2014-02-13",83.46,85.49,83.46,84.71,3183809
"2014-02-20",88.17,88.17,85.88,86.51,1782948
"2014-02-27",86.09,87.04,85.79,86.86,2130888
"2014-03-06",86.91,88.34,86.89,87.97,2353844
"2014-03-13",88.56,88.86,86.84,87.1,1950515
"2014-03-20",87.7,88.14,86.84,87.52,1823529
"2014-03-27",84.46,84.73,83.42,84,2331423
"2014-04-03",87.73,88.03,86.78,87.16,2039187
"2014-04-10",85.71,85.78,82.8,82.83,2608115
"2014-04-17",82.85,84.43,82.79,84.05,2097788
"2014-04-24",85.67,85.67,84.01,84.84,1347971
"2014-05-01",83.26,84.63,82.51,83.5,3736322
"2014-05-08",83.23,84.85,83.22,83.86,1740239
"2014-05-15",82.86,83.34,81.75,83.06,2166244
"2014-05-22",84.47,85.25,84.27,84.67,1614564
"2014-05-29",85.91,86.12,85.37,85.62,1803010
"2014-06-05",86.89,87.76,86.43,87.48,1626647
"2014-06-12",86.47,86.59,85.52,85.95,1932146
"2014-06-19",87.55,87.62,86.83,87,1833992
"2014-06-26",85,85.49,84.3,85.43,1501016
"2014-07-03",87.37,87.98,87.03,87.48,1030244
"2014-07-10",86,86.94,85.62,86.3,2229806
"2014-07-17",87.01,88.92,87.01,87.64,3613940
"2014-07-24",85.96,86.06,85.49,85.62,3413958
"2014-07-31",84.25,84.87,82.64,82.67,2816465
"2014-08-07",80.06,81.09,79.27,79.73,3671856
"2014-08-14",80.22,80.92,80.22,80.82,1678195
"2014-08-21",81.07,81.32,80.64,80.75,2221445
"2014-08-28",80.48,81.21,80.46,80.77,1621513
"2014-09-04",80.92,81.54,80.89,81.09,1841774
"2014-09-11",79.82,80.16,79.46,79.92,2169215
"2014-09-18",79.89,80.53,79.38,80.46,2273858
"2014-09-25",78.1,78.4,76.92,76.97,1974175
"2014-10-02",74.91,75.3,73.23,74.6,3345359
"2014-10-09",74.34,74.49,71.79,72.06,3072820
"2014-10-16",65.93,68.58,65.86,68.23,4682613
"2014-10-23",70.92,71.87,70.58,71.47,2587332
"2014-10-30",72.69,72.89,71.97,72.72,3203117
"2014-11-06",70.64,71.14,70.36,70.79,3139120
"2014-11-13",69.94,72.95,69.81,71.2,6310269
"2014-11-20",73.41,74.26,72.93,73.8,3002271
"2014-12-04",74.88,75.2,73.41,74.74,5174333
"2014-12-11",73.24,73.66,72.59,72.97,2365616
"2014-12-18",74.81,75.83,74.36,75.74,3415858
"2015-01-08",71.72,72.61,71.57,72.29,3710929
"2015-01-15",68.1,68.25,65.73,66.48,8232368
"2015-01-22",67.88,68.73,67.52,68.61,2811154
"2015-01-29",66.84,67.77,64.94,67.49,5472614
"2015-02-05",66.25,66.39,65.4,66.25,4114161
"2015-02-12",67.5,68.04,66.34,67.71,2569261
"2015-02-19",68.16,69.5,67.77,69.3,2845171
"2015-02-26",70.14,70.54,68.9,69.61,3787282
"2015-03-05",71.21,71.21,69.97,70.34,2495584
"2015-03-12",69.3,70.02,68.64,69.71,2911949
"2015-03-19",68.84,69.28,68.49,68.81,2521499
"2015-03-26",67.4,67.71,66.8,67.25,2695192
"2015-04-02",67.37,67.95,66.99,67.59,2390705
"2015-04-09",67.69,69.41,67.63,69.32,2515711
"2015-04-16",70.14,71.19,70.09,70.91,2502123
"2015-04-23",70.18,71.38,69.98,70.7,2565524
"2015-04-30",71.67,73.52,68.62,69.45,6690712
"2015-05-07",67.51,67.99,66.29,66.68,4378898
"2015-05-14",64.8,65.13,64.32,65.1,1975757
"2015-05-21",65.94,67.02,65.68,66.91,2150144
"2015-05-28",67.98,68.32,67.01,67.34,2974352
"2015-06-04",67.77,69.17,67.73,68.06,4662452
"2015-06-11",67.12,67.52,66.81,67.43,2905688
"2015-06-18",67.14,68,66.88,67.44,3319113
"2015-06-25",66.91,66.91,66.36,66.46,1743618
"2015-07-02",64.65,64.89,64,64.2,1505396
"2015-07-09",62.27,62.56,61.06,61.36,3265104
"2015-07-16",61.82,62.23,61.37,61.79,2031706
"2015-07-23",58.62,58.72,57.94,58.23,3389578
"2015-07-30",56.25,56.91,56.1,56.36,2735438
"2015-08-06",48.99,49.5,39.28,44.1,33191205
"2015-08-13",45.79,46.09,44.93,45.75,5285831
"2015-08-20",42.67,42.68,40.41,40.42,5533243
"2015-08-27",39.05,40.1,38.37,39.25,6431703
"2015-09-03",41.73,43.16,41.65,43.15,7397048
"2015-09-10",44.23,45.36,44.19,44.7,6146812
"2015-09-17",45.39,45.91,44.9,45.26,5230150
"2015-09-24",43.23,43.61,42.92,43.6,6368794
"2015-10-01",43.56,43.81,42.48,42.83,6639435
"2015-10-08",47.36,48.02,46.55,47.92,4359391
"2015-10-15",47.23,49.29,47.23,49.24,4479363
