"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume"
"2011-09-15",22.37,22.49,21.96,22.41,11203277
"2011-09-22",18.87,19.3,18.22,18.57,16476179
"2011-09-29",19.02,19.18,18.13,18.6,11793967
"2011-10-06",19.65,20.51,19.42,20.29,12097457
"2011-10-13",22.01,22.73,21.78,22.65,10402244
"2011-10-20",22.96,23.48,22.58,23.38,9744627
"2011-10-27",26.8,26.86,25.64,26.24,16325328
"2011-11-03",25.5,25.6,24.8,25.44,9540174
"2011-11-10",25.68,26.15,24.67,25.61,11313954
"2011-11-17",22.27,22.95,21.63,21.87,17040107
"2011-12-01",22.23,22.54,21.91,22.12,6936474
"2011-12-08",21.69,21.71,20.71,20.88,11912531
"2011-12-15",20.7,20.79,20.27,20.34,6865878
"2011-12-22",21.17,21.3,20.83,20.99,5735874
"2011-12-29",20.75,20.83,20.52,20.75,6431200
"2012-01-05",19.81,19.93,19.12,19.81,20359022
"2012-01-12",20.37,21.12,20.3,20.94,13534564
"2012-01-19",23.24,23.3,22.79,23,9981383
"2012-01-26",24.74,24.79,23.68,23.89,9699629
"2012-02-02",24.19,24.21,23.9,24.08,8525665
"2012-02-09",25.26,25.38,24.83,25.29,9611287
"2012-02-16",25.04,25.65,24.65,25.35,10727846
"2012-02-23",25.55,25.84,25.22,25.8,7631029
"2012-03-01",24.63,25.97,24.63,25.7,14759400
"2012-03-08",27.19,28.09,27.19,27.87,16429896
"2012-03-15",28.04,28.2,27.67,28.02,10051924
"2012-03-22",26.83,26.9,26.25,26.44,9733592
"2012-03-29",27.05,27.05,26.08,26.65,11643146
"2012-04-05",25.11,25.42,24.64,24.94,10781065
"2012-04-12",23.86,25.13,23.85,24.93,9188093
"2012-04-19",23.88,24.25,23,23.9,6894474
"2012-04-26",24.05,24.61,23.91,24.57,5333493
"2012-05-03",24.17,24.21,23.3,23.54,9025895
"2012-05-10",22.89,23.08,22.51,22.56,6221790
"2012-05-17",21.8,22.13,21.54,21.59,8557753
"2012-05-24",22.33,22.44,21.78,22.12,8449817
"2012-05-31",21.76,21.83,20.99,21.1,9378784
"2012-06-07",22.09,22.17,21.27,21.45,6304238
"2012-06-14",21.72,22.34,21.54,21.89,8624264
"2012-06-21",23.64,23.75,22.7,22.99,11821418
"2012-06-28",23.38,23.98,23.22,23.93,8777996
"2012-07-05",24.9,25.06,24.37,24.41,5951991
"2012-07-12",23.92,24.57,23.63,24.3,10501864
"2012-07-19",25.84,26,25.22,25.42,7559386
"2012-07-26",25.22,25.64,25.05,25.51,6222611
"2012-08-02",27,27.53,26.65,27.3,11181987
"2012-08-09",28.77,29.16,28.57,28.86,8479878
"2012-08-16",28.59,29.06,28.32,29.02,8015148
"2012-08-23",29.51,29.72,29.15,29.21,5654705
"2012-08-30",30.63,30.91,30.52,30.73,8387060
"2012-09-06",31.55,31.8,31.09,31.42,10164428
"2012-09-13",32.73,32.88,32,32.79,11510251
"2012-09-20",32.09,32.28,31.78,32.14,8132479
"2012-09-27",31.21,31.55,30.96,31.44,6425348
"2012-10-04",32.01,32.88,32,32.61,6701621
"2012-10-11",29.71,30.15,29.03,29.14,12791721
"2012-10-18",29.83,30.12,29.53,29.64,7379938
"2012-10-25",28.79,28.98,28.23,28.49,4896124
"2012-11-01",28.71,29.21,28.51,28.76,8971424
"2012-11-08",29.45,30.57,29.36,29.37,9997416
"2012-11-15",28.7,29.75,28.56,29.58,8550068
"2012-11-29",31.87,32.34,31.82,32.24,9884845
"2012-12-06",31.26,31.81,30.96,31.8,7607937
"2012-12-13",32.82,32.85,32.06,32.6,7062264
"2012-12-20",34.11,34.38,33.92,34.38,7576061
"2012-12-27",33.7,34.1,33.08,33.83,5563683
"2013-01-03",35.4,35.57,34.54,34.72,8809842
"2013-01-10",34.67,35.29,34.44,34.9,9434015
"2013-01-17",37.26,37.47,36.75,36.82,12485193
"2013-01-24",37.8,38.38,37.76,37.96,7979270
"2013-01-31",43.09,44.23,42.97,43.73,10212175
"2013-02-07",45.62,45.78,44.94,45.32,9591330
"2013-02-14",46.3,47.5,46.24,47.23,9129168
"2013-02-21",44.74,45.86,43.51,45.53,12589950
"2013-02-28",46.01,46.55,45.51,45.59,9206151
"2013-03-07",47.57,47.71,46.16,46.51,10951628
"2013-03-14",43.73,44,42.51,43.84,16253404
"2013-03-21",44.29,44.88,44.02,44.02,9091789
"2013-03-28",45.3,45.8,44.98,45.49,8101408
"2013-04-04",40.32,41.48,39.8,41.44,9959992
"2013-04-11",42.94,43,40.87,41.26,15214729
"2013-04-18",38.3,39.16,37.83,38.69,8962826
"2013-04-25",42.34,42.5,41.02,41.24,9546681
"2013-05-02",36.9,37.38,35.81,36.98,10785270
"2013-05-09",38.31,38.55,37.96,38.23,8213144
"2013-05-16",39.82,40.25,39.29,39.61,7770226
"2013-05-23",39.71,40.82,39.3,40.24,6249827
"2013-05-30",40.24,40.95,40.04,40.66,5721809
"2013-06-06",38.59,39.45,38.31,39.27,5155016
"2013-06-13",37.85,38.9,37.85,38.66,5730671
"2013-06-20",37.08,37.09,35.7,35.73,12004579
"2013-06-27",35.58,35.75,34.88,34.99,5603533
"2013-07-11",34.12,34.63,33.62,34.54,9539518
"2013-07-18",35.19,35.51,34.17,34.22,9618726
"2013-07-25",34.46,35.97,34.4,35.67,10288478
"2013-08-01",36.15,36.52,35.92,36.06,5599667
"2013-08-08",36.68,37.15,36.26,37.03,7532512
"2013-08-15",36.45,36.64,35.92,35.93,5463282
"2013-08-22",35.54,36.21,35.35,35.98,3459456
"2013-08-29",35.7,36.17,35.4,35.8,3535292
"2013-09-05",36.83,37.28,36.56,36.75,6581259
"2013-09-12",35.86,35.87,34.67,34.7,9919520
"2013-09-19",35.26,35.49,34.66,34.73,5191887
"2013-09-26",34.96,35.04,34.14,34.31,5573550
"2013-10-03",34.2,34.46,33.88,34.1,5669977
"2013-10-10",34.48,35.9,34.48,35.57,11291016
"2013-10-17",37.19,38.78,37.11,38.39,9538466
"2013-10-24",39.95,40,39.33,39.42,11800917
"2013-10-31",41.3,42.15,41.15,41.17,9745969
"2013-11-07",39.88,40.46,39.28,39.28,11937671
"2013-11-14",41.58,43.35,41.42,42.84,10173473
"2013-11-21",42.07,42.74,42.07,42.54,5555530
"2013-12-05",46.15,46.32,45.3,45.35,15091182
"2013-12-12",45.96,46.49,45.82,45.88,6697060
"2013-12-19",47.94,48.2,46.56,46.66,9663193
"2013-12-26",48.56,48.96,48.51,48.76,3840468
"2014-01-02",50.14,50.5,49.57,49.87,4582849
"2014-01-09",52.05,53.03,51.95,52.9,10732239
"2014-01-16",51.31,51.48,50.01,50.88,10525789
"2014-01-23",51.19,52,50.34,51.25,10802348
"2014-01-30",52.09,52.8,51.31,51.41,6473056
"2014-02-06",46.36,47.4,45.9,47.18,8944202
"2014-02-13",47.37,49.04,47.34,49.01,6816801
"2014-02-20",50.5,50.56,48.99,49.59,11277016
"2014-02-27",50.59,50.73,48.12,48.51,15346357
"2014-03-06",50.46,52.89,50.45,52.88,13447614
"2014-03-13",55.29,55.36,53.42,54.04,8917533
"2014-03-20",54.26,55.6,53.66,55.19,6930003
"2014-03-27",53.64,53.8,51.98,52.17,7698846
"2014-04-03",54.98,55.98,54.97,55.79,5752059
"2014-04-10",52.89,53.76,51.85,51.93,5189113
"2014-04-17",55.55,56.02,54.91,56,8013209
"2014-04-24",56.89,56.92,55.82,56.55,4026463
"2014-05-01",57.14,58.38,56.77,57.71,5992715
"2014-05-08",57.68,58.5,56.58,56.81,4827023
"2014-05-15",56.27,56.33,55.25,55.83,5251195
"2014-05-22",54.28,54.98,54.22,54.67,3498326
"2014-05-29",55.72,56.69,55.47,56.64,4925988
"2014-06-05",54.89,55.79,54.35,55.64,5216877
"2014-06-12",53.4,53.95,52.92,53.81,9069039
"2014-06-19",55.87,57.14,55.83,57.09,8749300
"2014-06-26",51.85,52.94,51.38,52.27,15472097
"2014-07-03",50.97,51.15,50.47,51,4336834
"2014-07-10",48.82,49.29,48.42,49.21,7465954
"2014-07-17",49.73,50.14,48.77,48.84,7432445
"2014-07-24",48.4,49.1,48.21,48.68,5637467
"2014-07-31",49.98,51.5,49.38,50.8,11043148
"2014-08-07",51.49,51.77,50.6,50.85,5075093
"2014-08-14",51.49,53.1,51.36,52.78,6819790
"2014-08-21",54.05,54.28,53.48,53.51,5242239
"2014-08-28",53.89,54.44,53.86,54.16,3367746
"2014-09-04",53.25,53.66,52.32,52.6,4973287
"2014-09-11",50.53,50.95,49.61,49.87,10824961
"2014-09-18",48.39,48.65,47.3,47.62,10824800
"2014-09-25",46.72,46.8,45.98,46.33,8881102
"2014-10-02",45.56,46.27,44.4,45.17,9606032
"2014-10-09",46.92,47.33,45.15,45.43,8679388
"2014-10-16",43.09,45.76,42.81,44.75,12250026
"2014-10-23",49.03,49.23,47.9,48.01,5625901
"2014-10-30",48.61,49.48,48.19,48.85,4326953
"2014-11-06",49.88,50.67,49.73,50.24,6769053
"2014-11-13",51.21,51.24,49.2,49.68,9948472
"2014-11-20",50.06,50.54,49.95,50.26,8481989
"2014-12-04",51.51,52.05,50.74,51.59,8172900
"2014-12-11",46.78,47.81,46.48,46.81,5657782
"2014-12-18",48.4,48.52,45.85,47.07,13097101
"2015-01-08",48.09,50.12,47.76,50.02,8941712
"2015-01-15",45.3,45.32,43.45,44.07,11217161
"2015-01-22",48,48.17,46.86,48,9023296
"2015-01-29",52.88,53.2,51.18,52.08,11391471
"2015-02-05",54.66,55.22,54.01,55.01,6612236
"2015-02-12",55.64,57.07,55.28,56.55,10149258
"2015-02-19",59.2,60.68,58.99,60.18,7449200
"2015-02-26",61.37,62.8,61.35,61.97,7633470
"2015-03-05",59.43,60.44,59.28,59.96,6580399
"2015-03-12",58.14,59.28,57.66,57.78,7140062
"2015-03-19",61.36,61.52,60.4,60.8,5156567
"2015-03-26",64.41,64.46,63,63.38,7688313
"2015-04-02",63.37,63.65,59.31,59.8,13137889
"2015-04-09",59.22,59.32,58.14,58.92,5982608
"2015-04-16",57.06,58.7,56.84,58.26,6487315
"2015-04-23",59.5,59.87,58.92,59.23,5542651
"2015-04-30",58.05,58.12,56.09,56.9,8067518
"2015-05-07",57.43,58.08,57.12,57.79,5762505
"2015-05-14",58.57,59.92,58.48,59.79,5104555
"2015-05-21",60.2,60.74,59.85,60.61,3711487
