"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume"
"2011-09-15",33.66,33.88,33.15,33.26,1121982
"2011-09-22",29.04,29.41,28.2,28.66,2670639
"2011-09-29",29.76,29.99,28.13,28.95,2005508
"2011-10-06",28.35,29.24,27.82,29.07,827163
"2011-10-13",31.12,31.56,30.19,31.41,1148582
"2011-10-20",30.06,30.5,29.58,30.26,1303380
"2011-10-27",33.49,34.91,32.36,34.63,2388940
"2011-11-03",29.71,31.3,29.06,31.19,1889226
"2011-11-10",30,30.3,29.25,29.79,1573689
"2011-11-17",31.65,32.75,30.97,31.2,2377896
"2011-12-01",32.28,33.04,32.05,32.28,1584934
"2011-12-08",33.69,34.08,32.39,32.5,1515210
"2011-12-15",38.72,39.59,38.3,38.68,1861894
"2011-12-22",39.01,39.44,38.35,39.22,1085350
"2011-12-29",38.99,39.53,38.8,39.14,788712
"2012-01-05",38.93,39.94,38.78,39.62,826843
"2012-01-12",40.37,40.61,39.66,40.5,852064
"2012-01-19",41.47,41.85,41.12,41.64,898949
"2012-01-26",43.31,43.65,42.69,43.25,627744
"2012-02-02",44.17,44.71,43.75,43.95,587203
"2012-02-09",46.05,47.54,45.87,47.4,1640202
"2012-02-16",47.09,47.76,46.57,47.53,1469862
"2012-02-23",46.02,46.77,45.61,46.4,723608
"2012-03-01",44.51,45.22,43.96,44.14,1356853
"2012-03-08",44.13,45.05,43.93,44.91,498033
"2012-03-15",45.45,46.16,45.1,45.99,512061
"2012-03-22",44.79,44.79,43.87,44.18,327225
"2012-03-29",42.34,42.54,41.5,42.41,639167
"2012-04-05",42.36,43.06,42.27,42.5,739331
"2012-04-12",41.67,42.9,41.53,42.11,774482
"2012-04-19",41.38,41.4,40.7,41.02,604638
"2012-04-26",41.97,42.15,41.2,41.93,329016
"2012-05-03",42.73,42.82,41.94,42.7,701353
"2012-05-10",41.06,41.06,39.85,39.99,608979
"2012-05-17",35.5,35.66,33.87,33.9,1969044
"2012-05-24",34.74,35.03,34.27,35.03,351348
"2012-05-31",34.96,35.22,33.97,34.65,553581
"2012-06-07",34.37,34.4,33.47,33.78,433672
"2012-06-14",32.95,33.47,32.85,33.45,291011
"2012-06-21",34.8,35.19,34.1,34.32,690230
"2012-06-28",36.97,38.63,36.67,37.71,1061721
"2012-07-05",40.63,41.28,40.24,41.13,524230
"2012-07-12",40.83,41.97,40.61,41.68,565034
"2012-07-19",44.26,44.36,43.84,44.12,437783
"2012-07-26",42.27,42.3,36.76,37.83,2043308
"2012-08-02",36.95,37.5,35.69,36.9,818263
"2012-08-09",39.03,40,38.87,39.89,589287
"2012-08-16",39.18,40,39.14,39.82,344016
"2012-08-23",40.26,40.37,39.58,39.59,345975
"2012-08-30",39.75,39.96,38.47,38.5,626054
"2012-09-06",38.26,38.99,38.15,38.49,593357
"2012-09-13",46.46,47.27,45.28,46.96,1750432
"2012-09-20",47.19,47.84,46.28,47.78,1308677
"2012-09-27",45.99,47.95,45.99,47.93,669551
"2012-10-04",47.56,48.59,47.23,47.96,586814
"2012-10-11",46.38,47.15,46.18,46.71,391841
"2012-10-18",49.07,49.78,48.51,48.8,433245
