"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume"
"2011-09-15",85.36,86.48,84.54,86.31,1802795
"2011-09-22",77.93,78.66,76.69,77.75,2962663
"2011-09-29",78.83,79.05,76.89,77.68,1978846
"2011-10-06",72.23,73.54,70.76,73.4,2242614
"2011-10-13",73.53,74.73,72.21,74.01,1392718
"2011-10-20",75.59,76.7,74.41,76.63,1487807
"2011-10-27",82.34,83.31,81.1,82.67,2565878
"2011-11-03",82.03,82.76,79.71,82.48,1018922
"2011-11-10",80.31,80.61,77.54,78.01,1372226
"2011-11-17",76.8,77.35,75.01,75.36,1483944
"2011-12-01",74.4,74.59,73.01,74.1,1117508
"2011-12-08",74.81,74.81,72.93,73.15,1162305
"2011-12-15",73.31,73.95,72.78,73.5,1159023
"2011-12-22",76.09,77.34,76.02,76.94,870037
"2011-12-29",75.84,77.04,75.69,76.92,653346
"2012-01-05",75.43,76.87,75.17,76.82,1150460
"2012-01-12",78.99,79.6,78.15,78.83,1069819
"2012-01-19",80.2,80.49,79.5,80.08,719901
"2012-01-26",81.34,82.48,81.03,81.14,1540626
"2012-02-02",82.41,83.74,82.26,83.58,1685424
"2012-02-09",85.76,85.93,84.2,84.25,1527036
"2012-02-16",84.21,85.57,83.82,85.19,1021188
"2012-02-23",83.53,84.55,83.14,84.54,832610
"2012-03-01",81.82,82.81,81.6,81.82,1162263
"2012-03-08",80.61,80.89,79.8,79.9,1353879
"2012-03-15",83.01,83.74,82.79,83.47,1433246
"2012-03-22",83.79,84.27,82.98,83.39,1047887
"2012-03-29",83.04,83.61,82.27,83.45,818102
"2012-04-05",82.51,83.01,81.7,82,717876
"2012-04-12",79.81,81.03,79.5,81.03,895389
"2012-04-19",83.27,83.47,82.65,82.93,1142712
"2012-04-26",84.65,85.56,84.24,85.36,1430483
"2012-05-03",87.68,87.94,86.93,87.14,1230563
"2012-05-10",88.3,88.35,86.61,87,809008
"2012-05-17",84.53,84.66,82.44,82.44,1216614
"2012-05-24",83.14,83.78,82.09,83.24,563312
"2012-05-31",81.67,82.71,80.65,81.92,1246121
"2012-06-07",82.92,83,81.5,81.77,1174331
"2012-06-14",80.4,81.58,80.17,81.24,828510
"2012-06-21",82.23,82.37,80.59,80.73,1185252
"2012-06-28",80.25,81.46,79.82,81.46,630397
"2012-07-05",84.54,85.1,84.15,84.7,542564
"2012-07-12",83.04,84.74,82.97,84.29,1055382
"2012-07-19",85.63,85.74,83.58,84.38,1043152
"2012-07-26",82.58,83.01,81.86,82.62,1092348
"2012-08-02",83.2,83.93,82.93,83.93,783518
"2012-08-09",81.53,81.67,79.84,80.01,1708406
"2012-08-16",81.5,81.85,80.88,81.67,637355
"2012-08-23",82.22,82.38,81.37,81.58,506120
"2012-08-30",81.39,81.5,80.58,80.81,952580
"2012-09-06",81.5,81.91,81.32,81.62,912804
"2012-09-13",82.6,84.42,82.41,84.3,940008
"2012-09-20",83.37,83.37,81.76,82.62,1445551
"2012-09-27",81.2,81.84,80.78,81.41,978813
"2012-10-04",80.94,81.06,79.63,79.79,883444
"2012-10-11",79.38,79.63,78.95,79.02,679472
"2012-10-18",80.14,82.35,80.14,82.33,2882410
"2012-10-25",80.77,81.37,79.15,80,1144467
"2012-11-01",80.14,81.27,79.64,80.93,829933
"2012-11-08",78.74,79.28,77.97,77.97,974136
"2012-11-15",74.02,74.54,73.06,73.28,1318149
"2012-11-29",75.84,75.99,75.2,75.84,905695
"2012-12-06",75.13,75.75,75.02,75.65,946027
"2012-12-13",76.78,77,76.4,76.73,814781
"2012-12-20",79.34,80.15,79.07,80.15,818228
"2012-12-27",79.31,79.8,78.83,79.54,715989
"2013-01-03",81.06,81.65,80.5,81.31,940726
"2013-01-10",81.86,81.97,80.87,81.05,1152391
"2013-01-17",83.24,83.62,82.82,83.46,762705
"2013-01-24",84.39,84.81,84.08,84.77,951862
"2013-01-31",85.15,85.25,84.37,84.46,999307
"2013-02-07",83.89,84.02,83.17,83.28,841414
"2013-02-14",85.21,85.28,84.61,85.04,694976
"2013-02-21",84.9,84.9,83.93,84,852335
"2013-02-28",82.88,83.26,80.21,80.21,3696240
"2013-03-07",83.18,83.62,82.85,83.02,1169123
"2013-03-14",83.34,83.66,83.09,83.37,772233
"2013-03-21",81.29,81.95,81.28,81.48,1230447
"2013-03-28",83.34,83.7,82.85,83.64,843898
"2013-04-04",85.44,87.31,85.31,87.22,1351378
