"","VRTX.Open","VRTX.High","VRTX.Low","VRTX.Close","VRTX.Volume"
"2011-09-15",51.06,51.17,49.73,50.12,2744100
"2011-09-22",51.48,51.98,47.96,49.31,4076768
"2011-09-29",46.45,46.85,43.36,44.51,1927746
"2011-10-06",45.01,45.19,43.72,44.63,1498988
"2011-10-13",43.88,44.2,42.5,43.88,7828162
"2011-10-20",40.27,42.65,39.87,42.28,2873142
"2011-10-27",44,44.25,41.44,42.58,4005275
"2011-11-03",37.42,37.76,35.45,36.63,3249225
"2011-11-10",31.52,32.66,31.21,31.98,6052852
"2011-11-17",29.18,29.62,28.78,29.01,3345709
"2011-12-01",28.68,29.47,28.55,29.39,3539172
"2011-12-08",29.59,29.73,28.46,28.56,2537241
"2011-12-15",30.84,32.46,30.32,31.43,5973531
"2011-12-22",32.91,33.28,32.55,33.02,1422075
"2011-12-29",32.38,32.83,32,32.76,864382
"2012-01-05",32.25,33.54,32.16,33.12,3208897
"2012-01-12",37.3,37.47,36,37.07,2813894
"2012-01-19",37.5,37.89,36.82,36.97,2983852
"2012-01-26",35.42,35.97,35.3,35.72,1862744
"2012-02-02",37.95,38.5,37.22,38.38,4077145
"2012-02-09",37.13,37.23,35.98,37.04,3253195
"2012-02-16",36.59,37.89,36.53,37.49,2445843
"2012-02-23",37.71,39.2,37.5,38.64,3468559
"2012-03-01",38.93,40.79,38.31,40.37,4023888
"2012-03-08",40.79,41.93,40.58,41.66,2086990
"2012-03-15",41.4,43.13,41.27,42.81,2760655
"2012-03-22",41.08,41.46,40.17,40.64,1616279
"2012-03-29",40.21,40.82,39.79,40.54,1315338
"2012-04-05",40.37,40.67,39.62,40.05,2105675
"2012-04-12",36.94,38,36.91,37.71,2008154
"2012-04-19",35.49,37.05,35.4,36.66,1919675
"2012-04-26",37.66,38.02,37.22,37.52,1942164
"2012-05-03",38.47,38.7,37.92,38.11,1614183
"2012-05-10",59.13,61.03,58.95,60.19,5306103
"2012-05-17",62.99,62.99,61.21,61.27,3138802
"2012-05-24",63.78,64.09,62.2,64.09,2541913
"2012-05-31",59.71,60.55,59.59,60.04,4084700
"2012-06-07",58.42,58.52,56.15,56.77,3622074
"2012-06-14",55.25,56.32,54.02,55.94,1965402
"2012-06-21",59.19,59.37,57.39,57.6,1267756
"2012-06-28",53.93,56.67,47.86,51.18,19490422
"2012-07-05",55.51,56.03,55.31,55.51,1647583
"2012-07-12",52.4,53.88,51.86,52.94,1690176
"2012-07-19",53.53,53.58,51.64,52.1,1684496
"2012-07-26",49.61,49.94,48.62,49.08,1108716
"2012-08-02",50,50.79,49.28,49.62,3082420
"2012-08-09",50.71,52.18,50.71,51.51,1391690
"2012-08-16",54.22,57.13,54.08,54.48,2681262
"2012-08-23",54.51,54.66,53.57,53.87,1084446
"2012-08-30",53.21,53.8,52.93,53.28,1216249
"2012-09-06",55.05,57.92,54.81,57.44,1876162
"2012-09-13",55.98,57.08,55.17,56.21,1416307
"2012-09-20",57.58,58.77,57.01,58.13,1227514
"2012-09-27",54.73,56.03,54.19,55.66,1485333
"2012-10-04",58.03,59.65,58,59.39,2259321
"2012-10-11",57.35,60,53.5,56.88,8523831
"2012-10-18",53.79,53.79,51.84,52.62,2371413
"2012-10-25",49.91,50.42,49.12,50.11,1152996
"2012-11-01",49.01,52.3,48.6,50.48,3581409
"2012-11-08",45.38,45.58,44.48,44.61,1552600
"2012-11-15",41.71,42.25,39.8,40.66,3452688
"2012-11-29",39.72,40.25,39.5,39.74,1461608
"2012-12-06",39.29,39.4,38.8,39.1,1264595
"2012-12-13",42.06,42.61,42.02,42.15,2680143
"2012-12-20",42.97,43.46,42.51,43.34,1628049
"2012-12-27",41.69,41.98,41.23,41.76,1404521
"2013-01-03",43.7,45.3,43.31,45.15,1841515
"2013-01-10",48.59,48.63,46.25,46.8,2511328
"2013-01-17",46.6,47.32,46.48,46.79,1369593
"2013-01-24",46.63,47.75,46.5,47.32,1598348
"2013-01-31",44.48,45.25,44.27,44.78,4665198
"2013-02-07",46.11,46.24,44.96,45.65,1110165
"2013-02-14",46.39,46.46,45.35,45.66,1347794
"2013-02-21",45.21,45.67,44.77,44.82,1693444
"2013-02-28",46.89,48.15,46.59,46.82,1900680
"2013-03-07",49.51,50.36,49.22,50.17,1583871
"2013-03-14",52.98,52.98,52.05,52.79,1139374
"2013-03-21",52.04,52.95,51.85,52.24,1226006
"2013-03-28",54.56,55.93,54.55,54.97,2357444
"2013-04-04",53.59,53.63,52.03,52.95,1344021
"2013-04-11",54.72,55.73,53.64,54.83,1040108
"2013-04-18",54.14,54.15,51.96,52.87,6195671
"2013-04-25",80.96,81.19,79.39,80.32,2875147
"2013-05-02",76.3,78.04,76.16,77.72,2159307
"2013-05-09",75.23,77.13,74.95,76.78,2089201
"2013-05-16",78.67,79.31,75.85,77.89,2475112
"2013-05-23",78.19,79.47,77.16,78.48,1663549
"2013-05-30",78.43,83.94,78.26,83.14,2423359
"2013-06-06",77.3,79.15,77.1,78.02,1564133
"2013-06-13",82.25,84.62,78.79,82.66,1945870
"2013-06-20",76.8,77.73,75.3,76.16,1877110
"2013-06-27",81.56,81.77,79.66,80.53,1074764
"2013-07-11",82.05,84.78,81.86,84.7,1475965
"2013-07-18",85.99,86.93,85.1,86.79,715590
"2013-07-25",84.77,87.89,84,87.62,1282786
"2013-08-01",80.59,81.98,80.26,80.72,2086281
"2013-08-08",78.42,78.42,77.22,77.67,707503
"2013-08-15",77.39,78.26,76.6,76.96,1439961
"2013-08-22",76.84,78.6,76.79,78.4,779828
"2013-08-29",75.79,78.15,75.54,77.25,704609
"2013-09-05",78.13,79.91,78.12,78.38,945926
"2013-09-12",81.76,82.14,80.26,81.4,2285642
"2013-09-19",77.23,77.37,76,76.29,2408700
"2013-09-26",74.67,76.59,74.34,76.53,1564442
"2013-10-03",76.75,77.65,75.92,77.16,2017210
"2013-10-10",70.12,71.61,69.45,70.99,1537738
"2013-10-17",75.13,77.48,74.4,76.86,1420767
"2013-10-24",75.75,77.74,75.61,76.91,1252516
"2013-10-31",71.75,72.38,70.25,71.35,2463555
"2013-11-07",63.7,63.84,60.97,61.02,1916171
"2013-11-14",61.6,61.7,60.6,61.03,974385
"2013-11-21",65.24,66.49,65.14,66.23,1592586
"2013-12-05",67.14,67.43,65.98,66.45,1561647
"2013-12-12",64.38,66.5,64.12,65.36,1262402
"2013-12-19",67,71,67,69.95,3968896
"2013-12-26",73.63,74.05,72.76,73.81,698722
"2014-01-02",74.07,74.15,72.88,73.83,966843
"2014-01-09",75.44,77,74.96,76.32,1660257
"2014-01-16",79.17,81.03,78.77,81,1503203
"2014-01-23",83.35,84.2,82.48,83.83,1251187
"2014-01-30",80.82,84.38,80.05,82.15,2458832
"2014-02-06",76.45,79.24,76.24,78.17,1685274
"2014-02-13",83.39,85.65,82.03,85,1492749
"2014-02-20",83.07,84.46,81.86,84.01,1234439
"2014-02-27",84.24,84.57,82.39,83.16,1374793
"2014-03-06",83.51,83.59,79.33,79.94,1522554
"2014-03-13",79.92,80,77.11,77.86,1130437
"2014-03-20",77.72,78.57,76.6,77.77,957287
"2014-03-27",70.3,71.65,68.24,70.78,1786222
"2014-04-03",71.96,72.74,67.93,69.12,1730196
"2014-04-10",69.32,69.81,65.31,65.69,2545734
"2014-04-17",64.18,65.68,63.42,64.17,1387435
"2014-04-24",66.96,67.49,64.05,66.18,1204660
"2014-05-01",67.54,69.71,66.53,68.95,1837050
"2014-05-08",65.13,66.14,63.46,63.8,1309632
"2014-05-15",66.69,67.48,65.02,65.46,1538525
"2014-05-22",68.24,71.48,67.5,71.18,2010722
"2014-05-29",72.31,72.96,71.42,72.81,1320969
"2014-06-05",72.63,73.45,71.6,73.06,1405473
