"","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume"
"2011-09-15",51.7,52.27,51.42,52.25,2108753
"2011-09-22",49.32,49.99,48.57,49.12,2680822
"2011-09-29",50.33,50.5,49.24,50.11,1672205
"2011-10-06",48.35,49.17,47.78,49.03,1846325
"2011-10-13",49.53,49.72,48.26,49.27,2046057
"2011-10-20",51.55,51.78,50.42,51.66,1889298
"2011-10-27",54.94,55.08,53.87,54.67,3572435
"2011-11-03",55.1,55.43,53.73,54.99,2833525
"2011-11-10",53.14,53.28,52.04,52.72,1562508
"2011-11-17",52.57,52.73,51.23,51.46,1697326
"2011-12-01",52.58,52.59,51.46,51.69,1454210
"2011-12-08",52.92,53.06,52.19,52.37,2092539
"2011-12-15",52.33,53.08,52.02,52.85,1583862
"2011-12-22",54.05,54.73,53.99,54.51,1226176
"2011-12-29",54.97,55.56,54.88,55.3,1145750
"2012-01-05",53.71,54,53.24,53.94,2056322
"2012-01-12",54.84,54.93,53.96,54.4,2142608
"2012-01-19",55.92,56.2,55.56,56.02,2399380
"2012-01-26",58.3,58.98,57.91,58.98,2595827
"2012-02-02",58.72,58.85,58.12,58.27,1025821
"2012-02-09",58.8,58.85,58.03,58.42,814299
"2012-02-16",57.84,58.27,57.51,57.6,2426959
"2012-02-23",56.16,56.91,56.05,56.77,2019222
"2012-03-01",55.87,56.22,55.59,55.91,1227064
"2012-03-08",55.9,56.02,55.51,55.68,1677368
"2012-03-15",57.2,57.35,56.89,57.19,1540699
"2012-03-22",56.73,56.73,55.88,56,2101767
"2012-03-29",56.66,57,56.4,56.88,1122408
"2012-04-05",55.63,55.89,55.32,55.5,930230
"2012-04-12",55.24,56.09,55.03,56.09,1682898
"2012-04-19",56.28,56.37,55.74,55.88,1915020
"2012-04-26",58.38,58.81,58.11,58.71,1476423
"2012-05-03",59.01,59.31,58.78,58.82,1304791
"2012-05-10",59.32,59.47,58.63,58.97,1439074
"2012-05-17",57.69,57.84,56.69,56.69,1449054
"2012-05-24",57.68,58.81,57.64,58.23,1195751
"2012-05-31",57.99,59.54,57.44,58.82,3980761
"2012-06-07",58.05,58.26,57.19,57.36,1619893
"2012-06-14",58.23,59.57,58.19,59.31,1610187
"2012-06-21",61.46,61.48,60.38,60.62,1845175
"2012-06-28",60.7,61.93,60.27,61.85,1831907
"2012-07-05",63.76,63.95,63.08,63.19,1790064
"2012-07-12",62.9,63.75,62.66,63.47,1320969
"2012-07-19",65.73,65.9,64.78,65.53,1304575
"2012-07-26",66.14,66.53,65.01,65.72,1896319
"2012-08-02",66.5,67.22,66.25,67.22,1269945
"2012-08-09",63.83,64.33,63.55,63.69,2377208
"2012-08-16",63.91,64.3,63.43,64.29,1121724
"2012-08-23",64.09,64.26,63.67,63.74,1685941
"2012-08-30",64.56,65.29,64.4,65.17,985888
"2012-09-06",66.59,66.82,66.32,66.54,1961587
"2012-09-13",64.65,65.47,64.65,65.36,1990952
"2012-09-20",63.11,63.43,62.84,62.9,1831907
"2012-09-27",62.35,62.57,61.8,61.94,1867820
"2012-10-04",62.92,62.93,62.22,62.65,1909045
"2012-10-11",64.17,64.31,63.66,63.66,1173808
"2012-10-18",63.9,64.8,63.83,64.7,1382825
"2012-10-25",63.89,64.03,62.44,63.02,1248165
"2012-11-01",63.32,63.77,63.11,63.48,1229420
"2012-11-08",64.1,64.27,63.42,63.43,1333581
"2012-11-15",63.25,63.68,62.55,62.91,1480541
"2012-11-29",64.04,64.04,62.86,63.58,2195697
"2012-12-06",64.29,64.89,64.28,64.86,1137921
"2012-12-13",64.91,64.98,63.18,63.54,1735182
"2012-12-20",63.78,64.69,63.67,64.69,1160868
"2012-12-27",64.28,64.59,63.66,64.37,782379
"2013-01-03",65.18,65.37,64.59,64.68,1827708
"2013-01-10",65.35,65.36,64.66,65.16,1220639
"2013-01-17",65.15,65.69,65.08,65.53,1442892
"2013-01-24",66.06,66.33,65.8,66.09,1158118
"2013-01-31",66.55,66.7,66.18,66.29,1610805
"2013-02-07",66.75,66.88,66.36,66.66,1567064
"2013-02-14",68.04,68.12,67.58,67.78,1441066
"2013-02-21",69.68,70.16,69.22,69.43,1679773
"2013-02-28",70.33,71.13,70.29,70.78,2943049
"2013-03-07",70.85,71.33,70.76,70.84,1557399
"2013-03-14",70.45,71.02,70.35,70.52,1106973
"2013-03-21",70.27,70.72,70.07,70.25,1234635
"2013-03-28",72.24,73.22,71.92,73.2,1995765
"2013-04-04",73.7,74.77,73.64,74.65,1289213
"2013-04-11",76.28,76.85,76.06,76.31,1155178
"2013-04-18",77.63,77.93,77,77.72,1788172
"2013-04-25",79.27,79.54,78.42,78.6,1374454
"2013-05-02",79.98,80.4,79.4,80.26,1241274
"2013-05-09",79.61,79.61,78.44,78.7,1839846
"2013-05-16",81.44,81.66,80.92,81.23,1633071
"2013-05-23",79.68,79.81,77.52,78.07,2989054
"2013-05-30",72.54,73.35,72.38,72.79,2134093
"2013-06-06",69.56,71.35,69.19,71.29,1396681
"2013-06-13",68.08,69.8,67.76,69.5,2236749
"2013-06-20",68.22,68.22,64.02,64.38,3166250
"2013-06-27",69.3,70.12,69.17,69.79,1725787
"2013-07-11",69.77,71.4,69.77,71.25,1558568
"2013-07-18",71.67,72.18,71.35,72.16,1130390
"2013-07-25",68.76,69.38,68.17,69.15,1317858
"2013-08-01",66.03,66.17,64.67,64.72,1989521
"2013-08-08",64.43,64.68,64.01,64.33,1292467
"2013-08-15",62.19,62.2,60.96,61.08,2285763
"2013-08-22",61.29,61.35,60.4,60.92,1625032
"2013-08-29",62.5,62.59,61.76,62.55,1126035
"2013-09-05",61.71,61.91,60.35,60.44,1094173
"2013-09-12",61.34,61.97,60.63,60.71,931063
"2013-09-19",65.82,66.07,64.28,64.33,1941678
"2013-09-26",62.97,63.35,62.68,63.28,1066223
"2013-10-03",63.2,63.38,61.55,62.03,2217045
"2013-10-10",62.67,63.75,62.38,63.67,1358151
"2013-10-17",64.8,66,64.56,65.82,1272974
"2013-10-24",65.98,66.07,65.53,66.02,1094335
"2013-10-31",65.92,66.22,65.12,65.24,1427157
"2013-11-07",64.12,64.5,63.44,63.63,1223412
"2013-11-14",60.96,61.44,60.5,60.87,1396540
"2013-11-21",59.4,59.91,59.04,59.76,1090583
"2013-12-05",56.15,56.87,55.67,56.68,1564844
"2013-12-12",55.81,55.81,54.89,55.26,2470286
"2013-12-19",57.29,57.39,55.88,56.65,2621476
"2013-12-26",57.12,57.58,57.11,57.26,1286356
"2014-01-02",56.95,57.22,56.43,56.82,1513084
"2014-01-09",57.87,58.6,57.65,58.04,1488649
"2014-01-16",60.21,61.21,60.04,61.2,1839504
"2014-01-23",61.27,61.64,61.27,61.47,1916037
"2014-01-30",62.03,62.6,61.76,61.83,1469087
"2014-02-06",61.55,62.08,61.36,61.8,1846953
"2014-02-13",61.51,62.84,61.5,62.6,1635347
"2014-02-20",61.95,62.49,60.92,61.15,1302170
"2014-02-27",61.99,62.58,61.93,62.44,1467808
"2014-03-06",62.99,63.14,61.86,61.97,1451635
"2014-03-13",61.36,61.36,60.45,60.48,1298575
"2014-03-20",58.78,59.21,58.4,59.12,1372464
"2014-03-27",59.31,60.14,59,59.94,943672
"2014-04-03",61.35,61.55,60.82,61.4,703318
"2014-04-10",63.6,64.13,63.01,63.13,1714845
"2014-04-17",65.24,65.45,64.7,65.13,1854258
"2014-04-24",64.57,64.84,64.08,64.31,1700488
"2014-05-01",65.99,66.65,65.73,66.64,1448648
"2014-05-08",67.99,68.61,67.73,68.4,2141601
"2014-05-15",67.12,67.44,66.77,67.43,1567692
"2014-05-22",66.15,66.65,66.08,66.13,1642749
"2014-05-29",66.47,66.75,66.2,66.44,1300118
"2014-06-05",64.35,65.68,64.06,65.67,4005191
"2014-06-12",63.67,63.89,63.09,63.68,1745003
"2014-06-19",63.31,64.62,63.06,64.14,3076170
"2014-06-26",63.82,64.16,63.71,63.82,1382028
"2014-07-03",63.91,63.92,63.08,63.91,1801182
"2014-07-10",64.31,65.17,64.01,64.6,1807783
"2014-07-17",64.44,64.7,64.17,64.17,1817446
"2014-07-24",64.6,64.76,64.28,64.68,2496400
"2014-07-31",63.7,64.28,63.48,63.5,2924209
"2014-08-07",62.82,63.02,62.44,62.84,1581934
"2014-08-14",64.99,65.3,64.78,65.05,1667232
"2014-08-21",65.92,66.29,65.82,65.88,1233266
"2014-08-28",65.33,65.89,65.27,65.83,1487833
"2014-09-04",65.95,66.26,65.6,65.93,1563007
"2014-09-11",63.89,64.25,63.7,64.1,1959907
"2014-09-18",61.78,61.83,60.75,61.03,2582481
"2014-09-25",61.11,61.71,61.01,61.43,4215133
"2014-10-02",62.25,62.74,61.9,62.57,2713388
"2014-10-09",63.76,64.94,63.59,64.54,3079185
"2014-10-16",65.4,66.59,65.4,66.15,2892437
"2014-10-23",67.87,67.92,67.13,67.84,2449069
"2014-10-30",67.15,68.03,66.25,67.99,3192099
"2014-11-06",68.95,69.24,67.79,67.86,2243420
"2014-11-13",68.58,69.51,68.38,69.51,1929428
"2014-11-20",68.43,68.67,68.01,68.65,1686348
"2014-12-04",72.34,72.71,72.06,72.56,1836887
"2014-12-11",73.15,74.01,73.15,73.67,3230283
"2014-12-18",73.22,73.22,71.04,71.85,3482272
"2015-01-08",76.86,76.86,75.32,76.07,3676131
"2015-01-15",77.8,78.12,76.87,77.71,4257087
"2015-01-22",78.66,80.06,78.65,80.06,3156399
"2015-01-29",80.55,81.12,80.06,80.95,2689106
"2015-02-05",78.64,79.47,78.09,79.37,3153682
"2015-02-12",76.49,77.23,76.01,77.02,1912426
"2015-02-19",77.42,77.61,76.23,76.34,2301575
"2015-02-26",74.37,74.78,73.47,73.78,2560486
"2015-03-05",73.53,73.94,72.82,72.9,2744042
"2015-03-12",69.58,70.46,69.5,70.37,2417379
"2015-03-19",71.21,72.42,71.17,71.86,2782399
"2015-03-26",71.59,72.4,71.41,71.66,3023451
"2015-04-02",72.9,73.55,72.79,73.23,1353070
"2015-04-09",74.91,74.93,73.79,74.12,2819827
"2015-04-16",72.87,73.74,72.38,73.29,1994662
"2015-04-23",72.51,73.35,72.51,73.06,1626551
"2015-04-30",70.5,70.56,68.53,68.9,2751207
"2015-05-07",67.35,68.77,67.11,68.46,2756642
"2015-05-14",67.56,68.23,67.4,68.2,1562286
"2015-05-21",69.02,69.07,67.91,68.32,1400497
"2015-05-28",67.95,67.95,66.94,67.13,3830836
"2015-06-04",64.76,65.19,64.14,64.92,2542249
"2015-06-11",64.05,64.33,63.87,64.07,2213354
"2015-06-18",64.58,65.64,64.53,65.12,2046303
"2015-06-25",62.91,63,61.62,61.82,4125758
"2015-07-02",62.88,63.79,62.76,62.95,2393316
"2015-07-09",64.63,65,63.97,64.09,2657907
"2015-07-16",64.44,64.78,64.14,64.59,2112812
"2015-07-23",64.27,64.46,63.18,63.65,2164315
"2015-07-30",66.57,66.88,66.05,66.36,1964900
"2015-08-06",66.4,67.05,65.61,66.99,3334916
"2015-08-13",67.63,68.24,66.72,67.85,1831849
"2015-08-20",59.95,60.94,59.44,60.55,3516053
"2015-08-27",56.31,57.66,55.91,57.02,4664042
"2015-09-03",54.81,54.93,54.27,54.45,2315548
"2015-09-10",52.82,53.37,52.53,52.78,2500210
"2015-09-17",54.55,56.44,54.34,55.45,2998999
"2015-09-24",56.85,57.22,56.29,56.57,2740781
"2015-10-01",56.31,56.4,55.4,55.76,3397943
"2015-10-08",57.59,57.94,57.02,57.84,2231258
"2015-10-15",56.08,56.34,55.46,55.99,2727158
