"","VZ.Open","VZ.High","VZ.Low","VZ.Close","VZ.Volume"
"2014-09-15",48.49,48.6,48.3,48.56,12452246
"2014-09-22",50.11,50.32,49.83,50.18,14728531
"2014-09-29",49.62,49.79,49.21,49.75,9218274
"2014-10-06",49.95,50.26,49.92,50.08,11034363
"2014-10-13",49.05,49.46,48.36,48.37,19600483
"2014-10-20",48.06,48.55,47.81,48.48,13047384
"2014-10-27",48.78,49.54,48.73,49.42,13089753
"2014-11-03",50.49,50.65,50.05,50.39,11575699
"2014-11-10",50.72,51.05,50.15,50.72,17367589
"2014-11-17",51.41,51.48,51.14,51.4,6887136
"2014-11-24",49.55,49.89,48.86,49.5,17759794
"2014-12-01",50.68,50.84,50,50.03,11949097
"2014-12-08",48.77,49.34,48.56,48.9,14386273
"2014-12-15",46.06,46.06,45.09,45.42,21712239
"2014-12-22",47.09,47.51,46.89,47.51,15302091
"2014-12-29",47.62,47.79,47.3,47.55,8878417
"2015-01-05",47.08,47.16,46.56,46.57,18964458
"2015-01-12",47,47.26,46.67,47.08,12730348
"2015-01-26",46.98,47.1,46.49,46.96,15064420
"2015-02-02",46.2,47.15,45.76,46.98,23172302
"2015-02-09",49.05,49.47,48.98,49.09,21052940
"2015-02-23",48.94,49,48.54,48.77,12255654
"2015-03-02",49.12,49.51,49.02,49.47,10914428
"2015-03-09",48.26,48.62,48.18,48.23,13118961
"2015-03-16",48.96,49.4,48.63,49.27,16111193
"2015-03-23",49.78,49.85,49.45,49.64,13131727
"2015-03-30",48.73,49.3,48.71,49.12,11157568
"2015-04-06",49.54,49.82,49.4,49.63,14129990
"2015-04-13",49.27,49.51,49.04,49.04,12235741
"2015-04-20",49.15,49.48,49.05,49.38,17062483
"2015-04-27",50,50.33,50,50.08,16562256
"2015-05-04",50.42,50.86,50.29,50.52,12594760
"2015-05-11",50.14,50.28,49.79,49.8,9900463
"2015-05-18",49.78,49.8,49.55,49.6,15040849
"2015-06-01",49.44,49.54,49.14,49.22,11968023
"2015-06-08",47.25,47.78,47.05,47.44,16598593
"2015-06-15",47.14,47.22,46.93,47,10875820
"2015-06-22",47.63,47.78,47.41,47.53,9191874
"2015-06-29",47.28,47.72,46.75,46.77,15032432
"2015-07-06",47.06,47.14,46.8,47.04,12051743
"2015-07-13",47.38,47.42,46.95,47.2,10184438
"2015-07-20",47.63,48.26,47.42,48.1,17246671
"2015-07-27",45.94,46.25,45.71,45.83,15747835
"2015-08-03",47.18,47.2,46.6,46.97,10321273
"2015-08-10",46.52,47.34,46.52,47.23,13529463
"2015-08-17",47.28,47.62,47.2,47.52,7784321
"2015-08-24",44.35,45.87,38.06,44.74,35785825
"2015-08-31",45.95,46.1,45.61,46.01,14757673
"2015-09-14",45.78,45.89,45.6,45.65,9670284
"2015-09-21",44.62,44.89,44.53,44.8,10534500
"2015-09-28",44.01,44.18,43.69,43.74,15201692
"2015-10-05",43.24,44.02,43.24,44,14404700
"2015-10-12",44.18,44.31,44.01,44.3,9872687
"2015-10-19",44.48,44.82,44.26,44.7,17479852
"2015-10-26",46.32,46.54,46.15,46.36,10800950
"2015-11-02",47.02,47.08,46.52,46.78,11681280
"2015-11-09",45.53,45.54,45.03,45.3,10716025
"2015-11-16",44.26,45.07,44.18,45.04,10089351
"2015-11-23",45.31,45.5,44.94,44.99,10288747
"2015-11-30",45.25,45.64,44.96,45.45,18766656
"2015-12-07",45.46,46.12,45.45,46.06,13192101
"2015-12-14",44.84,45.5,44.68,45.45,16661362
"2015-12-21",45.73,45.92,45.52,45.9,10360564
"2015-12-28",46.62,46.84,46.56,46.75,6255458
"2016-01-04",45.67,45.9,45.36,45.87,17743797
"2016-01-11",45.11,45.23,44.6,45.09,14226177
"2016-01-25",47.08,47.78,46.54,47.03,24106353
"2016-02-01",49.94,51.02,49.69,50.76,28377188
"2016-02-08",50.6,50.8,49.77,50.74,26979452
"2016-02-22",51.02,51.15,50.77,51.07,12378510
"2016-02-29",50.86,51.38,50.68,50.73,15913750
"2016-03-07",51.53,52.35,51.4,52.21,14895959
"2016-03-14",52.55,52.75,52.23,52.54,11727091
"2016-03-21",53.19,53.59,53.02,53.44,10642522
"2016-03-28",53.56,53.73,53.2,53.4,8527058
"2016-04-04",54.03,54.42,53.8,54.42,11389059
"2016-04-11",52.36,52.4,51.5,51.61,14945054
"2016-04-18",51.37,51.9,51.18,51.73,14321160
"2016-04-25",50.53,50.95,50.28,50.76,12428516
"2016-05-02",51.22,51.45,51.04,51.32,11083931
"2016-05-09",51.22,51.43,51.01,51.08,8718834
"2016-05-16",50.77,51.33,50.64,51.23,7898700
"2016-05-23",49.66,49.78,49.04,49.14,13248613
"2016-06-06",51.06,51.08,50.65,50.71,10075570
"2016-06-13",52.5,52.83,52.23,52.57,12472762
"2016-06-20",54,54.19,53.43,53.76,14344319
"2016-06-27",54.06,54.87,53.88,54.74,22581038
"2016-07-11",55.75,56,55.4,55.93,12434656
"2016-07-18",55.87,56,55.76,55.93,9623280
"2016-07-25",56.1,56.1,55.64,55.87,10848730
"2016-08-01",55.58,55.82,54.37,54.5,17434649
"2016-08-08",53.64,53.74,53.4,53.59,9830429
"2016-08-15",53.66,53.85,53.53,53.61,8250875
"2016-08-22",52.58,52.69,52.17,52.55,8183851
"2016-08-29",52.36,52.69,52.16,52.5,11960437
"2016-09-12",51.75,52.84,51.71,52.57,15678641
