"","WBA.Open","WBA.High","WBA.Low","WBA.Close","WBA.Volume"
"2015-01-08",77.3,77.94,76.86,77.55,4087169
"2015-01-15",75.92,76.1,74.61,74.78,3574971
"2015-01-22",75.97,76.21,75.13,76.02,3560237
"2015-01-29",74.4,74.58,73.16,74.57,3930936
"2015-02-05",74.94,75.1,74.48,74.79,4071552
"2015-02-12",79.17,80.62,78.94,79.96,5921879
"2015-02-19",77.79,78.33,77.02,77.1,2459360
"2015-02-26",79.9,81.83,79.64,81.65,6623566
"2015-03-05",83.45,83.6,82.89,83.2,3223623
"2015-03-12",83.13,84.4,82.78,84.25,4964274
"2015-03-19",86.98,87.98,86.77,87.36,5781794
"2015-03-26",84.51,85.88,84.36,84.44,5391449
"2015-04-02",84.41,86.11,84.12,85.97,2955231
"2015-04-09",89.5,93.42,89.4,92.62,11357081
"2015-04-16",90.94,91.29,89.07,89.52,7907099
"2015-04-23",86.89,87.27,86.24,86.69,2942187
"2015-04-30",84,84.5,82.64,82.93,4750193
"2015-05-07",83.09,85.23,82.8,84.23,4405486
"2015-05-14",84.85,85.41,84.36,85.35,2430640
"2015-05-21",84.75,87.18,84.51,87.14,3447357
"2015-05-28",86.34,86.74,85.53,86.05,1648547
"2015-06-04",86.11,86.37,84.72,85.25,3976236
"2015-06-11",85.67,86.2,85.5,85.79,3018902
"2015-06-18",85.91,88.21,85.89,87.8,3484311
"2015-06-25",86.12,86.97,85.95,86.36,2640536
"2015-07-02",86.09,86.28,85.64,85.81,2811741
"2015-07-09",90,90.24,88,89.55,10379388
"2015-07-16",94.95,96.22,94.39,96.09,6650953
"2015-07-23",96.86,96.87,95.2,95.48,2064694
"2015-07-30",96.3,97.03,96.11,96.54,2348717
"2015-08-06",96.67,96.88,93.65,93.73,3439546
"2015-08-13",93.44,93.66,92.33,92.54,3480704
"2015-08-20",90.22,91.16,89.72,89.77,3368397
"2015-08-27",86.28,88.3,85.92,87.85,5555265
"2015-09-03",88.35,89.24,87.93,88.26,4001710
"2015-09-10",88.52,90.13,88.52,89.38,3983078
"2015-09-17",91.1,91.1,89.24,89.68,3555969
"2015-09-24",86.52,86.83,85.03,85.75,3720534
"2015-10-01",83.57,84.77,82.6,84.63,4283867
"2015-10-08",84.12,85.6,83.55,84.28,3309289
"2015-10-15",84.76,87.32,84.37,87.26,3431853
"2015-10-22",87.88,89.26,87.85,88.63,4291421
"2015-10-29",85.36,86.76,83.77,83.88,9898328
"2015-11-05",87.67,87.7,85.64,85.95,3536336
"2015-11-12",81.67,81.94,80.15,80.4,5732617
"2015-11-19",84.55,84.73,81.85,82.83,4309751
"2015-12-03",83.59,84.19,81.75,81.94,4316056
"2015-12-10",83.43,84.02,82.75,83.42,2692669
"2015-12-17",85.11,85.32,83.29,83.34,3797594
"2015-12-24",86.36,86.95,85.93,86.46,1366994
"2015-12-31",85.92,86.04,84.78,85.16,2528739
"2016-01-07",82.4,82.4,79.03,81.17,11361954
"2016-01-14",80,82.74,79.78,81.87,5352912
"2016-01-21",79.45,79.92,78.53,78.98,4446509
"2016-01-28",78.85,78.93,76.62,77.61,4435747
"2016-02-04",76.76,77.33,75.11,77.19,5404087
"2016-02-11",74.85,76.12,73.88,75.53,5035598
"2016-02-18",77.5,77.99,76.44,76.55,4001219
"2016-02-25",79.48,79.94,78.56,79.92,3138238
"2016-03-03",79.36,79.98,78.33,79.92,2542503
"2016-03-10",81.6,81.85,79.47,80.66,3582147
"2016-03-17",81.41,83.44,81.41,83.3,3832560
"2016-03-24",82.24,82.34,81.72,82.33,1934369
"2016-03-31",83.83,84.47,83.7,84.24,3806773
"2016-04-07",83.38,83.54,81.2,81.3,5584035
"2016-04-14",80.99,81.36,80.76,81.26,4031185
"2016-04-21",81.05,81.49,80.52,80.56,3218824
"2016-04-28",81.11,81.38,80.16,80.34,2876623
"2016-05-05",81.34,81.8,81.01,81.46,2525981
"2016-05-12",80.37,80.57,79.68,79.87,2566925
"2016-05-19",76.02,76.98,75.74,76.21,3005608
"2016-05-26",77.46,77.53,76.74,76.78,3253871
"2016-06-02",78.2,79.5,78.02,79.1,4018577
"2016-06-09",79.39,79.78,78.65,79.01,2411616
"2016-06-16",82,83.33,81.33,83.15,3659282
"2016-06-23",84.3,85.09,83.71,85.06,4708177
"2016-06-30",83.39,83.45,82.21,83.27,5813242
"2016-07-07",81.52,81.97,80.38,80.5,5559959
"2016-07-14",82.66,84.19,82.33,83.78,7002069
"2016-07-21",82.45,82.75,81.49,81.7,2828456
"2016-07-28",79.77,79.92,79.04,79.46,3906732
"2016-08-04",79.85,80.29,79.66,79.85,3180069
"2016-08-11",82.94,83.23,82.39,82.91,6038894
"2016-08-18",82.65,82.91,82.04,82.65,2886314
"2016-08-25",81.33,81.63,79.8,80.18,4233463
"2016-09-01",81.04,81.71,80.59,81.54,3296108
"2016-09-08",84.25,85.08,82.88,84.67,9886020
"2016-09-15",80.83,81.66,80.69,81.4,5529974
