"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume"
"2011-09-15",54.89,54.89,53.37,54.55,1424563
"2011-09-22",48.42,49.12,47.35,48.01,3024107
"2011-09-29",51.57,52.72,49.54,51.09,2271394
"2011-10-06",54.13,55.62,53.93,55.21,1654552
"2011-10-13",57.4,57.74,55.6,56.84,1442887
"2011-10-20",55.46,55.85,53.89,55.08,1467246
"2011-10-27",60.17,62,59.92,60.47,2634742
"2011-11-03",51.53,51.69,49.42,51.52,1704871
"2011-11-10",53.34,54.12,52.18,53.26,2284039
"2011-11-17",51.84,52.06,49.98,50.31,1624673
"2011-12-01",49.1,49.85,48.45,49,1906464
"2011-12-08",49.19,49.68,48.52,48.84,1354504
"2011-12-15",47.55,47.74,46.24,46.63,1966601
"2011-12-22",49.3,50.79,49.15,50.56,1599099
"2011-12-29",46.49,47.42,46.4,47.32,2094204
"2012-01-05",48.52,50.39,48.14,50.32,2053687
"2012-01-12",50.98,52.14,49.84,52.01,3091170
"2012-01-19",53.83,56.29,53.6,55.43,2829138
"2012-01-26",54.23,55.25,53.78,54.42,1337629
"2012-02-02",61.76,64.94,61.5,64.36,4832133
"2012-02-09",70.22,70.22,68.73,69.53,2027066
"2012-02-16",69.28,70.9,68.94,70.66,1650508
"2012-02-23",70.04,71.35,69.54,70.9,899579
"2012-03-01",76.52,76.52,74.06,74.48,2034666
"2012-03-08",73.67,73.69,71.63,73.44,1957496
"2012-03-15",78.58,78.92,77.63,78.82,1326961
"2012-03-22",77.18,77.38,75.73,76.54,875699
"2012-03-29",75.06,76.36,74.53,76.13,814302
"2012-04-05",73.97,75.45,73.68,75.23,829472
"2012-04-12",71.87,72.57,71.69,71.97,1274210
"2012-04-19",66.05,66.09,64.18,64.49,2713533
"2012-04-26",67.89,69.62,64.83,65.96,3650485
"2012-05-03",64.68,64.96,62.65,62.8,1574704
"2012-05-10",61.72,62.19,60.75,61.13,1239153
"2012-05-17",61.61,61.61,58.33,58.46,2426423
"2012-05-24",59.26,59.43,57.6,58.53,1301887
"2012-05-31",63.02,63.16,60.45,61.88,1872498
"2012-06-07",61.58,61.96,59.72,60.01,1861306
"2012-06-14",58.46,59.1,57.69,58.04,1367683
"2012-06-21",61.72,61.95,57.92,58.16,1529138
"2012-06-28",56.26,57.61,55.57,57.44,1201077
"2012-07-05",62.9,63.89,62.09,63.26,988517
"2012-07-12",61.23,62.2,59.85,61.7,1958861
"2012-07-19",66.66,68.96,66.66,68.46,4024521
"2012-07-26",65.82,67.23,65.01,66.9,1369992
"2012-08-02",66.7,67.28,65.93,66.85,802812
"2012-08-09",71.68,72.21,70.71,71.22,814639
"2012-08-16",71.77,74.97,71.75,73.82,1378416
"2012-08-23",74.33,75.56,73.65,74.01,554144
"2012-08-30",74.05,74.66,73.7,74.31,644013
"2012-09-06",75.97,78.82,75.97,77.76,1100518
"2012-09-13",80.09,81.4,78.34,80.93,1440096
"2012-09-20",84.57,85.59,83.6,84.5,1131204
"2012-09-27",82.5,83.64,81.76,83.48,798899
"2012-10-04",85.42,85.9,84.81,85,475747
"2012-10-11",85.01,85.68,84.06,84.82,894592
"2012-10-18",86.8,87.86,86.35,87.19,849545
"2012-10-25",95.11,96.35,94.08,94.88,1896184
"2012-11-01",98.39,100.66,97.89,100.56,1601287
"2012-11-08",97.59,98.28,96.89,97.35,1333620
"2012-11-15",95.63,97.08,93.5,93.96,1659950
"2012-11-29",102.77,103.5,101.11,102.52,973446
"2012-12-06",98.6,98.93,96.55,97.6,1462951
"2012-12-13",100.99,102.57,100.63,101.12,848626
"2012-12-20",102.08,102.78,100.79,102.33,905309
"2012-12-27",99.8,101.4,99.67,101.16,976112
"2013-01-03",107.13,107.94,105.78,106.9,1036869
"2013-01-10",106.02,106.56,105.05,105.78,667125
"2013-01-17",103.51,107.63,103.11,107.4,1233641
"2013-01-24",107.7,111.58,107.61,110.02,1486134
"2013-01-31",112.65,115.67,110.35,115.38,2924898
"2013-02-07",108.69,109.76,106.84,107,1595474
"2013-02-14",110.22,111.4,110.13,111,633025
"2013-02-21",107.1,107.25,104.06,107.11,1774778
"2013-02-28",111.08,114.3,110.84,112.95,1227742
"2013-03-07",118.28,118.31,116,116.08,1667958
"2013-03-14",118.36,118.85,117.09,117.49,1304191
"2013-03-21",115.74,115.91,113.57,113.84,840543
"2013-03-28",116.23,118.85,116.12,118.46,1373263
"2013-04-04",112.51,113.19,111.35,112.08,920793
"2013-04-11",117.9,120.41,117.75,119.59,882094
"2013-04-18",116.79,117.14,111.93,112.34,1299928
"2013-04-25",119.26,120.47,116.77,117.37,1403803
"2013-05-02",113.26,116.3,113,116,1021706
"2013-05-09",123.85,127.33,123.74,124.71,1547841
"2013-05-16",129.34,130.73,127.99,128.1,832176
"2013-05-23",126.22,131.32,125.66,130.58,911727
"2013-05-30",127.98,129.87,127.61,128.93,550055
"2013-06-06",119.54,123.1,118.74,122.88,579867
"2013-06-13",122.84,128.26,122.27,127.82,834482
"2013-06-20",125.15,125.15,119.25,120.3,1330666
"2013-06-27",113.72,116,112.53,115.43,898379
"2013-07-11",121.98,124.54,121.84,123.36,1701146
"2013-07-18",121.24,123.64,118.92,119.37,1774780
"2013-07-25",129.09,129.56,127.04,129.48,1803866
"2013-08-01",135.69,137.18,135.06,136.67,1149182
"2013-08-08",133.34,135,132.85,133.01,897730
"2013-08-15",130.49,133.02,128.9,132.71,1341076
"2013-08-22",132.15,137.35,132.07,136.86,1019331
"2013-08-29",128.55,131.5,128.55,129.78,467875
"2013-09-05",131.6,132.01,129.39,129.48,572574
"2013-09-12",135.78,137.07,134.5,134.93,670741
"2013-09-19",150.61,151.84,148.98,149.71,1420598
"2013-09-26",149.22,149.86,146.77,147.66,817916
"2013-10-03",141.52,142.32,138.06,139.42,1877156
"2013-10-10",137.51,140.38,136.65,139.36,722677
"2013-10-17",132.85,134.87,131.97,134.7,1199197
"2013-10-24",144.58,147.62,143.7,147.26,1090023
"2013-10-31",146.56,147.93,145.26,146.01,828214
"2013-11-07",147.63,149.14,143.8,143.95,844017
"2013-11-14",144.56,150.44,144.56,149.05,1411471
"2013-11-21",145.37,150.46,145.37,150.23,934872
"2013-12-05",147.93,148.06,146.22,146.95,648180
"2013-12-12",148.13,149.13,147.73,148.63,1036812
"2013-12-19",156.13,156.13,152.73,153.52,716776
"2013-12-26",155.83,159.22,155.77,157.8,443487
"2014-01-02",156.52,157.11,155.11,156.03,407749
"2014-01-09",158.05,159.36,156.58,159.01,788871
"2014-01-16",157.62,159.26,156.8,159.07,714573
"2014-01-23",149.51,153.38,149.51,153.33,993597
"2014-01-30",146.45,147,130.05,132.22,4743441
"2014-02-06",130.79,133.63,130.52,133.6,1891193
"2014-02-13",136.74,139.09,136.26,138.43,868302
"2014-02-20",135.43,138.26,133.39,138.01,1318255
"2014-02-27",142.07,145.49,142,145.03,1113696
"2014-03-06",148.27,148.87,146.95,147.49,648895
"2014-03-13",144.4,145.3,140.49,141.69,933549
"2014-03-20",145.86,145.91,143.81,144.72,739366
"2014-03-27",142.35,144.3,142.05,143.08,684028
"2014-04-03",154.21,154.41,152.15,153.09,835133
"2014-04-10",149.69,151.04,147.18,147.38,916943
"2014-04-17",154.94,155.65,153.12,153.75,785303
"2014-04-24",154.3,155.25,152.34,154.66,859847
"2014-05-01",152.96,154.97,151.42,152.2,752509
"2014-05-08",151.62,152.82,150.07,150.96,560542
"2014-05-15",144.12,144.22,140.74,144.13,1800127
"2014-05-22",144.94,146.78,144.4,145.89,597843
"2014-05-29",144.02,144.92,142.42,143.22,637004
"2014-06-05",143.05,143.91,141.14,143.2,891673
"2014-06-12",140.81,141.35,138.25,138.56,1335161
"2014-06-19",139.87,140.38,139.01,139.3,643676
"2014-06-26",139.16,139.16,136.86,138.11,839644
"2014-07-03",140.67,142.65,140.27,142.54,405604
"2014-07-10",138.32,139.71,137.55,139.21,1655477
"2014-07-17",139.48,139.92,138.57,138.96,969456
"2014-07-24",144.99,148.8,144.3,146.91,3281789
"2014-07-31",142.65,143.84,140.9,142.64,1902788
"2014-08-07",146.1,146.25,142.22,142.58,1297100
"2014-08-14",146.15,150.06,146.15,149.92,1455083
"2014-08-21",152.61,153.03,150.52,151.88,973829
"2014-08-28",151.51,153,151.12,152.51,743172
"2014-09-04",153.38,155.51,152.82,153.99,845917
"2014-09-11",152.88,153.72,152.62,153.37,523892
"2014-09-18",155.04,155.09,153.53,153.89,547054
"2014-09-25",153.07,153.76,150.28,150.53,686198
"2014-10-02",141.08,143.32,140.63,143.06,1133498
"2014-10-09",144.02,144.61,140.72,141.28,841595
"2014-10-16",141.35,147.48,141.35,145.76,944562
"2014-10-23",155.17,158.53,155.09,157.7,822560
"2014-10-30",168.43,171.3,167.91,170.55,888960
"2014-11-06",172.35,174.9,172.19,174.84,552243
"2014-11-13",175.48,177.21,174.47,175.21,501685
"2014-11-20",178.35,182.34,178.18,182.06,920970
"2014-12-04",189.01,190.22,187.48,188.26,565770
"2014-12-11",183.84,186.56,183.5,184.46,483510
"2014-12-18",191.64,192.44,188.35,190.52,1537608
"2015-01-08",193.47,197.37,192.27,196.83,882872
"2015-01-15",198.82,200.72,195.13,195.48,901102
"2015-01-22",199.71,200.84,198.24,199.71,945635
"2015-01-29",201.02,204.14,199.5,203.95,1010862
"2015-02-05",215.25,215.5,210.54,211.34,1158697
"2015-02-12",209.19,213.89,207.77,213.05,1104462
"2015-02-19",212.54,213.41,210.26,212.33,810930
"2015-02-26",213.45,214.35,211.13,212.8,762097
"2015-03-05",212.63,213.31,209.74,210.82,741233
"2015-03-12",196.89,200.47,196.45,199.51,650661
"2015-03-19",197.8,199.22,193.75,194.14,1104851
"2015-03-26",192.87,197.24,192.8,196.05,1048736
"2015-04-02",200,201.67,199.26,200.38,821889
"2015-04-09",196.28,197.09,193.24,196.16,1002266
"2015-04-16",193.89,193.98,191.21,191.35,861470
"2015-04-23",191.24,192.18,189.88,190.92,1207567
"2015-04-30",179.69,180.59,174.75,175.6,1691272
"2015-05-07",179.54,182.82,179.16,182.52,955872
"2015-05-14",189.01,190.24,188.09,189.3,934097
"2015-05-21",187.77,192.52,187.61,192.05,1014485
"2015-05-28",187.51,188.39,186.34,187.52,577895
"2015-06-04",187.86,189.08,187.32,187.99,707683
"2015-06-11",186.85,189.5,186.22,186.73,674708
"2015-06-18",185.96,188.4,185.88,187.25,543110
"2015-06-25",183.66,183.66,178.19,178.27,1298554
"2015-07-02",170.99,170.99,168.19,169.73,1283539
"2015-07-09",172.77,172.77,170.09,170.52,730716
"2015-07-16",174.56,174.92,169.92,170,942795
"2015-07-23",176.96,180.5,176.3,179.43,1940749
"2015-07-30",178.27,179.9,176.56,178.12,557734
"2015-08-06",174.53,175.24,169.73,170.52,898084
"2015-08-13",172.8,176.15,172.8,174.57,910572
"2015-08-20",182.73,185.72,181.81,183.1,1061918
"2015-08-27",169.85,175.29,168.35,170.65,1468781
"2015-09-03",167.2,168.49,164.75,165.34,995452
"2015-09-10",164.81,164.97,160.29,162.13,967878
"2015-09-17",168.1,171.28,167.12,168.46,734621
"2015-09-24",156.9,157.43,153.41,156.48,1055169
"2015-10-01",147.21,148.68,145.27,148.09,972725
"2015-10-08",157.09,160.98,156.64,160.23,508116
"2015-10-15",151.75,154.73,149.19,154.65,955057
"2015-10-22",153.26,160.52,152.87,159.81,1625201
"2015-10-29",157.33,163.03,156.36,162.7,2076178
"2015-11-05",161.02,161.48,156.71,158.66,1027157
"2015-11-12",157.16,157.16,155.1,155.5,791562
"2015-11-19",158.75,160.09,158.09,159.72,635182
"2015-12-03",162.21,162.21,155.01,157.61,916992
"2015-12-10",148.75,150.44,146.76,149.17,991422
"2015-12-17",153.35,154.35,146.97,147.03,810969
"2015-12-24",150.04,150.72,148.88,149.57,313945
"2015-12-31",148.12,148.75,146.85,146.87,379282
"2016-01-07",138.28,140.67,137.53,137.65,1275151
"2016-01-14",131.04,135.07,129.9,134.03,1223001
"2016-01-21",131.63,136.73,131.48,133.37,1218297
"2016-01-28",134,136.07,131.53,132.02,1944888
"2016-02-04",136.86,141.08,136.72,139.8,1415308
"2016-02-11",131.45,133.07,128.24,129.74,1179909
"2016-02-18",138.9,140.68,137.47,140.48,841859
"2016-02-25",151.92,152.62,148.92,151.87,1123790
"2016-03-03",158.97,159.04,155.8,158.05,1013116
