"","WM.Open","WM.High","WM.Low","WM.Close","WM.Volume"
"2011-09-15",32,32.29,31.75,32.28,4290433
"2011-09-22",28.9,29.57,28.77,29.35,11629244
"2011-09-29",32.1,32.47,31.58,32.37,5441229
"2011-10-06",32.56,33.09,32.32,33.09,3412309
"2011-10-13",32.91,32.96,32.36,32.56,5583291
"2011-10-20",33.07,33.36,32.75,33.26,3692730
"2011-10-27",35.1,35.52,33.63,34.07,8787528
"2011-11-03",31.7,31.86,31.13,31.82,6668837
"2011-11-10",31.4,31.54,30.99,31.16,3072050
"2011-11-17",31.13,31.14,30.6,30.87,7178103
"2011-12-01",31.29,31.5,31.19,31.24,2856103
"2011-12-08",31.17,31.28,30.51,30.57,4183432
"2011-12-15",32.02,32.03,30.89,30.89,5557318
"2011-12-22",32.19,32.8,32.17,32.39,2760883
"2011-12-29",32.5,32.85,32.45,32.78,1830700
"2012-01-05",32.3,32.7,32.11,32.61,3735934
"2012-01-12",33.35,33.84,33.3,33.83,2904880
"2012-01-19",33.81,33.86,33.46,33.85,1956418
"2012-01-26",34.83,35,34.64,34.73,2511304
"2012-02-02",34.99,35.25,34.76,34.99,2110368
"2012-02-09",35.42,35.44,35.04,35.18,2241625
"2012-02-16",34.29,34.71,34.17,34.42,5156969
"2012-02-23",35.12,35.52,35.07,35.47,2106510
"2012-03-01",35.09,35.4,34.94,35.15,2305841
"2012-03-08",34.66,34.94,34.61,34.82,1350196
"2012-03-15",34.82,34.9,34.54,34.65,3478788
"2012-03-22",34.86,35.01,34.62,34.94,1940649
"2012-03-29",34.84,34.93,34.6,34.91,1713187
"2012-04-05",34.93,35.17,34.84,35.11,1939720
"2012-04-12",34.89,35.5,34.89,35.39,1972364
"2012-04-19",35.85,36.16,35.58,35.74,2623551
"2012-04-26",35.55,35.81,34.98,35.29,4858102
"2012-05-03",34.4,34.56,34.08,34.27,2163212
"2012-05-10",33.86,34.05,33.73,33.83,2013087
"2012-05-17",32.67,32.81,32.25,32.38,2984777
"2012-05-24",33.2,33.35,32.85,33.09,10155450
"2012-05-31",32.64,32.67,32.33,32.44,3144534
"2012-06-07",32.58,32.88,32.38,32.4,3951219
"2012-06-14",32.49,32.58,32.28,32.36,3026371
"2012-06-21",32.79,33,32.42,32.42,3898691
"2012-06-28",32.15,32.56,32.06,32.55,4014973
"2012-07-05",33.28,33.44,33.19,33.27,2741857
"2012-07-12",31.42,32.09,31.36,31.89,7152220
"2012-07-19",33.2,33.4,32.84,33.33,3082448
"2012-07-26",32.34,33.27,32.01,33.1,9325734
"2012-08-02",34.03,34.46,33.97,34.26,3914812
"2012-08-09",34.88,35,34.75,34.9,1413320
"2012-08-16",35.28,35.7,35.15,35.68,1997483
"2012-08-23",34.37,34.48,34.25,34.34,2939426
"2012-08-30",34.45,34.65,34.35,34.53,2360226
"2012-09-06",34.25,34.45,34.11,34.44,2818764
"2012-09-13",34,34.19,33.72,34.07,3388118
"2012-09-20",32.62,32.66,32.41,32.55,4620411
"2012-09-27",31.9,32.18,31.89,32.02,3998452
"2012-10-04",31.72,32.1,31.52,32.01,3943976
"2012-10-11",32.1,32.16,31.96,32.11,2040762
"2012-10-18",32.73,33.03,32.7,32.98,2155943
"2012-10-25",32.38,32.75,32.3,32.69,2085541
"2012-11-01",32.8,33.25,32.75,33,2589382
"2012-11-08",31.92,32.05,31.65,31.65,3154947
"2012-11-15",31.06,31.23,30.82,30.96,2304438
"2012-11-29",32.5,32.59,32.3,32.56,1967249
"2012-12-06",33.59,33.77,33.35,33.68,3548202
"2012-12-13",33.56,33.84,33.48,33.64,5716721
"2012-12-20",33.83,34.01,33.65,34.01,2936662
"2012-12-27",33.72,33.83,33.53,33.71,2995813
"2013-01-03",34,34.33,33.75,34.09,2467295
"2013-01-10",34.63,34.89,34.5,34.86,2983191
"2013-01-17",35,35.35,34.97,35.27,2256757
"2013-01-24",35.48,35.61,35.42,35.52,2711511
"2013-01-31",36.14,36.43,35.95,36.38,3745465
"2013-02-07",36.1,36.83,36.06,36.55,4971470
"2013-02-14",35.99,37.44,35.5,37.14,6155708
"2013-02-21",36.48,36.58,36.23,36.42,2075293
"2013-02-28",37.06,37.5,36.89,37.32,3904935
"2013-03-07",36.86,37.06,36.59,36.75,2397954
"2013-03-14",37.28,37.43,37.1,37.23,2191899
"2013-03-21",37.75,37.97,37.71,37.88,2291237
"2013-03-28",38.64,39.27,38.55,39.21,4284683
"2013-04-04",38.68,39,38.65,38.85,1936877
"2013-04-11",39.32,39.44,39.02,39.3,2728110
"2013-04-18",38.49,38.5,37.96,38.14,2287408
"2013-04-25",39.95,40.98,39.9,40.02,4441614
"2013-05-02",40.64,40.85,40.46,40.8,2391113
"2013-05-09",41.47,41.55,41.06,41.3,1669947
"2013-05-16",41.83,42.12,41.8,41.99,1147336
"2013-05-23",41.79,42.5,41.79,42.3,1519473
"2013-05-30",41.95,42.34,41.92,42.15,1238706
"2013-06-06",40.9,41.09,40.04,40.59,2936545
"2013-06-13",39.68,40,39.59,39.84,3278662
"2013-06-20",39.95,39.95,39.47,39.54,2009137
"2013-06-27",40.23,40.4,40.03,40.21,1541635
"2013-07-11",41.83,42,41.66,41.98,1147569
"2013-07-18",42.1,42.49,42.07,42.32,1512503
"2013-07-25",42.13,42.41,42.01,42.35,1079630
"2013-08-01",42.24,42.67,42.18,42.54,1491200
"2013-08-08",42.85,43.23,42.76,43.09,1234059
"2013-08-15",42.45,42.45,41.65,41.85,2938609
"2013-08-22",41.64,42.17,41.59,41.89,1205341
"2013-08-29",41,41.24,40.83,40.92,1172355
"2013-09-05",40,40.15,39.83,39.85,2313996
"2013-09-12",40.98,41.18,40.84,40.87,1282800
"2013-09-19",42.25,42.48,42.14,42.27,1259357
"2013-09-26",41.5,41.74,41.45,41.69,1463139
"2013-10-03",41.08,41.12,40.28,40.62,1419507
"2013-10-10",40.84,41.23,40.66,41.23,1322911
"2013-10-17",41.77,42.49,41.61,42.47,1768862
"2013-10-24",43.47,43.47,42.97,43.27,1644820
"2013-10-31",42.5,43.65,42.5,43.54,2620876
"2013-11-07",43.82,44.04,43.36,43.38,1908388
"2013-11-14",44.15,44.95,44.14,44.79,2175834
"2013-11-21",45.4,45.88,45.2,45.78,6290905
"2013-12-05",44.47,44.61,44.27,44.34,2068613
"2013-12-12",43.7,44.13,43.55,43.81,2350620
"2013-12-19",43.91,44.09,43.69,43.89,2047605
"2013-12-26",45.1,45.12,44.8,44.98,986951
"2014-01-02",44.79,44.8,44.1,44.2,1507563
"2014-01-09",44.1,44.17,43.6,43.73,1637050
"2014-01-16",43.11,43.19,42.75,42.86,2193205
"2014-01-23",42.49,42.51,41.91,42.31,3057500
"2014-01-30",41.37,41.92,41.31,41.79,1863837
"2014-02-06",41.5,42.25,41.39,42.07,2090587
"2014-02-13",42.72,43.37,42.62,43.33,1134859
"2014-02-20",41.13,41.41,40.84,40.98,3454656
"2014-02-27",40.83,41.09,40.45,40.58,2166409
"2014-03-06",40.95,41.24,40.91,41.2,2087734
"2014-03-13",40.74,40.81,40.35,40.41,1989924
"2014-03-20",41.08,41.31,40.99,41.07,1138535
"2014-03-27",40.57,41.1,40.41,40.9,1737713
"2014-04-03",41.76,41.86,41.55,41.84,1597408
"2014-04-10",41.97,42.2,41.36,41.38,1691466
"2014-04-17",41.98,42.11,41.85,42.03,1546538
"2014-04-24",41.96,43.24,41.84,42.84,3982504
"2014-05-01",44.39,44.5,44.15,44.33,1715659
"2014-05-08",44,44.35,43.88,44.07,1349435
"2014-05-15",43.89,44.09,43.69,43.95,2292523
"2014-05-22",43.6,43.62,43.31,43.48,1661803
"2014-05-29",44.3,44.39,44.1,44.36,1475322
"2014-06-05",44.29,44.29,43.99,44.13,1608036
"2014-06-12",44.05,44.14,43.74,43.89,1930817
"2014-06-19",44.31,44.48,44.21,44.37,1453606
"2014-06-26",44.43,44.57,44.3,44.44,960990
"2014-07-03",44.52,44.71,44.45,44.71,662484
"2014-07-10",44,44.3,43.83,44.18,1064214
"2014-07-17",44.45,44.58,44.07,44.07,1083345
"2014-07-24",44.33,44.36,44.12,44.31,1221667
"2014-07-31",45.23,45.35,44.89,44.89,2171804
"2014-08-07",44.4,44.55,43.97,44.05,1716794
"2014-08-14",45.68,45.89,45.61,45.85,852186
"2014-08-21",46.64,46.92,46.58,46.7,1324402
"2014-08-28",46.79,46.98,46.68,46.82,1321909
"2014-09-04",46.93,47.21,46.67,46.86,1491215
"2014-09-11",47.12,47.28,47.03,47.2,913164
"2014-09-18",47.36,47.5,47.17,47.4,1364351
"2014-09-25",47.27,47.4,46.88,46.9,1349352
"2014-10-02",47.16,47.48,46.97,47.12,1618944
"2014-10-09",47.58,47.74,46.84,46.92,1464905
"2014-10-16",45.66,46.39,45.62,46.29,2880341
"2014-10-23",47.65,48.07,47.6,47.89,1589001
"2014-10-30",47.73,48.75,47.7,48.55,2767203
"2014-11-06",49.02,49.4,48.92,49.23,1643778
"2014-11-13",49.43,49.53,49.22,49.37,1115447
"2014-11-20",48.34,48.44,48.2,48.32,2191583
"2014-12-04",49.06,49.47,48.84,49.25,3025588
"2014-12-11",48.71,49.42,48.7,49.07,1687298
"2014-12-18",50,50.86,49.92,50.86,2867540
"2015-01-08",51.64,51.94,51.54,51.9,2941842
"2015-01-15",51.8,52.14,51.76,51.82,1352568
"2015-01-22",52.98,53.19,52.46,52.78,2857920
"2015-01-29",52.56,52.64,52.01,52.55,1447217
"2015-02-05",52.22,52.62,52.21,52.6,1086972
"2015-02-12",52.59,52.97,52.45,52.7,1692439
"2015-02-19",54.5,54.62,53.85,54.39,1962015
"2015-02-26",54.62,54.66,54.03,54.28,1759260
"2015-03-05",54.72,54.84,54.23,54.5,2054411
"2015-03-12",52.72,53.19,52.71,53.09,1974612
"2015-03-19",55.12,55.31,54.73,54.73,1704854
"2015-03-26",53.64,53.71,53.38,53.4,1376145
"2015-04-02",53.69,54,53.66,53.9,1401459
"2015-04-09",54.67,55.13,54.42,54.97,4105704
"2015-04-16",54.06,54.15,53.63,53.99,2056264
"2015-04-23",52.49,52.8,52.45,52.68,4064251
"2015-04-30",49.77,50.1,49.43,49.53,4134180
"2015-05-07",48.5,49,48.48,48.86,2224225
"2015-05-14",49.49,49.86,49.49,49.72,1434377
"2015-05-21",49.71,50.25,49.66,50.12,2043369
"2015-05-28",49.81,50,49.71,49.79,1625887
"2015-06-04",49,49.27,48.47,48.68,3159719
"2015-06-11",48.59,48.77,48.31,48.49,1906429
"2015-06-18",48,48.39,48,48.3,1504245
"2015-06-25",47.28,47.29,46.88,46.94,1161061
"2015-07-02",46.57,46.67,46.22,46.37,884581
"2015-07-09",47.17,47.34,47.07,47.15,2254252
"2015-07-16",48.67,49.23,48.48,48.94,2299899
"2015-07-23",47.76,49.36,47.76,49.08,4709274
"2015-07-30",50.54,51.38,50.54,51.2,2769387
"2015-08-06",51.6,51.8,50.95,50.98,1820746
"2015-08-13",51.72,52.27,51.61,51.9,1872906
"2015-08-20",52.29,53.04,52.1,52.57,3256949
"2015-08-27",50.03,50.31,49.31,50.03,3851953
"2015-09-03",49.88,50.55,49.88,50.28,1927922
"2015-09-10",49.78,50.14,49.51,49.8,2729047
"2015-09-17",50.24,50.51,49.94,50.07,2099007
"2015-09-24",49.66,49.92,49.42,49.8,3491490
"2015-10-01",49.85,50.24,49.52,50.1,2352365
"2015-10-08",51.8,52.98,51.49,52.95,2470768
"2015-10-15",52.55,52.7,52.23,52.5,1828941
"2015-10-22",53.86,53.97,53.46,53.51,2538543
"2015-10-29",54.67,54.69,54.2,54.46,1500712
"2015-11-05",54.36,54.57,54.23,54.43,1827961
"2015-11-12",53.46,53.57,52.77,52.77,1842252
"2015-11-19",53.77,53.9,53.51,53.63,931521
"2015-12-03",53.52,53.67,51.63,51.84,3822643
"2015-12-10",51.97,52.4,51.74,52.02,1450725
"2015-12-17",53.91,54.1,53.27,53.28,3179052
"2015-12-24",53.47,53.62,53.2,53.43,529517
"2015-12-31",53.83,53.97,53.35,53.37,1055230
"2016-01-07",52.58,53.05,52.42,52.67,3309867
"2016-01-14",52.44,53.01,51.94,52.78,2786760
"2016-01-21",51.9,52.58,51.63,51.98,2414133
"2016-01-28",52,52.38,51.64,52.07,1450772
"2016-02-04",52.92,53.55,52.73,53.19,1674726
"2016-02-11",52.57,53.15,52.23,52.96,3366341
"2016-02-18",54.8,55.58,54.34,55.31,3122106
"2016-02-25",56.25,56.5,55.97,56.17,2458141
"2016-03-03",56.72,57.31,56.38,57.27,1773033
"2016-03-10",57.78,57.97,57.18,57.67,2180392
"2016-03-17",58.9,58.97,58.55,58.78,2832780
"2016-03-24",58.75,59.12,58.58,59.11,2112277
"2016-03-31",59.52,59.82,58.94,59,2019329
"2016-04-07",57.5,57.72,57.37,57.59,2800998
"2016-04-14",57.01,57.24,56.85,56.96,1370943
"2016-04-21",56.6,56.89,56.34,56.35,1920289
"2016-04-28",56.4,58.96,56.4,58.31,5097557
"2016-05-05",60.68,60.94,60.22,60.3,2954922
"2016-05-12",61.3,61.86,61.13,61.78,1548062
"2016-05-19",60.63,60.84,60.47,60.76,1627606
"2016-05-26",60.69,61.23,60.64,61.11,1546081
"2016-06-02",61,61.41,60.95,61.41,1385449
"2016-06-09",62.04,62.64,62.02,62.62,1903141
"2016-06-16",62.77,63.48,62.73,63.41,1936900
"2016-06-23",63.41,63.52,63.23,63.45,1063556
"2016-06-30",64.87,66.27,64.86,66.27,2335911
"2016-07-07",67.3,67.63,66.88,67.29,1610073
"2016-07-14",68.12,68.47,67.69,67.9,2415173
"2016-07-21",67.63,67.75,67.08,67.18,1650166
"2016-07-28",66.42,66.85,66.18,66.36,2133117
"2016-08-04",66,66.27,65.68,65.78,1331172
"2016-08-11",66.67,67.24,66.54,66.82,1698377
"2016-08-18",65.26,65.33,64.69,64.92,2111298
"2016-08-25",65.34,65.63,65.15,65.21,1592487
"2016-09-01",63.98,64.13,63.67,64,2225297
"2016-09-08",63.95,64.44,63.86,64.31,1790135
"2016-09-15",62.58,63.14,62.45,62.83,2722168
