"","WMB.Open","WMB.High","WMB.Low","WMB.Close","WMB.Volume"
"2011-09-15",27.45,27.65,27.01,27.25,6338886
"2011-09-22",25.41,25.55,24.43,24.83,15606870
"2011-09-29",25.87,25.93,24.46,25.04,9822280
"2011-10-06",24.66,25.74,24.32,25.44,7921155
"2011-10-13",26.39,26.89,26.02,26.69,5642628
"2011-10-20",29.44,29.95,29.15,29.81,8650514
"2011-10-27",30.64,31.4,30.23,31.13,11401785
"2011-11-03",30.76,31.12,30.1,31.03,11933898
"2011-11-10",30.76,30.96,30.04,30.75,5625373
"2011-11-17",30.47,30.84,29.84,30.29,7420129
"2011-12-01",32.26,32.83,31.87,32.41,10540384
"2011-12-08",31.93,32.14,31.03,31.12,10402550
"2011-12-15",30.91,31.05,30.36,30.4,7143134
"2011-12-22",32.04,32.29,31.98,32.24,5134962
"2011-12-29",32.23,32.61,32.1,32.55,5866442
"2012-01-05",27.64,27.75,26.96,27.55,11763610
"2012-01-12",27.9,28.39,27.87,28.14,7920602
"2012-01-19",29.11,29.29,28.44,28.74,13195162
"2012-01-26",29.63,29.68,28.68,28.87,6524149
"2012-02-02",29.27,29.31,28.76,28.84,4051302
"2012-02-09",29.28,29.35,28.95,29.19,5048542
"2012-02-16",28.89,29.06,28.71,28.87,5826121
"2012-02-23",28.97,29.32,28.51,29.06,10453334
"2012-03-01",29.94,30.55,29.83,30.26,8196364
"2012-03-08",29.86,30,29.55,29.78,3825611
"2012-03-15",30.03,30.21,29.72,30.02,4050942
"2012-03-22",30.69,30.74,29.91,30.21,8202045
"2012-03-29",30.4,30.65,30.21,30.59,6613016
"2012-04-05",31.28,31.69,31.14,31.46,6281615
"2012-04-12",31.13,31.83,31.07,31.82,6419192
"2012-04-19",32.32,32.39,32,32.18,5784258
"2012-04-26",33,33.96,32.75,33.89,6942977
"2012-05-03",33.72,34,32.93,32.96,8290210
"2012-05-10",32.49,32.84,32.34,32.53,7167452
"2012-05-17",30.55,30.65,29.76,29.79,10296546
"2012-05-24",31.4,31.61,30.67,31.05,20422826
"2012-05-31",30.64,30.9,29.9,30.53,7775273
"2012-06-07",29.55,30.28,29.53,29.85,6934604
"2012-06-14",29.53,29.68,29.17,29.45,8818585
"2012-06-21",29.55,29.61,28.38,28.42,9879325
"2012-06-28",28.02,28.29,27.76,28.04,9319785
"2012-07-05",29.27,29.36,28.94,29.1,3842639
"2012-07-12",28.71,29.13,28.47,28.94,4851239
"2012-07-19",30.97,31.19,30.73,31.05,4278460
"2012-07-26",31.12,31.25,30.81,31.13,6554239
"2012-08-02",29.92,31.23,29.88,30.93,9368422
"2012-08-09",31.66,31.98,31.42,31.61,5709558
"2012-08-16",32.42,32.79,32.33,32.66,18650059
"2012-08-23",32.29,32.29,31.68,31.88,3705353
"2012-08-30",32.21,32.24,31.91,32.04,4411012
"2012-09-06",32.41,33.18,32.39,33.18,4987663
"2012-09-13",33.95,35,33.75,34.69,7093862
"2012-09-20",33.82,34.37,33.68,34.36,5917776
"2012-09-27",34.27,34.98,34.13,34.98,5026869
"2012-10-04",36.68,37.56,36.17,36.19,11459271
"2012-10-11",35.99,36.17,35.44,35.64,3515997
"2012-10-18",35.96,36.07,35.32,35.51,9035626
"2012-10-25",34.93,35.05,34.26,34.71,3146740
"2012-11-01",34.31,35.4,33.28,33.69,13208431
"2012-11-08",32.81,32.88,32.15,32.2,5473082
"2012-11-15",31.09,31.4,30.55,30.97,6996494
"2012-11-29",33.13,33.23,32.39,32.58,4211185
"2012-12-06",32.24,32.41,31.45,31.56,5708161
"2012-12-13",31.33,31.74,31,31.02,46308336
"2012-12-20",32.6,32.88,32.44,32.85,5567693
"2012-12-27",32.29,32.37,31.75,32.02,4960066
"2013-01-03",34.02,34.2,33.56,33.77,7693960
"2013-01-10",33.96,34.1,33.54,33.81,5646831
"2013-01-17",33.57,34.04,33.38,33.8,6936668
"2013-01-24",35.07,35.4,34.53,34.63,5235346
"2013-01-31",34.95,35.3,34.81,35.05,4160968
"2013-02-07",35.77,36,35.64,35.87,4280606
"2013-02-14",35.59,35.72,35.44,35.46,5304120
"2013-02-21",34.15,35.06,33.54,34.08,12465966
"2013-02-28",34.3,34.85,34.24,34.71,7033033
"2013-03-07",33.77,34.42,33.59,34.31,7672119
"2013-03-14",34.81,35.64,34.8,35.42,10419163
"2013-03-21",35.91,36.78,35.78,36.55,9472220
"2013-03-28",37.01,37.68,37.01,37.46,6466173
"2013-04-04",36.65,37.1,36.52,36.88,3713817
"2013-04-11",37.93,38.19,37.72,37.81,4579730
"2013-04-18",37.1,37.78,36.89,37.38,3808818
"2013-04-25",38.5,38.57,37.86,37.91,5524095
"2013-05-02",37.56,37.62,37.22,37.31,5318731
"2013-05-09",35.62,36.92,35.47,36.86,20140093
"2013-05-16",36.63,37.01,36.5,36.76,8400923
"2013-05-23",36.62,37.27,36.49,37.24,13511873
"2013-05-30",35.94,36.01,35.58,35.81,4848258
"2013-06-06",34.06,34.87,34,34.85,8890171
"2013-06-13",34.01,34.25,32.54,33.7,20606386
"2013-06-20",32.22,32.24,31.67,31.75,9035673
"2013-06-27",32.78,33.14,32.49,32.58,4816037
"2013-07-11",33.51,33.93,33.43,33.79,5769910
"2013-07-18",33.65,34.09,33.62,34,6609165
"2013-07-25",33.44,33.82,33.37,33.81,4098903
"2013-08-01",34.79,36.45,34.79,36.1,13887670
"2013-08-08",35.83,36.22,35.28,35.42,23870083
"2013-08-15",35.02,35.47,34.76,35.35,3842310
"2013-08-22",34.98,36.13,34.94,35.88,7785353
"2013-08-29",36.15,36.35,36,36.22,2477875
"2013-09-05",35.24,35.61,35.08,35.13,5267668
"2013-09-12",35.78,35.78,35.3,35.31,4910932
"2013-09-19",36.02,36.91,36.02,36.84,7764668
"2013-09-26",36.39,36.43,36.18,36.33,2924871
"2013-10-03",36.44,36.46,35.76,36.3,5393023
"2013-10-10",35.24,35.78,35.16,35.75,3880522
"2013-10-17",35.92,36.14,35.74,36.03,3811007
"2013-10-24",36.61,37.04,36.58,36.88,2304920
"2013-10-31",36.9,36.97,35.02,35.71,13617249
"2013-11-07",35.02,35.1,34.3,34.5,6300501
"2013-11-14",34.48,35.22,34.45,35.06,6813036
"2013-11-21",34.76,35.02,34.53,34.91,4573598
"2013-12-05",36.6,36.67,36.05,36.29,7099646
"2013-12-12",34.44,34.5,33.98,34.36,7504198
"2013-12-19",36.66,36.93,36.26,36.89,6595892
"2013-12-26",37.83,38.42,37.8,38.23,6959694
"2014-01-02",38.39,38.64,38.05,38.28,6257569
"2014-01-09",39.36,39.86,38.85,39.25,9484115
"2014-01-16",39.1,39.4,38.92,39.37,7425884
"2014-01-23",38.87,39.43,38.66,39.26,5460467
"2014-01-30",39.89,40.27,39.8,40.15,7431633
"2014-02-06",39.93,41.34,39.7,41.07,13618178
"2014-02-13",40.59,41.31,40.32,40.85,14214661
"2014-02-20",40.6,42.47,40.44,42,13324593
"2014-02-27",41.35,42.24,41.14,41.26,6072625
"2014-03-06",42.42,42.83,42.41,42.65,6858247
"2014-03-13",41.24,41.42,40.81,41,3715108
"2014-03-20",40.94,41.08,40.45,40.86,6386720
"2014-03-27",40.09,40.94,39.86,40.64,4814592
"2014-04-03",40.71,40.93,40.43,40.6,3588976
"2014-04-10",40.76,40.99,40.01,40.24,3630357
"2014-04-17",41.18,41.93,41.15,41.79,3449549
"2014-04-24",42.02,42.09,41.06,41.33,5136480
"2014-05-01",41.74,43.56,40.92,43.27,6677616
"2014-05-08",44.17,44.39,43.9,43.98,3408363
"2014-05-15",45.22,45.52,44.92,45.45,8860862
"2014-05-22",46.66,46.8,46.6,46.67,3879598
"2014-05-29",46.87,46.98,46.49,46.78,3390364
"2014-06-05",46.99,47.52,46.9,47.38,3178368
"2014-06-12",46.97,47.1,46.57,46.85,2594662
"2014-06-19",57.22,57.97,56.49,57.93,9691870
"2014-06-26",57.86,58.14,57.51,58.1,4933341
"2014-07-03",58.54,58.54,57.72,58.11,2543325
"2014-07-10",57.55,58.04,57.35,57.82,4827418
"2014-07-17",58.19,58.83,57.51,57.6,3643224
"2014-07-24",58.63,58.86,58.02,58.57,4513761
"2014-07-31",55.71,58.27,55.52,56.63,13268353
"2014-08-07",55.09,55.34,54.28,54.37,4751196
"2014-08-14",56.92,57.27,56.56,56.78,5325283
"2014-08-21",58.53,58.68,58.06,58.32,3692644
"2014-08-28",59.01,59.29,58.7,58.77,2649029
"2014-09-04",59.34,59.71,58.49,58.65,3961601
"2014-09-11",56.55,57.56,56.28,57.44,4968735
"2014-09-18",57.17,57.26,56.11,56.5,6074890
"2014-09-25",56,56.18,55.14,55.28,6085751
"2014-10-02",54.62,55.25,53.59,54.76,7252836
"2014-10-09",53.55,53.87,49.84,50.18,16859977
"2014-10-16",48.38,53.89,48.23,51.05,13002631
"2014-10-23",53.48,54.36,52.96,53.1,5862050
"2014-10-30",55.05,57,54.39,55,8034090
"2014-11-06",54.59,54.86,54.06,54.71,5277899
"2014-11-13",54.59,54.6,53.3,53.88,7030892
"2014-11-20",55.17,55.8,55.14,55.46,3705811
"2014-12-04",50.78,51.65,50.77,51.13,5470096
"2014-12-11",44.83,45.84,43.93,44.13,13387729
"2014-12-18",45.18,45.48,43.72,44.8,14451265
"2015-01-08",43.14,43.89,42.86,43.02,7745732
"2015-01-15",42.11,42.31,41.38,41.63,7674810
"2015-01-22",43.26,43.56,42.29,43.32,7013110
"2015-01-29",42.93,43.78,42.02,43.59,9570455
"2015-02-05",46.13,46.73,45.71,46.4,7437044
"2015-02-12",47.88,48.21,47.48,47.97,5187132
"2015-02-19",49.21,50.69,48.43,49.41,13620587
"2015-02-26",49.04,49.37,48.46,48.81,6584258
"2015-03-05",48.88,49.14,47.97,47.98,6173024
"2015-03-12",46.41,46.6,46.24,46.37,7687319
"2015-03-19",48.01,48.42,47.6,47.93,3758829
"2015-03-26",49.67,49.75,48.97,49.26,5134446
