"","WU.Open","WU.High","WU.Low","WU.Close","WU.Volume"
"2011-09-15",16.47,16.65,16.31,16.49,5106448
"2011-09-22",15.5,15.74,15.06,15.26,10330824
"2011-09-29",16.12,16.15,15.5,15.83,9523895
"2011-10-06",15.27,15.71,15.26,15.67,8902173
"2011-10-13",16.48,16.57,16.35,16.46,4139453
"2011-10-20",16.66,16.8,16.35,16.7,5004450
"2011-10-27",17.93,18.1,17.59,17.99,7731287
"2011-11-03",17.48,17.58,17.16,17.56,5024064
"2011-11-10",17.2,17.29,16.69,16.76,6337068
"2011-11-17",16.41,16.61,16.06,16.18,5273545
"2011-12-01",17.21,17.49,17.15,17.43,6691143
"2011-12-08",17.72,17.9,17.61,17.7,6935019
"2011-12-15",17.54,17.54,17.21,17.35,7271676
"2011-12-22",18.26,18.4,18.19,18.31,5144034
"2011-12-29",18.26,18.47,18.2,18.44,2886996
"2012-01-05",18.24,18.41,18.06,18.39,3228630
"2012-01-12",18.84,19,18.77,18.97,4114047
"2012-01-19",18.84,19.15,18.66,19.15,5439129
"2012-01-26",19.54,19.54,19.12,19.14,4078115
"2012-02-02",19.23,19.3,19.05,19.18,3515628
"2012-02-09",17.79,17.85,17.65,17.74,8502419
"2012-02-16",17.65,17.81,17.6,17.81,10582943
"2012-02-23",18.04,18.09,17.85,17.86,6719021
"2012-03-01",17.54,17.64,17.44,17.44,8421456
"2012-03-08",17.4,17.54,17.33,17.38,7324629
"2012-03-15",18.03,18.18,17.95,18,8929213
"2012-03-22",17.59,17.86,17.55,17.72,4195523
"2012-03-29",17.79,17.9,17.75,17.87,3726888
"2012-04-05",18.19,18.2,17.84,17.92,6827549
"2012-04-12",17.6,17.82,17.56,17.81,3559367
"2012-04-19",17.78,18.1,17.75,18.05,7597834
"2012-04-26",18.41,18.41,18.23,18.29,5760002
"2012-05-03",18.1,18.13,17.85,17.88,5437825
"2012-05-10",17.44,17.44,17.19,17.28,7395714
"2012-05-17",17.11,17.12,16.79,16.79,5388791
"2012-05-24",17.08,17.19,16.88,17.03,4159649
"2012-05-31",16.61,16.66,16.3,16.4,8484744
"2012-06-07",16.53,16.67,16.49,16.56,8785006
"2012-06-14",15.92,16.12,15.88,16.08,4694609
"2012-06-21",16.96,16.98,16.69,16.7,8537814
"2012-06-28",16.33,16.46,16.25,16.43,4779711
"2012-07-05",16.98,17.11,16.91,16.96,3287609
"2012-07-12",16.64,16.69,16.32,16.47,6062462
"2012-07-19",17.16,17.16,16.91,16.96,5217688
"2012-07-26",17.25,17.37,17.08,17.27,4899858
"2012-08-02",17,17.07,16.76,16.99,7120621
"2012-08-09",17.67,17.83,17.54,17.63,3881519
"2012-08-16",17.64,17.8,17.57,17.73,2638691
"2012-08-23",17.47,17.51,17.31,17.36,2332190
"2012-08-30",17.4,17.48,17.32,17.41,3096296
"2012-09-06",17.77,18.1,17.75,18.08,4729273
"2012-09-13",18.43,18.81,18.35,18.73,4931848
"2012-09-20",18.41,18.72,18.3,18.69,5006573
"2012-09-27",18.28,18.44,18.15,18.42,4433662
"2012-10-04",18.36,18.6,18.32,18.42,4982784
"2012-10-11",18.06,18.2,17.93,17.93,4006346
"2012-10-18",18.37,18.46,18.24,18.32,3073503
"2012-10-25",18.14,18.18,17.81,17.81,5321861
"2012-11-01",13,13.08,12.25,12.27,51046118
"2012-11-08",12.57,12.66,12.28,12.39,14105790
"2012-11-15",12.7,12.77,12.4,12.69,11404944
"2012-11-29",12.71,12.81,12.62,12.67,8024605
"2012-12-06",12.91,12.97,12.78,12.93,8786430
"2012-12-13",13.1,13.29,13.07,13.25,9492963
"2012-12-20",13.76,13.77,13.52,13.75,10506883
"2012-12-27",13.54,13.72,13.4,13.7,7144544
"2013-01-03",13.75,13.78,13.45,13.53,10129148
"2013-01-10",13.46,13.86,13.38,13.85,13758555
"2013-01-17",13.58,13.58,13.24,13.43,9374536
"2013-01-24",13.75,13.75,13.37,13.48,9020176
"2013-01-31",14.1,14.33,14.07,14.23,8859454
"2013-02-07",14.81,14.87,14.55,14.6,7977789
"2013-02-14",14.34,14.45,14.09,14.14,15849866
"2013-02-21",13.92,14.05,13.84,13.9,8890233
"2013-02-28",14.2,14.31,14.03,14.03,10190529
"2013-03-07",14.44,14.67,14.23,14.4,9567626
"2013-03-14",14.54,14.74,14.48,14.55,7047252
"2013-03-21",14.41,14.62,14.33,14.49,8780594
"2013-03-28",14.93,15.05,14.82,15.04,7010834
"2013-04-04",14.73,14.75,14.62,14.68,3346491
"2013-04-11",15.02,15.16,14.95,15.13,5351024
"2013-04-18",14.7,14.76,14.5,14.51,4586304
"2013-04-25",14.63,14.77,14.57,14.68,8344930
"2013-05-02",15.64,15.7,15.13,15.53,8660762
"2013-05-09",15.74,16.12,15.72,16.1,8584746
"2013-05-16",16.5,16.61,16.35,16.42,5738315
"2013-05-23",16.58,16.71,16.42,16.47,6101912
"2013-05-30",16.37,16.58,16.35,16.46,3114809
"2013-06-06",16.09,16.45,16.06,16.45,4478351
"2013-06-13",16.53,17.16,16.47,16.89,6600611
"2013-06-20",16.67,16.76,16.42,16.48,7208390
"2013-06-27",17,17.11,16.92,16.95,4921973
"2013-07-11",17.45,17.46,17.24,17.41,6810531
"2013-07-18",17.43,17.61,17.37,17.41,4244504
"2013-07-25",17.31,17.4,17.13,17.16,5927400
"2013-08-01",18.1,18.43,18.08,18.15,11825051
"2013-08-08",18.4,18.5,18.2,18.36,3400120
"2013-08-15",18.27,18.37,18.18,18.2,4351152
"2013-08-22",17.87,18.22,17.84,18.18,2895703
"2013-08-29",17.74,18,17.74,17.87,2810537
"2013-09-05",17.77,18.08,17.77,18.03,4573072
"2013-09-12",18.76,18.83,18.48,18.5,5190950
"2013-09-19",18.84,19.11,18.77,18.84,3613724
"2013-09-26",18.52,18.67,18.48,18.6,4627443
"2013-10-03",18.61,18.76,18.4,18.65,7382088
"2013-10-10",18.12,18.38,18.11,18.38,3916118
"2013-10-17",18.53,18.56,18.21,18.31,6667806
"2013-10-24",19.17,19.44,19.16,19.37,5005628
"2013-10-31",16.99,17.06,16.72,17.02,17236734
"2013-11-07",17.31,17.44,17.18,17.39,9853309
"2013-11-14",17.56,17.61,17.35,17.45,4517237
"2013-11-21",16.47,16.77,16.35,16.66,11430054
"2013-12-05",16.64,16.67,16.42,16.44,9657189
"2013-12-12",16.53,16.85,16.46,16.76,6114997
"2013-12-19",16.92,17.07,16.67,16.88,6948164
"2013-12-26",17.23,17.31,17.03,17.24,4156360
"2014-01-02",17.22,17.25,16.96,17.03,5537982
"2014-01-09",17.51,17.55,17.04,17.06,7009207
"2014-01-16",16.72,16.77,16.61,16.72,4738836
"2014-01-23",16.21,16.21,16.04,16.12,5925278
"2014-01-30",15.71,15.77,15.58,15.67,5196894
"2014-02-06",15.25,15.43,15.2,15.31,6574814
"2014-02-13",16.17,16.27,16.09,16.12,7859125
"2014-02-20",16.11,16.14,15.86,15.99,5271683
"2014-02-27",16.21,16.64,16.1,16.61,7703291
"2014-03-06",16.91,16.98,16.78,16.79,4708095
"2014-03-13",16.54,16.54,16.03,16.07,8101809
"2014-03-20",16.24,16.5,16.2,16.5,3193277
"2014-03-27",15.88,16.38,15.86,16.33,5304981
"2014-04-03",16.65,16.84,16.48,16.53,5978419
"2014-04-10",16.43,16.66,16,16.05,10845736
"2014-04-17",14.65,15.52,14.6,15.25,19583286
"2014-04-24",15.79,15.86,15.62,15.81,4098371
"2014-05-01",15.92,16.05,15.78,15.85,7073006
"2014-05-08",16.24,16.55,16.17,16.25,4263191
"2014-05-15",16.02,16.08,15.88,16.03,3660619
"2014-05-22",15.61,15.76,15.56,15.74,8469155
"2014-05-29",15.95,16.03,15.9,16.03,6100853
"2014-06-05",16.26,16.27,16.08,16.25,5548872
"2014-06-12",16.27,16.27,15.95,15.98,3731662
"2014-06-19",16.43,16.51,16.32,16.37,3846779
"2014-06-26",16.77,17.03,16.72,17,10498051
"2014-07-03",17.32,17.41,17.27,17.39,1376632
"2014-07-10",17.19,17.36,17.15,17.3,3809714
"2014-07-17",17.46,17.68,17.28,17.33,4513019
"2014-07-24",17.69,17.76,17.62,17.71,3570630
"2014-07-31",17.62,17.7,17.42,17.47,6411328
"2014-08-07",17.04,17.08,16.68,16.9,9447659
"2014-08-14",17.42,17.45,17.24,17.35,2491089
"2014-08-21",17.72,17.8,17.6,17.74,2959398
"2014-08-28",17.49,17.56,17.46,17.49,4241264
"2014-09-04",17.48,17.53,17.38,17.48,4290524
"2014-09-11",17.05,17.1,16.85,16.89,4592775
"2014-09-18",17,17.07,16.56,16.85,7323207
"2014-09-25",16.37,16.42,16.24,16.24,4037509
"2014-10-02",15.87,16.12,15.77,16.09,6172966
"2014-10-09",16.33,16.33,15.75,15.81,5181500
"2014-10-16",15.55,15.87,15.55,15.84,5129514
"2014-10-23",16.36,16.49,16.35,16.41,6472229
"2014-10-30",16.34,16.74,16.34,16.7,6595221
"2014-11-06",17.55,17.99,17.54,17.95,8247190
"2014-11-13",18.46,18.48,17.98,18.13,8679395
"2014-11-20",18.18,18.42,18.16,18.28,4630367
"2014-12-04",18.49,18.53,18.41,18.47,3748505
"2014-12-11",17.92,18.35,17.71,17.78,7432338
"2014-12-18",17.73,17.78,17.47,17.78,4166652
"2015-01-08",17.71,18.13,17.7,17.91,7824169
"2015-01-15",17.22,17.37,16.91,17,6082226
"2015-01-22",17.27,17.65,17.12,17.6,3329196
"2015-01-29",16.98,17.14,16.87,17.13,3142287
"2015-02-05",17.76,17.95,17.69,17.88,3993483
"2015-02-12",18.41,18.57,18.28,18.31,9781230
"2015-02-19",19.26,19.33,19.18,19.27,4790708
"2015-02-26",19.61,19.74,19.47,19.59,5330816
"2015-03-05",19.65,19.65,19.38,19.49,5567946
"2015-03-12",19.41,19.63,19.41,19.58,4933020
"2015-03-19",19.33,19.41,19.08,19.25,4610332
"2015-03-26",19.35,19.5,19.32,19.39,5162742
"2015-04-02",20.52,21.04,20.48,20.91,8877303
"2015-04-09",20.54,20.7,20.41,20.62,4454130
"2015-04-16",20.72,20.82,20.6,20.74,4784203
"2015-04-23",20.8,21.05,20.74,20.97,3724600
"2015-04-30",20.31,20.7,20.2,20.28,10046113
"2015-05-07",21.51,21.79,21.2,21.7,7349743
"2015-05-14",21.98,21.98,21.81,21.96,3400294
"2015-05-21",22.43,22.58,22.4,22.5,5046043
"2015-05-28",22.13,22.22,21.75,21.94,6684924
"2015-06-04",22.05,22.21,21.85,21.89,2653229
"2015-06-11",21.83,21.96,21.76,21.86,3946459
"2015-06-18",21.19,21.29,21.07,21.28,6164855
"2015-06-25",21.11,21.15,20.87,20.87,5734596
"2015-07-02",19,19.6,18.93,18.99,19017957
"2015-07-09",19.17,19.28,18.91,18.91,4801677
"2015-07-16",18.89,19.36,18.89,19.27,6953118
"2015-07-23",19.11,19.15,18.86,18.9,3296389
"2015-07-30",18.95,19.16,18.73,19.02,7293037
"2015-08-06",20.34,20.55,20.29,20.37,9713148
"2015-08-13",20.41,20.5,20.34,20.38,2604897
"2015-08-20",19.77,19.89,19.47,19.49,5882915
"2015-08-27",18.51,18.72,18.15,18.59,6565188
"2015-09-03",18.15,18.52,18.14,18.47,6126568
"2015-09-10",18.2,18.53,18.12,18.41,3882657
"2015-09-17",18.93,19.19,18.77,18.88,3840466
"2015-09-24",18.32,18.36,18.02,18.25,3366237
"2015-10-01",18.39,18.45,18.02,18.21,4263610
"2015-10-08",18.78,19.4,18.7,19.2,4671033
"2015-10-15",18.83,19.03,18.76,18.94,4690739
"2015-10-22",19.22,19.68,19.22,19.66,4046829
"2015-10-29",19.54,19.54,18.96,19.01,5306973
"2015-11-05",19.3,19.72,19.3,19.57,6052784
"2015-11-12",19.1,19.17,18.77,18.79,4230814
"2015-11-19",19.45,19.5,18.91,19.08,5352510
"2015-12-03",18.96,19.04,18.6,18.67,6033356
"2015-12-10",18.88,19.13,18.85,18.9,3703486
"2015-12-24",18.49,18.66,18.45,18.5,1418106
"2015-12-31",18.1,18.19,17.91,17.91,2209982
"2016-01-07",16.81,17.16,16.81,17.05,5841011
"2016-01-14",16.7,17.21,16.52,17.13,5083734
"2016-01-21",16.54,17.14,16.42,16.91,6919944
"2016-01-28",17.02,17.19,16.76,17.12,4701294
"2016-02-04",17.31,17.62,17.13,17.55,3558286
"2016-02-11",16.59,17.03,16.48,16.88,8689100
"2016-02-18",18.47,18.48,18.16,18.21,5808676
"2016-02-25",18.21,18.37,18.02,18.35,3812597
"2016-03-03",18.67,19.15,18.61,19.09,5842280
"2016-03-10",19.26,19.41,18.59,18.76,7923951
"2016-03-17",18.67,19.09,18.65,19,4262061
"2016-03-24",18.68,18.85,18.61,18.78,4246303
"2016-03-31",19.33,19.52,19.27,19.29,4739636
"2016-04-07",19.51,19.61,19.17,19.44,5382563
"2016-04-14",20.07,20.09,19.83,19.95,4948171
"2016-04-21",20.19,20.37,20.03,20.07,3636413
"2016-04-28",20.41,20.45,20.06,20.12,3411465
"2016-05-05",19.08,19.26,18.81,18.84,6805092
"2016-05-12",19.25,19.32,19.05,19.25,4291146
