"","WY.Open","WY.High","WY.Low","WY.Close","WY.Volume"
"2011-09-15",17.55,17.65,17.35,17.52,7551520
"2011-09-22",16.37,16.57,15.71,15.94,9674241
"2011-09-29",16.33,16.42,15.8,16.09,5884824
"2011-10-06",15.79,16.48,15.6,16.47,8051152
"2011-10-13",16.8,16.87,16.39,16.7,5868151
"2011-10-20",16.64,16.66,16.08,16.42,7281745
"2011-10-27",17.72,18.17,17.28,17.94,11065633
"2011-11-03",17.47,17.65,17.06,17.54,6568884
"2011-11-10",16.8,16.81,16.39,16.46,4714328
"2011-11-17",16.45,16.52,16.11,16.2,6832688
"2011-12-01",16.71,16.78,16.43,16.75,4792102
"2011-12-08",17.14,17.14,16.77,16.81,6096722
"2011-12-15",16.62,16.73,16.5,16.62,3596314
"2011-12-22",17.96,18.37,17.88,18.3,5393394
"2011-12-29",18.47,18.91,18.43,18.88,4318159
"2012-01-05",18.85,19.06,18.5,18.78,6117139
"2012-01-12",19.86,19.95,19.51,19.86,6417072
"2012-01-19",20.72,21.12,20.68,21.01,6765276
"2012-01-26",20.38,20.74,20.32,20.62,5586622
"2012-02-02",20.13,20.3,20.03,20.14,4433188
"2012-02-09",20.62,20.67,20.18,20.36,4352796
"2012-02-16",19.85,20.58,19.85,20.57,7316578
"2012-02-23",20.66,20.91,20.52,20.89,4193686
"2012-03-01",21.01,21.3,21.01,21.29,6096918
"2012-03-08",20.86,21.05,20.74,21.01,2714811
"2012-03-15",21.84,22.18,21.65,22.17,5705675
"2012-03-22",21.89,21.89,21.58,21.81,3413703
"2012-03-29",21.83,21.93,21.58,21.89,2927811
"2012-04-05",21.48,21.63,21.29,21.51,3246968
"2012-04-12",20.6,21.07,20.52,21.07,3298771
"2012-04-19",20.85,21.02,20.63,20.75,2660460
"2012-04-26",20.64,20.9,20.46,20.88,5014098
"2012-05-03",20.6,20.69,20.38,20.38,3221187
"2012-05-10",20.2,20.27,19.97,20.01,4376132
"2012-05-17",19.14,19.2,18.6,18.69,7968245
"2012-05-24",19.87,20.16,19.64,19.91,3838226
"2012-05-31",19.87,20.1,19.58,19.91,4763357
"2012-06-07",20.36,20.46,20.12,20.2,4387574
"2012-06-14",20.43,20.68,20.35,20.58,3749361
"2012-06-21",21.27,21.32,20.73,20.75,3701434
"2012-06-28",21.08,21.66,21.07,21.66,5456831
"2012-07-05",22.65,22.73,22.32,22.33,4193594
"2012-07-12",22.45,23.04,22.45,22.78,5407909
"2012-07-19",23.36,23.58,22.98,23.07,5780299
"2012-07-26",23.2,23.53,22.62,22.91,6306929
"2012-08-02",23.05,23.34,22.85,23.13,4484636
"2012-08-09",23.49,23.6,23.3,23.45,2529603
"2012-08-16",23.84,24.5,23.8,24.45,4954079
"2012-08-23",24.41,24.74,24.29,24.62,4132969
"2012-08-30",24.73,24.96,24.64,24.87,3703530
"2012-09-06",25.16,25.5,25.06,25.5,4627478
"2012-09-13",26.3,27.08,26.16,26.92,6496468
"2012-09-20",26.12,26.26,25.92,26.26,5033184
"2012-09-27",26.24,26.69,26.15,26.69,4153831
"2012-10-04",26.69,26.84,26.42,26.46,4453938
"2012-10-11",26.32,26.53,26.15,26.28,2778428
"2012-10-18",27.86,28.82,27.86,28.46,5408931
"2012-10-25",27.64,27.9,27.06,27.3,6330145
"2012-11-01",27.82,28.13,27.63,27.85,5105725
"2012-11-08",27.33,27.35,26.45,26.47,5207103
"2012-11-15",25.11,25.38,24.84,24.99,5409691
"2012-11-29",26.8,26.83,26.48,26.78,5259559
"2012-12-06",26.59,27.04,26.5,27.03,3992907
"2012-12-13",27.65,27.73,27.16,27.25,3473774
"2012-12-20",27.85,28.52,27.78,28.52,3307974
"2012-12-27",28.08,28.24,27.48,28,3021392
"2013-01-03",29.12,29.38,28.99,29.15,3967147
"2013-01-10",30.45,30.59,30.31,30.54,4510552
"2013-01-17",30.52,31,30.48,30.79,4022265
"2013-01-24",31.33,31.74,31.22,31.5,4322008
"2013-01-31",29.9,30.26,29.73,30.12,4042927
"2013-02-07",30.9,30.95,29.98,30.08,6393545
"2013-02-14",30.43,30.48,30.15,30.44,3148056
"2013-02-21",29.79,29.8,28.94,29.11,7942005
"2013-02-28",29.61,29.77,29.41,29.41,3509957
"2013-03-07",30.26,30.33,30,30.18,2997937
"2013-03-14",30.37,30.82,30.34,30.82,4028058
"2013-03-21",31.15,31.25,30.74,30.75,3251638
"2013-03-28",31.04,31.42,30.91,31.38,3860948
"2013-04-04",30.42,31.24,30.4,31.22,3707703
"2013-04-11",31.62,31.86,31.5,31.71,3250827
"2013-04-18",29.86,29.88,28.91,29.29,6632541
"2013-04-25",31.47,31.51,31.03,31.38,5648249
"2013-05-02",30.22,30.47,30.07,30.25,3224269
"2013-05-09",31.49,32.32,31.4,31.81,6350600
"2013-05-16",32.17,32.4,31.78,31.97,4376026
"2013-05-23",31.87,32.28,31.65,32.05,4595021
"2013-05-30",30.63,30.72,29.65,29.66,8963911
"2013-06-06",28.3,29.02,28.18,29.02,5247720
"2013-06-13",27.73,28.7,27.61,28.61,6411812
"2013-06-20",27.26,27.52,26.85,27.03,16073701
"2013-06-27",27.85,28.54,27.7,28.2,9039951
"2013-07-11",29.07,29.38,29,29.35,5069540
"2013-07-18",29.39,29.67,29.29,29.6,3558370
"2013-07-25",28.77,29.15,28.52,29.14,5349604
"2013-08-01",28.55,28.78,28.25,28.31,4558906
"2013-08-08",27.66,27.72,27.27,27.32,5406747
"2013-08-15",27.21,27.46,26.81,27.17,6707193
"2013-08-22",27.47,27.53,27.21,27.48,3537570
"2013-08-29",27.58,27.98,27.51,27.72,3331919
"2013-09-05",27.44,27.87,27.35,27.76,5957205
"2013-09-12",28.51,28.62,28.16,28.32,3260062
"2013-09-19",29.28,29.64,29.16,29.27,5100064
"2013-09-26",28.62,28.96,28.57,28.82,3174072
"2013-10-03",28.93,29.05,28.34,28.77,3736345
"2013-10-10",28.52,28.95,28.46,28.94,3820157
"2013-10-17",29.25,30.13,29.18,30.01,3770689
"2013-10-24",30.45,30.5,30.18,30.3,4622022
"2013-10-31",30.51,30.75,30.19,30.42,5022498
"2013-11-07",29.47,29.64,29.06,29.13,3778260
"2013-11-14",29.48,29.98,29.48,29.86,4699758
"2013-11-21",29.24,29.52,29.18,29.44,3701532
"2013-12-05",29.38,29.53,29.13,29.42,3641760
"2013-12-12",29.54,29.9,29.42,29.63,3877613
"2013-12-19",31.15,31.49,31.03,31.27,4541218
"2013-12-26",31.45,31.6,31.19,31.33,2140168
"2014-01-02",31.38,31.58,31.17,31.27,2749463
"2014-01-09",30.98,31.05,30.67,31,2776039
"2014-01-16",31.01,31.3,31,31.17,2552640
"2014-01-23",30.9,31.06,30.53,30.56,4262858
"2014-01-30",30.75,30.89,30.58,30.77,2776920
"2014-02-06",29.12,29.61,29.06,29.51,2923506
"2014-02-13",30.11,30.45,30.08,30.39,2301804
"2014-02-20",30.35,30.6,30.29,30.45,2719475
"2014-02-27",29.89,29.98,29.38,29.51,4603301
"2014-03-06",29.84,30.29,29.84,30.16,2912009
"2014-03-13",29.68,29.86,29.37,29.78,5842592
