"","WYN.Open","WYN.High","WYN.Low","WYN.Close","WYN.Volume"
"2011-09-15",31.54,31.91,31.04,31.62,2836242
"2011-09-22",29.7,30.47,29.03,29.76,4120560
"2011-09-29",30.56,30.75,29.04,29.85,2912798
"2011-10-06",28.4,29.22,28.14,29.16,2195084
"2011-10-13",30.78,31.15,30.34,30.98,1389368
"2011-10-20",30.61,30.78,30.08,30.25,3112390
"2011-10-27",33.75,35.41,33.7,35.07,3267396
"2011-11-03",33.76,34.13,32.73,33.98,2349614
"2011-11-10",33.36,33.37,32.34,33.08,2695539
"2011-11-17",33.96,34.37,33.26,33.72,2481348
"2011-12-01",35.41,35.9,35.21,35.41,1992494
"2011-12-08",35.33,35.75,34.89,34.93,1616910
"2011-12-15",34.7,34.8,34.06,34.32,1842425
"2011-12-22",36.51,36.73,36.3,36.45,1263309
"2011-12-29",37.7,38.15,37.56,38.09,836555
"2012-01-05",36.7,37.43,36.42,37.34,2500357
"2012-01-12",38.95,39.59,38.62,39.5,1403576
"2012-01-19",39.7,39.99,39.7,39.88,1746636
"2012-01-26",40.86,41.21,40.18,40.24,2197573
"2012-02-02",40.6,40.74,40,40.37,1313386
"2012-02-09",43.71,44.66,43.6,44.27,3783193
"2012-02-16",42.96,43.52,42.75,43.48,1986625
"2012-02-23",43.61,43.79,43.42,43.68,1234832
"2012-03-01",44.26,44.8,44.24,44.57,1625599
"2012-03-08",43.95,44.16,43.61,43.75,1222406
"2012-03-15",46,46.15,45.44,45.54,1704235
"2012-03-22",44.78,45.21,44.49,44.68,1215400
"2012-03-29",45.03,45.28,44.59,45.12,1240207
"2012-04-05",46.19,47.02,46.19,46.96,1297149
"2012-04-12",45.85,46.78,45.83,46.5,1610469
"2012-04-19",47.71,48.38,47.49,47.95,2114874
"2012-04-26",49.03,50.43,49.03,50.2,4018617
"2012-05-03",51.25,51.66,50.92,51.57,2279879
"2012-05-10",51.26,51.79,50.95,51.33,2726787
"2012-05-17",50.01,50.14,47.36,47.43,3262377
"2012-05-24",49.69,50.13,49.15,49.71,1425120
"2012-05-31",50.33,50.33,48.76,49.8,7406926
"2012-06-07",51,51.38,50.11,50.26,2368170
"2012-06-14",50.52,51.64,50.25,51.24,1328164
"2012-06-21",52.41,52.64,51.12,51.45,1520759
"2012-06-28",50.49,51.41,50.34,50.86,1461029
"2012-07-05",52.78,53.24,52.27,53.07,945659
"2012-07-12",50.93,50.94,49.69,49.9,3045600
"2012-07-19",51.08,51.44,50.83,51.35,1704647
"2012-07-26",50.7,50.82,49.93,50.71,1816387
"2012-08-02",50.97,51.68,50.62,51.1,1252790
"2012-08-09",51.93,52.08,51.24,51.29,1450494
"2012-08-16",50.87,52.72,50.78,52.37,1462732
"2012-08-23",50.88,51.06,50.55,50.65,1598226
"2012-08-30",51.74,51.92,51.41,51.66,630587
"2012-09-06",51.48,53.84,51.48,53.65,1739281
"2012-09-13",53.59,54.25,53.19,53.97,2215332
"2012-09-20",53.28,53.91,53.2,53.36,1037533
"2012-09-27",52.8,53.4,52.47,53.02,771563
"2012-10-04",54.13,55.34,54.02,54.41,1177283
"2012-10-11",53.65,53.65,52.67,52.87,1233775
"2012-10-18",55.03,55.3,54.58,54.87,667155
"2012-10-25",52.23,52.62,51.14,51.55,1856526
"2012-11-01",50.57,51.7,50.41,51.3,1392877
"2012-11-08",51.2,51.73,50.84,50.94,1407953
"2012-11-15",49.87,49.91,48.25,48.98,2637451
"2012-11-29",49.02,49.32,48.34,48.83,1983987
"2012-12-06",49.53,49.88,49.28,49.59,1365197
"2012-12-13",50.01,50.66,49.95,50.3,884489
"2012-12-20",52.32,53.61,52.21,53.4,1548633
"2012-12-27",52.8,53.1,52.26,52.96,1165074
"2013-01-03",55.24,55.67,55.07,55.41,1194064
"2013-01-10",56.62,56.77,55.9,56.18,1295776
"2013-01-17",56.05,56.63,55.79,56.43,778359
"2013-01-24",55.59,56.89,55.59,56.47,938452
"2013-01-31",56.05,56.73,55.68,55.79,1424634
"2013-02-07",59.96,59.97,58.82,59.45,1648835
"2013-02-14",58.97,59.18,58.52,58.83,1300460
"2013-02-21",57.27,57.37,56.3,57.23,1754097
"2013-02-28",59.22,60.51,59.18,60.24,1880712
"2013-03-07",61.61,62.12,61.54,61.76,1399864
"2013-03-14",62.72,63.18,62.5,62.9,645608
"2013-03-21",61.93,62.47,61.68,61.71,930318
"2013-03-28",64.01,64.8,63.9,64.48,1261169
"2013-04-04",62.85,63.7,62.41,62.79,2121241
"2013-04-11",64.1,64.89,64.08,64.53,951720
"2013-04-18",63.33,63.6,62.43,62.82,639337
"2013-04-25",62.35,63.25,62.27,62.6,2360581
"2013-05-02",60.41,61.75,60.14,61.37,1391970
"2013-05-09",63.78,64.04,63.21,63.45,1398511
"2013-05-16",62.65,63.1,61.26,61.37,1750599
"2013-05-23",59.98,61.34,59.75,60.89,1318831
"2013-05-30",59.93,60.27,59.11,59.11,1649163
"2013-06-06",57.01,57.74,56.81,57.63,1333567
"2013-06-13",57.54,59.34,57.1,59.3,1885782
"2013-06-20",57.86,57.9,55.49,55.67,1820937
"2013-06-27",57.16,57.76,56.99,57.42,1252445
"2013-07-11",60.49,60.6,59.66,59.95,764936
"2013-07-18",60.53,61.19,59.76,59.96,960685
"2013-07-25",60.92,61.55,60.62,61.39,1279037
"2013-08-01",62.83,63.86,62.54,63.71,1397171
"2013-08-08",61.42,62,61.24,61.41,678986
"2013-08-15",60,60.05,59.27,59.5,722396
"2013-08-22",58.86,61.07,58.7,60.32,754520
"2013-08-29",58.33,59.86,58.33,59.53,681712
"2013-09-05",60.6,61.27,60.4,60.43,676327
"2013-09-12",62.17,62.17,61.51,61.75,658957
"2013-09-19",63.7,63.89,63.01,63.09,632087
"2013-09-26",61.95,62.22,61.27,61.94,602297
"2013-10-03",60.78,61.02,59.66,60.38,1072161
"2013-10-10",60.28,61,60.23,60.54,1849327
"2013-10-17",62.53,63.87,62.48,63.81,803806
"2013-10-24",65.66,67.45,65.45,67.06,2100357
"2013-10-31",66.25,66.9,65.78,66.4,831414
"2013-11-07",67.47,67.5,65.54,65.6,1187576
"2013-11-14",67.07,68,66.74,67.91,772387
"2013-11-21",68.58,70.95,68.41,70.15,2556564
"2013-12-05",71.44,72.15,70.93,71.19,966178
"2013-12-12",70.89,71.21,69.95,70.25,1528257
