"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume"
"2011-09-15",150.05,150.89,145.14,149.61,2872071
"2011-09-22",140.44,143.5,134.61,139.02,4455758
"2011-09-29",138.55,139.47,120.42,125.54,8014476
"2011-10-06",124.2,132.71,123.65,132.58,7174526
"2011-10-13",136.86,137.9,129.9,131.28,6072514
"2011-10-20",124.09,125.4,119.6,123.37,6758205
"2011-10-27",134.03,138.36,131.57,136.89,5457814
"2011-11-03",134.14,134.94,129.1,133.69,2618665
"2011-11-10",125.18,125.5,117.4,119.57,4997915
"2011-11-17",124.49,124.85,119.17,120.78,10292697
"2011-12-01",119.85,121.66,117.58,118.96,1804420
"2011-12-08",113.45,114.83,110,110.18,1910807
"2011-12-15",103.41,105.29,101.02,104.58,2632841
"2011-12-22",108.08,108.65,106.57,108.04,1409346
"2011-12-29",109.66,110.88,108.53,110.34,1490020
"2012-01-05",111.16,111.45,109.32,110.84,2248314
"2012-01-12",106.98,110.94,104.62,109.8,6975086
"2012-01-19",118.63,119.08,116,117.35,2153553
"2012-01-26",121.49,123.27,118.35,119.15,2380171
"2012-02-02",118.53,120.81,117.1,120.78,4245840
"2012-02-09",115.17,115.3,113.21,113.59,2147236
"2012-02-16",111.58,112.9,110.63,112.67,1680197
"2012-02-23",117.68,118.13,115.79,116.34,1894800
"2012-03-01",120,123.38,119.62,122.06,4315439
"2012-03-08",123.81,124.26,122.5,123.39,2102416
"2012-03-15",125.4,128.83,125.36,128,1977745
"2012-03-22",128,129.85,125.97,126.81,1355905
"2012-03-29",124.97,125.42,122.86,124.93,1524585
"2012-04-05",123.45,126.38,123.45,125.94,1049855
"2012-04-12",124.92,127.86,124.66,126.28,2347499
"2012-04-19",130.75,131.85,129.05,129.55,1800192
"2012-04-26",130.09,134.3,127.9,134.13,3566976
"2012-05-03",133.79,134.26,129.87,130.55,1738556
"2012-05-10",117.02,117.25,113.21,113.25,2441681
"2012-05-17",104.85,106.02,101.26,101.54,2592054
"2012-05-24",104.66,105.46,102.1,103.23,1594351
"2012-05-31",104.09,104.46,100.17,103.04,2820699
"2012-06-07",105.88,107,102.31,102.64,1812774
"2012-06-14",98.9,101.12,98.24,100.49,1989851
"2012-06-21",105.16,107.57,101.95,102.05,2992376
"2012-06-28",101.7,103.24,100.4,102.01,1792702
"2012-07-05",100.98,102.3,98.44,101.82,2831533
"2012-07-12",99.56,100.26,96.46,96.75,2807558
"2012-07-19",96.54,100.13,95.87,99.66,2236531
"2012-07-26",93.27,93.43,90.11,93.1,3255720
"2012-08-02",94.04,95.98,92.56,93.53,1804480
"2012-08-09",102.34,103.14,101.3,101.53,1004165
"2012-08-16",100.69,104.78,100.4,104.24,2194351
"2012-08-23",106.11,106.7,105.11,105.15,1110998
"2012-08-30",104.52,104.52,102.36,102.85,1028625
"2012-09-06",100.78,102.25,100.47,101.55,2193285
"2012-09-13",106.75,110.42,106.49,110.02,1766833
"2012-09-20",114.43,114.97,113,114.9,1347171
"2012-09-27",114.21,116.22,113.3,115.43,1535307
"2012-10-04",113.87,114.8,111.87,114.02,1702151
