"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume"
"2011-09-15",73.43,74.06,72.68,74.01,21861196
"2011-09-22",69.94,70.46,68.17,69.24,43224471
"2011-09-29",73.12,74.04,72.67,73.88,27714866
"2011-10-06",73.3,74,72.63,73.89,24871456
"2011-10-13",76.22,76.79,75.84,76.37,19540244
"2011-10-20",78.32,79.11,77.83,78.71,22228387
"2011-10-27",81.91,82.2,80.69,81.88,35502447
"2011-11-03",78.19,79,77.44,78.86,24483270
"2011-11-10",78.53,79.02,77.64,78.7,18669372
"2011-11-17",78.12,79.43,77.1,77.86,25967023
"2011-12-01",80.2,80.35,79.37,79.79,17261022
"2011-12-08",80.75,80.85,79.55,79.87,18443634
"2011-12-15",79.93,80.6,79.78,80.03,17961838
"2011-12-22",83.56,84.83,83.3,84.29,19842581
"2011-12-29",84.09,85.33,84.09,85.27,10866143
"2012-01-05",85.64,85.95,84.92,85.76,17453868
"2012-01-12",84.39,84.92,83.94,84.74,17359488
"2012-01-19",86.34,87.24,85.77,87.03,16383447
"2012-01-26",87.64,87.71,86.51,86.77,15663392
"2012-02-02",84.28,84.34,83.19,83.53,18020956
"2012-02-09",85.33,85.69,84.67,84.88,17073376
"2012-02-16",84.45,85.62,84.08,85.41,14771495
"2012-02-23",86.58,87.17,86.47,87.02,12405655
"2012-03-01",86.47,87.18,86.41,86.83,12640606
"2012-03-08",85,85.47,84.63,84.83,19033213
"2012-03-15",85.89,86.2,85.25,86.09,14524541
"2012-03-22",85.48,85.94,85.1,85.33,13884723
"2012-03-29",85.32,86.13,84.91,86.08,13200437
"2012-04-05",84.56,85.38,84.35,84.82,11957908
"2012-04-12",82.65,83.73,82.36,83.6,15266306
"2012-04-19",85.51,85.92,84.98,85.28,15975375
"2012-04-26",85.28,86.2,85.15,86.07,17263696
"2012-05-03",86.36,86.39,85.31,85.65,9998802
"2012-05-10",83.37,83.59,82.55,82.84,13235990
"2012-05-17",82.15,82.61,81.68,81.91,17700434
"2012-05-24",82.29,82.78,81.7,82.61,14114436
"2012-05-31",79.88,80.14,78.41,78.63,38958171
"2012-06-07",80.98,81.23,80.35,80.69,18415136
"2012-06-14",80.86,82.5,80.73,82.13,16943680
"2012-06-21",85.04,85.37,82.05,82.11,33752370
"2012-06-28",82.66,83.46,82.02,83.1,19141030
"2012-07-05",85.33,86.04,85.15,85.57,10797165
"2012-07-12",83.41,84.55,83.32,84.12,15567092
"2012-07-19",86.02,86.38,85.62,86.21,14902213
"2012-07-26",85.56,86.7,85.26,86.52,19150786
"2012-08-02",86.1,86.75,85.5,85.88,14530429
"2012-08-09",87.84,88.48,87.51,88.2,12215167
"2012-08-16",88.19,88.87,87.96,88.67,11313888
"2012-08-23",87.79,87.79,86.98,87.31,9667155
"2012-08-30",87.38,87.73,87.02,87.2,8915766
"2012-09-06",87.89,89.25,87.85,88.99,15715489
"2012-09-13",89.71,91.56,89.43,91.23,19875004
"2012-09-20",90.14,91.69,90.09,91.52,12238703
"2012-09-27",91.83,92.25,91.19,91.8,10634263
"2012-10-04",92.08,92.54,91.91,92.22,11509315
"2012-10-11",91.57,91.88,91.17,91.17,9791576
"2012-10-18",92.97,93.57,92.97,93.48,11816303
"2012-10-25",90.63,90.8,89.68,90.43,10387146
"2012-11-01",90.25,91.67,90.2,91.6,15778607
"2012-11-08",88.27,88.43,87.03,87.07,13745192
"2012-11-15",86.09,86.56,85.37,86.14,13786678
"2012-11-29",88.37,88.69,87.63,88.12,11579064
"2012-12-06",87.76,88.06,87.24,88,12076918
"2012-12-13",89.16,89.45,88.27,88.58,12292525
"2012-12-20",88.38,88.94,87.98,88.89,15789886
"2012-12-27",87.05,87.24,85.75,86.86,14259940
"2013-01-03",88.46,88.89,88.16,88.55,13269179
"2013-01-10",88.75,89.48,88.37,89.1,13100034
"2013-01-17",89.76,90.94,89.6,90.2,13401388
"2013-01-24",90.88,91.72,90.75,91.35,11099906
"2013-01-31",90.69,91.21,89.74,89.97,15994835
"2013-02-07",89.21,89.22,87.61,88.25,13464888
"2013-02-14",88.34,88.81,88.06,88.52,13238873
"2013-02-21",88.79,89.02,88.36,88.59,10940724
"2013-02-28",89.67,89.81,89.03,89.55,14556048
"2013-03-07",89.63,89.76,88.68,88.71,12908079
"2013-03-14",89.41,89.91,89.41,89.83,13777001
"2013-03-21",88.12,88.64,87.9,88.17,13448750
"2013-03-28",90.64,90.98,89.99,90.11,17487808
"2013-04-04",90.1,90.33,89.22,89.77,11582271
"2013-04-11",88.95,89.27,88.23,89.22,14980292
"2013-04-18",86.28,87.08,85.78,86.62,14730314
"2013-04-25",88.89,88.9,87.65,88.07,16329835
"2013-05-02",87.98,88.84,87.74,88.63,11331136
"2013-05-09",91.14,91.56,90.69,91.03,13774100
"2013-05-16",90.8,91.29,90.5,90.7,10470178
"2013-05-23",91.56,92.36,91.36,91.79,15357849
"2013-05-30",91.97,92.68,91.6,92.09,9740964
"2013-06-06",89.53,90.23,89,90.23,15394187
"2013-06-13",89.63,91.71,89.61,91.33,13503094
"2013-06-20",90.24,90.52,88.79,89.05,21084352
"2013-06-27",90.24,90.67,90.03,90.04,12349477
"2013-07-11",93.8,93.81,93.04,93.27,16187528
"2013-07-18",93.8,94.84,93.71,94.38,10557177
"2013-07-25",94.69,95.31,94.42,94.97,10060098
"2013-08-01",92.69,93.1,91.25,92.73,23117968
