"","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume"
"2011-09-15",31.72,31.8,31.24,31.64,2605615
"2011-09-22",28.88,29.52,28,28.44,4398156
"2011-09-29",29.88,30.2,28.6,29.36,3302232
"2011-10-06",28.44,29.12,28.04,28.8,7318919
"2011-10-13",29.68,30.24,29.28,30.16,3125610
"2011-10-20",30.4,30.6,29.96,30.44,3361859
"2011-10-27",33.64,34.6,33.44,34.28,4760541
"2011-11-03",32.72,33.52,32.29,33.4,3656797
"2011-11-10",32.92,33.16,32.32,32.52,2541846
"2011-11-17",32.08,32.44,31.44,31.68,3224028
"2011-12-01",32.44,32.92,31.96,32.76,2492092
"2011-12-08",32.92,33.22,32.04,32.12,2304976
"2011-12-15",31.56,31.96,31.4,31.68,2386098
"2011-12-22",32.28,32.96,32.28,32.76,2567364
"2011-12-29",31.76,31.96,31.6,31.88,2140638
"2012-01-05",32.4,32.72,31.96,32.4,1940197
"2012-01-12",32.92,32.98,32.44,32.52,2539534
"2012-01-19",34.08,35.32,34.08,34.84,3240022
"2012-01-26",31.64,31.96,30.94,31.4,7349714
"2012-02-02",31.24,31.44,31.08,31.16,3668857
"2012-02-09",32.04,32.28,31.8,32.08,3093654
"2012-02-16",33.28,33.56,32.96,33.52,2122496
"2012-02-23",32.56,33.56,32.44,33.36,2376367
"2012-03-01",33.12,33.72,33,33.6,2364618
"2012-03-08",32.68,33.04,32.48,33,1485043
"2012-03-15",33.84,33.92,33.36,33.76,1938072
"2012-03-22",32.84,33.12,32.56,32.84,2137054
"2012-03-29",32.72,32.78,32,32.52,2295000
"2012-04-05",31.4,31.68,31.32,31.48,2458133
"2012-04-12",31.48,31.96,31.24,31.84,2838852
"2012-04-19",31.88,31.96,31.4,31.64,2865756
"2012-04-26",31.88,31.96,31.36,31.64,4104448
"2012-05-03",31.32,31.4,30.68,30.84,2308848
"2012-05-10",30.76,30.76,30.36,30.56,2861553
"2012-05-17",28.88,29.56,28.6,29.08,5241326
"2012-05-24",28.68,28.92,27.72,27.76,5993922
"2012-05-31",28.92,29.12,28.4,28.88,3965087
"2012-06-07",30.12,30.44,29.76,30,4260099
"2012-06-14",30.52,30.96,30.3,30.48,2869551
"2012-06-21",31.24,31.52,30.28,30.48,2667767
"2012-06-28",30.44,30.96,30.12,30.92,2583114
"2012-07-05",30.56,31.6,30.44,31.36,1972526
"2012-07-12",30.16,30.28,29.4,29.6,3048155
"2012-07-19",28.92,29.3,28.64,28.76,4916598
"2012-07-26",25.96,26.64,25.6,26.56,5401558
"2012-08-02",26.92,27.08,26.08,26.6,3083417
"2012-08-09",28.52,28.8,28.48,28.68,2432478
"2012-08-16",28.96,29.44,28.84,29.36,2041150
"2012-08-23",29,29.36,28.72,29.2,2084998
"2012-08-30",29.32,29.6,29.2,29.32,1540882
"2012-09-06",29.84,30.72,29.64,30.72,2673750
"2012-09-13",30.52,31,30.4,30.96,2517748
"2012-09-20",31,31.24,30.44,31.2,2150728
"2012-09-27",29.12,29.76,29.04,29.52,2881316
"2012-10-04",28.84,29.42,28.4,29.12,2484427
"2012-10-11",28.56,29.04,28.32,28.88,2301921
"2012-10-18",29.28,29.64,29.2,29.44,1813914
"2012-10-25",26.04,26.28,25.84,26,2470838
"2012-11-01",25.88,26.74,25.76,26.6,2867852
"2012-11-08",25.48,25.76,25.28,25.36,2469173
"2012-11-15",25.24,25.48,24.84,25.12,2495461
"2012-11-29",26.76,27.24,26.72,27.16,2291578
"2012-12-06",27.88,28.16,27.64,28.08,2547480
"2012-12-13",28.32,28.66,28,28.16,2148757
"2012-12-20",28.2,28.64,27.9,28.52,1443002
"2012-12-27",27.52,27.56,26.52,27.16,2464922
"2013-01-03",28.84,29.12,28.48,28.76,2235697
"2013-01-10",29.04,29.24,28.68,29.16,2305073
"2013-01-17",30.4,30.52,30.16,30.32,1851386
"2013-01-24",30.84,32.12,30.44,31,8450028
"2013-01-31",32.6,32.84,31.88,32.04,12105944
"2013-02-07",32,32.12,31.52,31.96,1668850
"2013-02-14",31.84,32.24,31.8,32.12,1594884
"2013-02-21",31.56,31.68,31,31.36,2896010
"2013-02-28",32.8,32.92,32.44,32.44,2177189
"2013-03-07",34.16,34.32,33.8,34.28,2224100
"2013-03-14",34.4,35.08,34.12,34.76,2617611
"2013-03-21",34.68,34.92,34.12,34.2,1864254
"2013-03-28",34.2,34.48,34,34.4,1535282
"2013-04-04",34.32,34.92,34.2,34.64,1910100
"2013-04-11",36,37.52,35.9,37.08,5222722
"2013-04-18",35.72,35.8,34.28,34.52,2736233
"2013-04-25",33.88,34.36,33.38,34.04,3798444
"2013-05-02",33.36,33.76,33.2,33.64,1025117
"2013-05-09",35.24,36.2,35.24,36,3021174
"2013-05-16",35.96,36.04,34.88,35.04,2363170
"2013-05-23",34.92,35.92,34.92,35.68,1444978
"2013-05-30",35.92,36.16,35.68,35.96,1605454
