"","ZION.Open","ZION.High","ZION.Low","ZION.Close","ZION.Volume"
"2011-09-15",17.13,17.47,16.81,17.47,2875607
"2011-09-22",14.93,15.08,14.44,14.74,5435651
"2011-09-29",15.16,15.44,14.64,15.05,4218026
"2011-10-06",14.73,15.9,14.39,15.88,6004116
"2011-10-13",17.18,17.18,16.14,16.84,4057123
"2011-10-20",16.43,16.79,16.06,16.59,4470632
"2011-10-27",17.8,18.51,17.53,18.29,7125124
"2011-11-03",17.31,17.57,16.69,17.41,4197082
"2011-11-10",16.68,16.87,16.15,16.27,3648323
"2011-11-17",16.72,16.84,16.09,16.19,3823492
"2011-12-01",16.04,16.09,15.56,15.9,2254690
"2011-12-08",15.88,15.9,15.21,15.25,4590910
"2011-12-15",14.97,15.1,14.64,14.91,5387999
"2011-12-22",15.7,16.28,15.6,16.15,2455483
"2011-12-29",16.13,16.53,16.13,16.48,1573145
"2012-01-05",17.02,17.88,16.86,17.62,4965599
"2012-01-12",18.5,18.68,18.13,18.65,3832181
"2012-01-19",18.99,19,18.56,18.7,3132865
"2012-01-26",17.62,17.69,16.4,16.58,8956909
"2012-02-02",17.08,17.38,16.8,17.31,3641662
"2012-02-09",18.65,18.78,18.36,18.51,3237814
"2012-02-16",18.52,19.32,18.46,19.16,4198293
"2012-02-23",18.83,19.04,18.68,18.91,2279160
"2012-03-01",19.08,19.35,18.88,18.99,2653667
"2012-03-08",18.52,18.73,18.34,18.69,2155975
"2012-03-15",21.67,22.49,21.51,22.13,5510053
"2012-03-22",21.88,21.93,21.39,21.48,3656635
"2012-03-29",21.59,21.75,21.17,21.65,2425846
"2012-04-05",21.04,21.27,20.91,21.08,2590770
"2012-04-12",20.97,21.24,20.8,21.14,1838137
"2012-04-19",21.22,21.37,20.8,20.93,3742507
"2012-04-26",20.13,20.55,20,20.42,3505372
"2012-05-03",20.43,20.58,19.9,20.04,2650828
"2012-05-10",20,20.22,19.84,19.89,1596856
"2012-05-17",18.88,18.88,18.43,18.43,2925871
"2012-05-24",19.13,19.16,18.57,18.8,3587424
"2012-05-31",18.72,19.3,18.48,19.03,3228590
"2012-06-07",18.61,18.82,18.22,18.31,2626596
"2012-06-14",17.94,18.4,17.88,18.36,2060167
"2012-06-21",19.65,19.8,18.94,18.98,2044485
"2012-06-28",19.02,19.08,18.55,18.99,2709624
"2012-07-05",19.68,19.68,19.36,19.42,1911316
"2012-07-12",18.79,18.82,18.49,18.64,2024672
"2012-07-19",19.52,19.67,19.19,19.24,1986329
"2012-07-26",18.21,18.32,17.9,18.08,3786141
"2012-08-02",18.18,18.41,17.82,18.05,2398172
"2012-08-09",19,19.11,18.9,19.04,778204
"2012-08-16",19.17,19.3,19.07,19.23,1182669
"2012-08-23",19.31,19.38,18.96,19,1007632
"2012-08-30",19.17,19.29,19.01,19.2,855515
"2012-09-06",19.51,19.98,19.46,19.73,2153954
"2012-09-13",20.42,21.14,20.25,20.94,2699733
"2012-09-20",20.9,20.99,20.6,20.8,2053330
"2012-09-27",20.54,20.88,20.42,20.63,2526021
"2012-10-04",21.32,22,21.24,21.76,3545044
"2012-10-11",22,22.66,21.98,22.52,3714764
"2012-10-18",22.04,22.18,21.43,21.48,4611347
"2012-10-25",21.61,21.77,21.35,21.44,1830667
"2012-11-01",21.43,21.85,21.31,21.78,2043754
"2012-11-08",20.42,20.68,20.06,20.08,2618809
"2012-11-15",19.28,19.41,19.1,19.25,2122872
"2012-11-29",20.19,20.35,20.05,20.22,1872255
"2012-12-06",19.56,19.66,19.37,19.54,3479708
"2012-12-13",20.55,20.74,20.46,20.61,2305226
"2012-12-20",21.59,21.93,21.56,21.92,2243374
"2012-12-27",21.3,21.37,20.94,21.26,2298706
"2013-01-03",21.99,22.13,21.81,22.02,2267804
"2013-01-10",21.61,21.95,21.59,21.95,2712744
"2013-01-17",22.39,22.61,22.31,22.5,1992125
"2013-01-24",22.56,22.79,22.55,22.71,1574613
"2013-01-31",22.86,23.49,22.68,23.32,2716443
"2013-02-07",24.02,24.14,23.75,23.96,2162013
"2013-02-14",24.68,24.78,24.51,24.63,2789414
"2013-02-21",24.05,24.35,23.56,23.73,2343575
"2013-02-28",24,24.37,23.75,24.15,1680018
"2013-03-07",25.08,25.3,25.03,25.26,1480791
"2013-03-14",25.65,25.86,25.61,25.73,1462035
"2013-03-21",25.29,25.42,25.07,25.16,1184171
"2013-03-28",25.01,25.04,24.88,24.99,1322782
"2013-04-04",23.94,24.27,23.88,24.14,2133655
"2013-04-11",24.51,25.03,24.28,24.94,2487277
"2013-04-18",23.51,23.54,23.1,23.44,2003138
"2013-04-25",24.62,24.88,24.52,24.53,1791091
"2013-05-02",24.29,24.7,24.12,24.64,1668337
"2013-05-09",25.99,26.09,25.86,26.01,1225494
"2013-05-16",26.88,27.12,26.79,26.85,2042275
"2013-05-23",26.98,27.26,26.67,27.21,2190087
"2013-05-30",28.04,28.74,27.76,28.6,1902859
"2013-06-06",26.5,26.98,26.38,26.93,1834526
"2013-06-13",27.17,27.58,27.08,27.53,1539653
"2013-06-20",26.7,27.65,26.69,27.46,2818076
"2013-06-27",29.2,29.41,29.02,29.23,1713323
"2013-07-11",29.98,30.08,29.09,29.34,3538259
"2013-07-18",29.6,30.35,29.55,30.32,2578825
"2013-07-25",29.86,30.29,29.58,29.7,1441381
"2013-08-01",29.91,30.4,29.84,30.15,2019217
"2013-08-08",29.27,29.73,29.07,29.52,2028998
"2013-08-15",28.98,29.08,28.66,28.72,1492149
"2013-08-22",29.23,29.9,29.23,29.61,953573
"2013-08-29",28.09,28.61,28,28.35,916287
"2013-09-05",28.36,29,28.35,28.93,1931781
"2013-09-12",29.08,29.21,28.79,28.95,923701
"2013-09-19",28.75,28.83,27.36,27.96,5079963
"2013-09-26",27.62,28.07,27.13,27.26,1947689
"2013-10-03",27.14,27.38,26.99,27.08,1934686
"2013-10-10",27.1,27.98,27.1,27.96,2813841
"2013-10-17",28.78,29.38,28.65,29.27,1731137
"2013-10-24",28.2,28.51,28.01,28.47,2633108
"2013-10-31",28.37,28.57,28.24,28.4,1798466
"2013-11-07",28.88,29.14,28.22,28.24,2286192
"2013-11-14",29.14,29.2,28.73,29.12,1299250
"2013-11-21",28.5,29.22,28.31,29.08,1641704
"2013-12-05",29.16,29.5,28.99,29.16,1252517
"2013-12-12",28.45,29.15,28.32,28.78,2391919
"2013-12-19",28.47,29.29,28.47,29.22,2651457
"2013-12-26",29.87,29.94,29.54,29.84,893120
"2014-01-02",29.9,29.98,29.62,29.65,1356738
"2014-01-09",30.15,30.45,30.03,30.22,1800680
"2014-01-16",30.08,30.08,29.67,29.82,1132236
"2014-01-23",31.59,31.82,30.87,31.16,2885444
"2014-01-30",29.37,29.47,29.04,29.35,1624633
"2014-02-06",28.75,29.13,28.61,29.04,1273986
"2014-02-13",29.91,30.41,29.6,30.33,2271415
"2014-02-20",30.16,30.21,29.71,29.83,2255655
"2014-02-27",30.47,30.8,30.32,30.79,1237599
"2014-03-06",31.39,31.66,31.23,31.45,1091293
"2014-03-13",31.56,31.82,31.23,31.38,1555396
"2014-03-20",31.84,33.32,31.7,32.99,5481004
"2014-03-27",30.39,30.39,29.38,29.83,6040721
"2014-04-03",31.81,31.81,31.33,31.64,1575573
"2014-04-10",30.67,30.72,29.55,29.58,2830545
"2014-04-17",29.86,30.32,29.57,30.22,3507447
"2014-04-24",30.02,30.02,29.1,29.16,2400860
"2014-05-01",28.87,29.1,28.41,28.61,2630980
"2014-05-08",28.67,29.31,28.67,28.97,2272281
"2014-05-15",28.29,28.47,27.67,28.27,1789331
"2014-05-22",28.38,28.63,28.3,28.43,1143916
"2014-05-29",28.54,28.66,28.36,28.6,1196606
"2014-06-05",28.87,29.4,28.69,29.33,1189679
"2014-06-12",29.77,30.1,29.49,29.55,2212227
