"Date","Open","High","Low","Last","Volume"
2011-09-15,88.6,90.15,88.01,89.4,296285
2011-09-22,84.81,85,79.66,80.51,459998
2011-09-29,80.67,83.98,79.64,82.14,351345
2011-10-06,79.71,82.9,79.08,82.59,386089
2011-10-13,84.93,85.39,83.17,84.23,360268
2011-10-20,86.1,86.94,84.1,85.3,112020
2011-10-27,90.98,94.25,90.74,93.96,327446
2011-11-03,92.99,94.61,90.87,94.07,299987
2011-11-10,95.75,98.35,95.2,97.78,337934
2011-11-17,101.76,103.37,98.28,98.82,177201
2011-12-01,100.51,101.17,98.87,100.2,273034
2011-12-08,100.84,101.73,97.71,98.34,330972
2011-12-15,94.89,95.99,93.31,93.87,262439
2011-12-22,99.03,100.05,98.51,99.53,148905
2011-12-29,99.59,99.92,98.3,99.65,150006
2012-01-05,103.29,103.73,101.3,101.81,292831
2012-01-12,101,102.98,98.5,99.1,358124
2012-01-19,101.14,102.06,99.98,100.39,93959
2012-01-26,99.96,101.39,99.23,99.7,252150
2012-02-02,97.11,97.99,95.44,96.36,320185
2012-02-09,99.1,100.18,98.66,99.84,273543
2012-02-16,101.9,102.69,100.84,102.31,190931
2012-02-23,105.95,108.74,105.45,107.83,315282
2012-03-01,106.82,110.55,106.55,108.84,373141
2012-03-08,106.24,107.2,105.84,106.58,262198
2012-03-15,105.5,106.18,103.78,105.11,360521
2012-03-22,106.81,107.12,104.5,105.35,286549
2012-03-29,105.58,105.7,102.13,102.78,308634
2012-04-05,101.96,103.4,101.37,103.31,224662
2012-04-12,102.55,104.24,102.39,103.64,249812
2012-04-19,102.73,103.21,101.67,102.27,64999
2012-04-26,103.96,104.92,103.84,104.55,183637
2012-05-03,105.39,105.42,102.36,102.54,307129
2012-05-10,96.45,97.69,96.08,97.08,267144
2012-05-17,92.77,93.88,92.09,92.56,267337
2012-05-24,90.53,91.52,89.81,90.66,222302
2012-05-31,87.55,88.28,85.86,86.53,331528
2012-06-07,85.5,87.03,83.43,84.82,317068
2012-06-14,82.44,84.42,82.27,83.91,270102
2012-06-21,81.08,81.2,77.93,78.2,369613
2012-06-28,80.48,80.84,77.28,77.69,300251
2012-07-05,87.75,88.98,86.5,87.22,355908
2012-07-12,86.2,86.37,84.21,86.08,227843
2012-07-19,90.08,92.94,89.86,92.66,82711
2012-07-26,89.1,90.47,88.07,89.39,226151
2012-08-02,88.87,89.63,86.92,87.13,289980
2012-08-09,93.43,94.21,93.07,93.36,234186
2012-08-16,94.21,95.75,93.93,95.6,206769
2012-08-23,97.3,98.29,95.75,96.27,217910
2012-08-30,95.3,95.6,93.95,94.62,180004
2012-09-06,96,97.71,94.59,95.53,312993
2012-09-13,96.93,98.58,96.51,98.31,279539
2012-09-20,91.77,92.37,90.66,91.87,30055
2012-09-27,90.08,92.39,89.88,91.85,226121
2012-10-04,88.01,91.84,87.91,91.71,277282
2012-10-11,91.27,92.94,91.09,92.07,280226
2012-10-18,92.06,92.59,90.66,92.1,179659
2012-10-25,85.65,86.75,85.23,86.05,201191
2012-11-01,86.1,87.42,85.92,87.09,187513
2012-11-08,84.52,85.7,84.22,85.09,281625
2012-11-15,86.36,86.83,84.68,85.45,115611
2012-11-29,86.57,88.69,86.55,88.07,261218
2012-12-06,87.87,88.23,85.68,86.26,251689
2012-12-13,86.77,86.97,85.81,85.89,216164
2012-12-20,89.69,90.54,89.26,90.13,170387
2012-12-27,91,91.44,90.05,90.87,141661
2013-01-03,92.91,93.3,92.49,92.92,179345
2013-01-10,93.19,94.7,93.08,93.82,261137
2013-01-17,94.19,96.04,93.8,95.49,173061
2013-01-24,95.5,96.68,95.12,95.95,223143
2013-01-31,97.96,98.04,96.84,97.49,220648
2013-02-07,96.86,97.21,95.54,95.83,256078
2013-02-14,97.17,97.71,96.77,97.31,166525
2013-02-21,94.72,94.92,92.63,92.84,277102
2013-02-28,92.89,93.18,91.57,92.05,206551
2013-03-07,90.42,91.73,90.22,91.56,220838
2013-03-14,92.51,93.25,92.01,93.03,168463
2013-03-21,93.4,93.53,91.84,92.45,207755
2013-03-28,96.68,97.35,96.26,97.23,160072
2013-04-04,94.5,94.84,92.12,93.26,343503
2013-04-11,94.56,94.64,93.06,93.51,204859
2013-04-18,86.39,88.51,85.61,87.73,218476
2013-04-25,91.58,93.87,91.11,93.64,260890
2013-05-02,91,94.25,90.65,93.99,314635
2013-05-09,96.6,96.77,95.35,96.39,258216
2013-05-16,94.34,95.57,93.23,95.16,286820
2013-05-23,94.18,94.46,92.21,94.25,315910
2013-05-30,92.89,93.99,91.65,93.61,282314
2013-06-06,93.7,95.32,93.69,94.76,253238
2013-06-13,95.77,96.92,95.02,96.69,211127
2013-06-20,98.02,98.03,94.89,95.4,26655
2013-06-27,95.52,97.41,95.35,97.05,259419
2013-07-11,106.15,107.45,104.31,104.91,301056
2013-07-18,106.56,108.43,106.15,108.04,147450
2013-07-25,105.37,105.87,104.08,105.49,262244
2013-08-01,105.26,108.06,105.1,107.89,270328
2013-08-08,104.18,104.96,102.22,103.4,301948
2013-08-15,106.98,107.87,106.6,107.33,239909
2013-08-22,103.86,105.25,103.53,105.03,205822
2013-08-29,109.53,110.07,107.72,108.8,237746
2013-09-05,107.59,108.54,107.13,108.37,173927
2013-09-12,107.77,109.16,107.3,108.6,255709
2013-09-19,108.22,108.99,106.08,106.39,101358
2013-09-26,102.3,103.29,102.2,103.03,175055
2013-10-03,103.82,104.38,102.87,103.31,215831
2013-10-10,101.46,103.57,101.16,103.01,281346
2013-10-17,102.13,102.32,100.03,100.67,272405
2013-10-24,97.1,97.69,95.95,97.11,239696
2013-10-31,96.62,97.03,96.03,96.38,243565
2013-11-07,94.91,95.31,93.8,94.2,238979
2013-11-14,93.5,94.43,92.51,93.76,307343
2013-12-05,97.33,97.99,97.01,97.38,201481
2013-12-12,97.55,98.18,97.31,97.5,191601
2013-12-19,97.69,99.17,97.5,98.77,23580
2013-12-26,99.2,99.7,99.05,99.55,65858
2014-01-02,98.5,98.97,95.34,95.44,236924
2014-01-09,92.58,92.93,91.24,91.66,232741
2014-01-16,94.29,94.64,93.6,93.96,158000
2014-01-23,96.69,97.84,96.41,97.32,277596
2014-01-30,97.42,98.59,97.33,98.23,188310
2014-02-06,97.25,98.83,97.25,97.84,218416
2014-02-13,100.27,100.66,99.4,100.35,203202
2014-02-20,103.41,103.5,102.75,103.05,36274
2014-02-27,102.57,103.08,101.75,102.4,185097
2014-03-06,101.04,102.08,100.13,101.56,280012
2014-03-13,98.1,98.6,97.67,98.2,246881
2014-03-20,100.39,100.82,99.08,99.7,33410
2014-03-27,100.3,101.7,100.03,101.5,193005
2014-04-03,99.29,100.49,99.07,100.29,195430
2014-04-10,103.44,103.81,103.1,103.4,241019
2014-04-17,103.84,104.78,103.54,104.3,202796
2014-04-24,101.54,102.35,101.4,101.94,210142
2014-05-01,99.72,99.89,98.74,99.35,244802
2014-05-08,100.82,100.93,99.87,100.26,265804
2014-05-15,102.03,102.26,101.27,101.5,288045
2014-05-22,103.85,104.22,103.55,103.74,159181
2014-05-29,103.06,103.94,102.61,103.58,217313
2014-06-05,102.37,102.69,101.6,102.48,209115
2014-06-12,104.47,106.95,104.35,106.53,335594
2014-06-19,106.11,106.7,105.32,106.43,163564
2014-06-26,106.71,106.81,105.03,105.7,195723
2014-07-03,104.27,104.29,103.67,104.06,185064
2014-07-10,101.95,103,101.55,102.93,253268
2014-07-17,101.49,103.9,101.27,103.19,342482
2014-07-24,103.2,103.31,101.88,102.07,194404
2014-07-31,99.47,99.85,97.6,98.15,335785
2014-08-07,96.89,97.72,96.55,97.34,306339
2014-08-14,97.3,97.59,95.26,97.2,362914
2014-08-21,93.49,94.45,92.5,93.96,236184
2014-08-28,93.75,94.71,93.45,94.55,262292
2014-09-04,95.07,95.39,94.16,94.45,254140
2014-09-11,91.71,93.44,90.43,92.83,421150
2014-09-18,93.97,94.82,92.85,93.07,180571
2014-09-25,92.89,93.54,92.05,92.53,248852
2014-10-02,90.74,91.54,88.18,91.01,449554
2014-10-09,87.73,87.95,84.06,85.77,369409
2014-10-16,81.06,84.83,79.78,82.7,437353
2014-10-23,80.42,82.37,80.05,82.09,363293
2014-10-30,81.93,82.09,80.72,81.12,279510
2014-11-06,78.87,78.98,77.12,77.67,305889
2014-11-13,76.95,77.16,74.07,74.21,464193
2014-11-20,74.25,75.76,74.17,75.5,28248
2014-12-04,67.4,68.22,66.09,66.81,237011
2014-12-11,61.12,61.68,58.96,59.95,392493
2014-12-18,55.83,58.73,54.05,54.11,106315
2015-01-08,48.78,49.65,47.73,48.79,397064
2015-01-15,48.6,51.27,46.07,46.25,491547
2015-01-22,47.35,49.09,45.87,46.31,426804
2015-01-29,44.43,44.96,43.58,44.53,300732
2015-02-05,48.67,52.1,47.36,50.48,596821
2015-02-12,49.42,51.6,49.14,51.21,563439
2015-02-19,50.55,52.14,49.15,51.16,125210
2015-02-26,51,51.22,47.8,48.17,459584
2015-03-05,51.62,52.4,50.61,50.76,370953
2015-03-12,48.44,48.76,46.86,47.05,358324
2015-03-19,44.6,44.71,42.75,43.96,106907
2015-03-26,49.02,52.48,48.73,51.43,515277
2015-04-02,49.59,50.27,48.11,49.14,453184
2015-04-09,51,52.07,50.51,50.79,449531
2015-04-16,55.92,57.42,55.07,56.71,412740
2015-04-23,56.28,58.41,55.76,57.74,415569
2015-04-30,58.55,59.85,58.38,59.6,340317
2015-05-07,60.69,61.31,58.49,58.94,437126
2015-05-14,60.1,60.84,59.36,59.88,358495
2015-05-21,58.81,60.94,58.69,60.72,346607
2015-05-28,57.63,58.07,56.51,57.68,340602
2015-06-04,59.57,59.94,57.83,58,363353
2015-06-11,61.14,61.53,60.21,60.77,352345
2015-06-18,59.78,60.89,59.25,60.45,181875
2015-06-25,60.22,60.46,59.43,59.7,222341
2015-07-02,56.87,57.95,56.5,56.93,297046
2015-07-09,51.83,53.54,51.48,52.59,364773
2015-07-16,51.62,52.17,50.84,50.92,311981
2015-07-23,49.23,49.63,48.21,48.85,313355
2015-07-30,48.83,49.36,48.34,48.44,245534
2015-08-06,45.16,45.27,44.2,44.84,340858
2015-08-13,43.34,43.72,41.91,42.2,455073
2015-08-20,40.58,41.48,40.21,40.94,19143
